"id","name","country_id","auto_apply","vat_required","sequence","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@ro"
"","","","","","","","tvac_00_s","tvati_intras",""
"","","","","","","","tvac_05_s","tvati_intras",""
"","","","","","","","tvac_09_s","tvati_intras",""
"","","","","","","","tvac_11_s","tvati_intras",""
"","","","","","","","tvac_19_s","tvati_intras",""
"","","","","","","","tvac_21_s","tvati_intras",""
"","","","","","","","tvad_00","tvati_intrap0b",""
"","","","","","","","tvad_05","tvati_intrap5b",""
"","","","","","","","tvad_09","tvati_intrap9b",""
"","","","","","","","tvad_11","tvati_intrap11b",""
"","","","","","","","tvad_19","tvati_intrap19b",""
"","","","","","","","tvad_21","tvati_intrap21b",""
"","","","","","","","tvad_00_s","tvati_intrap0s",""
"","","","","","","","tvad_05_s","tvati_intrap5s",""
"","","","","","","","tvad_09_s","tvati_intrap9s",""
"","","","","","","","tvad_11_s","tvati_intrap11s",""
"","","","","","","","tvad_19_s","tvati_intrap19s",""
"","","","","","","","tvad_21_s","tvati_intrap21s",""
"fiscal_position_template_4","Exempted Intra-Community Regime","","1","","15","base.europe","tvac_00","tvati_intrab","Regim intracomunitar scutit"
"","","","","","","","tvac_05","tvati_intrab",""
"","","","","","","","tvac_09","tvati_intrab",""
"","","","","","","","tvac_11","tvati_intrab",""
"","","","","","","","tvac_19","tvati_intrab",""
"","","","","","","","tvac_21","tvati_intrab",""
"","","","","","","","tvac_00_s","tvati_intras",""
"","","","","","","","tvac_05_s","tvati_intras",""
"","","","","","","","tvac_09_s","tvati_intras",""
"","","","","","","","tvac_11_s","tvati_intras",""
"","","","","","","","tvac_19_s","tvati_intras",""
"","","","","","","","tvac_21_s","tvati_intras",""
"","","","","","","","tvad_00","tvatiscdeda_intr",""
"","","","","","","","tvad_05","tvatiscdeda_intr",""
"","","","","","","","tvad_09","tvatiscdeda_intr",""
"","","","","","","","tvad_11","tvatiscdeda_intr",""
"","","","","","","","tvad_19","tvatiscdeda_intr",""
"","","","","","","","tvad_21","tvatiscdeda_intr",""
"","","","","","","","tvad_00_s","tvatiscdeda_intr",""
"","","","","","","","tvad_05_s","tvatiscdeda_intr",""
"","","","","","","","tvad_09_s","tvatiscdeda_intr",""
"","","","","","","","tvad_11_s","tvatiscdeda_intr",""
"","","","","","","","tvad_19_s","tvatiscdeda_intr",""
"","","","","","","","tvad_21_s","tvatiscdeda_intr",""
"fiscal_position_template_51","Exempt regime - with the right of deduction","","","","16","","tvac_00","tvatiscded","Regim de scutire - cu drept de deducere"
"","","","","","","","tvac_05","tvatiscded",""
"","","","","","","","tvac_09","tvatiscded",""
"","","","","","","","tvac_11","tvatiscded",""
"","","","","","","","tvac_19","tvatiscded",""
"","","","","","","","tvac_21","tvatiscded",""
"","","","","","","","tvac_00_s","tvatiscded",""
"","","","","","","","tvac_05_s","tvatiscded",""
"","","","","","","","tvac_09_s","tvatiscded",""
"","","","","","","","tvac_11_s","tvatiscded",""
"","","","","","","","tvac_19_s","tvatiscded",""
"","","","","","","","tvac_21_s","tvatiscded",""
"","","","","","","","tvad_00","tvatiscdeda",""
"","","","","","","","tvad_05","tvatiscdeda",""
"","","","","","","","tvad_09","tvatiscdeda",""
"","","","","","","","tvad_11","tvatiscdeda",""
"","","","","","","","tvad_19","tvatiscdeda",""
"","","","","","","","tvad_21","tvatiscdeda",""
"","","","","","","","tvad_00_s","tvatiscdeda",""
"","","","","","","","tvad_05_s","tvatiscdeda",""
"","","","","","","","tvad_09_s","tvatiscdeda",""
"","","","","","","","tvad_11_s","tvatiscdeda",""
"","","","","","","","tvad_19_s","tvatiscdeda",""
"","","","","","","","tvad_21_s","tvatiscdeda",""
"fiscal_position_template_52","Exempt regime - no right of deduction","","","","17","","tvac_00","tvatiscnoded","Regim de scutire - fără drept de deducere"
"","","","","","","","tvac_05","tvatiscnoded",""
"","","","","","","","tvac_09","tvatiscnoded",""
"","","","","","","","tvac_11","tvatiscnoded",""
"","","","","","","","tvac_19","tvatiscnoded",""
"","","","","","","","tvac_21","tvatiscnoded",""
"","","","","","","","tvac_00_s","tvatiscnoded",""
"","","","","","","","tvac_05_s","tvatiscnoded",""
"","","","","","","","tvac_09_s","tvatiscnoded",""
"","","","","","","","tvac_11_s","tvatiscnoded",""
"","","","","","","","tvac_19_s","tvatiscnoded",""
"","","","","","","","tvac_21_s","tvatiscnoded",""
"","","","","","","","tvad_00","tvatiscdeda",""
"","","","","","","","tvad_05","tvatiscdeda",""
"","","","","","","","tvad_09","tvatiscdeda",""
"","","","","","","","tvad_11","tvatiscdeda",""
"","","","","","","","tvad_19","tvatiscdeda",""
"","","","","","","","tvad_21","tvatiscdeda",""
"","","","","","","","tvad_00_s","tvatiscdeda",""
"","","","","","","","tvad_05_s","tvatiscdeda",""
"","","","","","","","tvad_09_s","tvatiscdeda",""
"","","","","","","","tvad_11_s","tvatiscdeda",""
"","","","","","","","tvad_19_s","tvatiscdeda",""
"","","","","","","","tvad_21_s","tvatiscdeda",""
"fiscal_position_template_6","Intra-Community Regime Non-taxable","","","","18","base.europe","tvac_00","tvatine","Regim intracomunitar neimpozabil"
"","","","","","","","tvac_05","tvatine",""
"","","","","","","","tvac_09","tvatine",""
"","","","","","","","tvac_11","tvatine",""
"","","","","","","","tvac_19","tvatine",""
"","","","","","","","tvac_21","tvatine",""
"","","","","","","","tvac_00_s","tvatine",""
"","","","","","","","tvac_05_s","tvatine",""
"","","","","","","","tvac_09_s","tvatine",""
"","","","","","","","tvac_11_s","tvatine",""
"","","","","","","","tvac_19_s","tvatine",""
"","","","","","","","tvac_21_s","tvatine",""
"","","","","","","","tvad_00","tvatinea",""
"","","","","","","","tvad_05","tvatinea",""
"","","","","","","","tvad_09","tvatinea",""
"","","","","","","","tvad_11","tvatinea",""
"","","","","","","","tvad_19","tvatinea",""
"","","","","","","","tvad_21","tvatinea",""
"","","","","","","","tvad_00_s","tvatinea",""
"","","","","","","","tvad_05_s","tvatinea",""
"","","","","","","","tvad_09_s","tvatinea",""
"","","","","","","","tvad_11_s","tvatinea",""
"","","","","","","","tvad_19_s","tvatinea",""
"","","","","","","","tvad_21_s","tvatinea",""
"fiscal_position_template_7","Extra-Community Regime","","1","","19","","tvac_00","tvati_extra","Regimul extracomunitar"
"","","","","","","","tvac_05","tvati_extra",""
"","","","","","","","tvac_09","tvati_extra",""
"","","","","","","","tvac_11","tvati_extra",""
"","","","","","","","tvac_19","tvati_extra",""
"","","","","","","","tvac_21","tvati_extra",""
"","","","","","","","tvac_00_s","tvati_extras",""
"","","","","","","","tvac_05_s","tvati_extras",""
"","","","","","","","tvac_09_s","tvati_extras",""
"","","","","","","","tvac_11_s","tvati_extras",""
"","","","","","","","tvac_19_s","tvati_extras",""
"","","","","","","","tvac_21_s","tvati_extras",""
"","","","","","","","tvad_00","tvati_extrap0b",""
"","","","","","","","tvad_05","tvati_extrap0b",""
"","","","","","","","tvad_09","tvati_extrap0b",""
"","","","","","","","tvad_11","tvati_extrap0b",""
"","","","","","","","tvad_19","tvati_extrap0b",""
"","","","","","","","tvad_21","tvati_extrap0b",""
"","","","","","","","tvad_00_s","tvati_extrap0s",""
"","","","","","","","tvad_05_s","tvati_extrap0s",""
"","","","","","","","tvad_09_s","tvati_extrap0s",""
"","","","","","","","tvad_11_s","tvati_extrap0s",""
"","","","","","","","tvad_19_s","tvati_extrap0s",""
"","","","","","","","tvad_21_s","tvati_extrap0s",""
