"id","name","code_prefix_start","code_prefix_end","name@ro"
"account_group_3","STOCK ACCOUNTS AND WORK IN PROGRESS","3","","CONTURI DE STOCURI ȘI PRODUCȚIE ÎN CURS DE EXECUȚIE"
"account_group_30","Stocks of raw materials and materials","30","","Stocuri de materii prime și materiale"
"account_group_302","Consumables","302","","Materiale consumabile"
"account_group_32","Stocks in progress","32","","Stocuri în curs de aprovizionare"
"account_group_33","Production in progress","33","","Producție în curs de execuție"
"account_group_34","Products","34","","Produse"
"account_group_35","Stock held by third parties","35","","Stocuri aflate la terți"
"account_group_36","Biological assets","36","","Active biologice de natura stocurilor"
"account_group_37","Merchandise","37","","Mărfuri"
"account_group_38","Packing","38","",""
"account_group_39","Adjustments for impairment of inventories and work in progress","39","","Ajustări pentru deprecierea stocurilor și producției în curs de execuție"
"account_group_392","Adjustments for material impairment","392","","Ajustări pentru deprecierea materialelor"
"account_group_393","Adjustments for impairment of work in progress","393","","Ajustări pentru deprecierea producției în curs de execuție"
"account_group_394","Adjustments for depreciation of products","394","","Ajustări pentru deprecierea produselor"
"account_group_395","Adjustments for impairment of inventories held by third parties","395","","Ajustări pentru deprecierea stocurilor aflate la terți"
"account_group_4","THIRD PARTY ACCOUNTS","4","","CONTURI DE TERȚI"
"account_group_40","Providers and assimilated accounts","40","","Furnizori și conturi asimilate"
"account_group_409","Providers - debtors","409","","Furnizori - debitori"
"account_group_41","Customers and assimilated accounts","41","","Clienți și conturi asimilate"
"account_group_411","Customers","411","","Clienți"
"account_group_42","Personal and assimilated accounts","42","","Personal și conturi asimilate"
"account_group_428","Other liabilities and receivables related to personnel","428","","Alte datorii și creanțe în legătură cu personalul"
"account_group_43","Social insurance, social protection and related accounts","43","","Asigurări sociale, protecția socială și conturi asimilate"
"account_group_431","Social Security","431","","Asigurări sociale"
"account_group_437","Unemployment benefits","437","","Ajutor de șomaj"
"account_group_438","Other social liabilites and receivables","438","","Alte datorii și creanțe sociale"
"account_group_44","The state budget, special funds and similar accounts","44","","Bugetul statului, fonduri speciale și conturi asimilate"
"account_group_441","Income and profit taxes","441","","Impozitul pe profit/venit"
"account_group_442","Value added tax","442","","Taxa pe valoarea adăugată"
"account_group_4428","Non-chargeable VAT","4428","","TVA neexigibilă"
"account_group_445","Subsidies","445","","Subvenții"
"account_group_448","Other liabilites and receivables with the state budget","448","","Alte datorii și creanțe cu bugetul statului"
"account_group_45","Group and associated shareholders","45","","Grup și acționari/asociați"
"account_group_451","Settlements between related entities","451","","Decontări între entitățile afiliate"
"account_group_453","Settlements with associates and jointly controlled entities","453","","Decontări cu entitățile asociate și entitățile controlate în comun"
"account_group_455","Amounts owed to the shareholders of the associates","455","","Sume datorate acționarilor/asociaților"
"account_group_458","Settlements from joint ventures","458","","Decontări din operațiuni în participație"
"account_group_46","Misc. Debtors and Creditors","46","","Debitori și creditori diverși"
"account_group_466","Settlements from trust operations","466","","Decontări din operațiuni de fiducie"
"account_group_47","Subsidy, regularization and similar accounts","47","","Conturi de subvenții, regularizare și asimilate"
"account_group_475","Subsidies for investments","475","","Subvenții pentru investiții"
"account_group_48","Settlements within the unit","48","","Decontări în cadrul unității"
"account_group_49","Adjustments for impairment of receivables","49","","Ajustări pentru deprecierea creanțelor"
"account_group_5","TREASURY ACCOUNTS","5","","CONTURI DE TREZORERIE"
"account_group_50","Short-term investments","50","","Investiții pe termen scurt"
"account_group_508","Other short-term investments and similar receivables","508","","Alte investiții pe termen scurt și creanțe asimilate"
"account_group_509","Payments to be made for short-term investments","509","","Vărsăminte de efectuat pentru investițiile pe termen scurt"
"account_group_51","Bank accounts","51","","Conturi la bănci"
"account_group_511","Receivables","511","","Valori de încasat"
"account_group_512","Receivables","512","","Valori de încasat"
"account_group_518","Receivables","518","","Valori de încasat"
"account_group_519","Receivables","519","","Valori de încasat"
"account_group_53","Cash","53","","Casa"
"account_group_531","Cash","531","","Casa"
"account_group_532","Other valuables","532","","Alte valori"
"account_group_54","Letters of credit","54","","Acreditive"
"account_group_541","Letters of credit","541","","Acreditive"
"account_group_58","Internal transfers","58","","Viramente interne"
"account_group_59","Adjustments for impairment of treasury accounts","59","","Ajustări pentru pierderea de valoare a conturilor de trezorerie"
"account_group_6","EXPENSE ACCOUNTS","6","","CONTURI DE CHELTUIELI"
"account_group_60","Inventory Expenses","60","","Cheltuieli privind stocurile"
"account_group_602","Expenses with consumables","602","","Cheltuieli cu materialele consumabile"
"account_group_61","Expenses for services performed by third parties","61","","Cheltuieli cu serviciile executate de terți"
"account_group_62","Costs of other services performed by third parties","62","","Cheltuieli cu alte servicii executate de terți"
"account_group_623","Protocol expenses, advertising and publicity","623","","Cheltuieli de protocol, reclama si publicitate"
"account_group_63","Expenses with other taxes, fees and similar payments","63","","Cheltuieli cu alte impozite, taxe și vărsăminte asimilate"
"account_group_635","Expenses with other taxes, fees and similar payments","635","","Cheltuieli cu alte impozite, taxe și vărsăminte asimilate"
"account_group_64","Staff costs","64","","Cheltuieli cu personalul"
"account_group_642","Expenses with benefits in kind and vouchers granted to employees","642","","Cheltuieli cu avantajele în natură și tichetele acordate salariaților"
"account_group_645","Expenditure on insurance and social protection","645","","Cheltuieli privind asigurările și protecția socială"
"account_group_65","Other operating expenses","65","","Alte cheltuieli de exploatare"
"account_group_651","Expenses from trust operations","651","","Cheltuieli din operațiuni de fiducie"
"account_group_658","Other operating expenses","658","","Alte cheltuieli de exploatare"
"account_group_6588","Other operating expenses","6588","","Alte cheltuieli de exploatare"
"account_group_66","Financial expenses","66","","Cheltuieli financiare"
"account_group_664","Expenditure on divested financial investments","664","","Cheltuieli privind investițiile financiare cedate"
"account_group_665","Expenses from exchange rate differences","665","","Cheltuieli din diferențe de curs valutar"
"account_group_68","Depreciation expense, provisions and adjustments for impairment or loss of value","68","","Cheltuieli cu amortizările, provizioanele și ajustările pentru depreciere sau pierdere de valoare"
"account_group_681","Operating expenses related to depreciation, provisions and impairment adjustments","681","","Cheltuieli de exploatare privind amortizările, provizioanele și ajustările pentru depreciere"
"account_group_686","Finance charges on depreciation, provisions and impairment adjustments","686","","Cheltuieli financiare privind amortizările, provizioanele și ajustările pentru pierdere de valoare"
"account_group_69","Income tax and other tax expenses","69","","Cheltuieli cu impozitul pe profit și alte impozite"
"account_group_7","REVENUE ACCOUNTS","7","","CONTURI DE VENITURI"
"account_group_70","Net turnover","70","","Cifra de afaceri netă"
"account_group_701","Revenues from the sale of finished products, agricultural products and biological assets in the nature of stocks","701","","Venituri din vânzarea produselor finite, produselor agricole și a activelor biologice de natura stocurilor"
"account_group_71","Revenues related to the cost of production in progress","71","","Venituri aferente costului producției în curs de execuție"
"account_group_72","Income from the production of fixed assets","72","","Venituri din producția de imobilizări"
"account_group_74","Income from operating subsidies","74","","Venituri din subvenții de exploatare"
"account_group_741","Income from operating subsidies","741","","Venituri din subvenții de exploatare"
"account_group_75","Other operating revenues","75","","Alte venituri din exploatare"
"account_group_751","Income from trust operations","751","","Venituri din derularea operațiunilor de fiducie"
"account_group_758","Other operating revenues","758","","Alte venituri din exploatare"
"account_group_76","Financial income","76","","Venituri financiare"
"account_group_761","Income from financial assets","761","","Venituri din imobilizări financiare"
"account_group_764","Income from divested financial investments","764","","Venituri din investiții financiare cedate"
"account_group_765","Income from exchange rate differences","765","","Venituri din diferențe de curs valutar"
"account_group_78","Income from provisions, amortization and adjustments for depreciation or impairment","78","","Venituri din provizioane, amortizări și ajustări pentru depreciere sau pierdere de valoare"
"account_group_781","Income from provisions and impairment adjustments related to operating activity","781","","Venituri din provizioane și ajustări pentru depreciere privind activitatea de exploatare"
"account_group_786","Financial income from depreciation and impairment adjustments","786","","Venituri financiare din amortizări și ajustări pentru pierdere de valoare"
