"id","name","code","account_type","reconcile","name@vi_VN"
"chart13681","Other internal receivables - short term","13681","asset_receivable","True","Phải thu nội bộ khác - ngắn hạn"
"chart13682","Other internal receivables - long term","13682","asset_receivable","True","Phải thu nội bộ khác - dài hạn"
"chart13811","Shortage of assets awaiting resolution - short term","13811","asset_receivable","True","Tài sản thiếu chờ xử lý - ngắn hạn"
"chart13812","Shortage of assets awaiting resolution - long term","13812","asset_receivable","True","Tài sản thiếu chờ xử lý - dài hạn"
"chart13831","Special consumption tax of imported goods - short term","13831","asset_receivable","True","Thuế TTĐB của hàng nhập khẩu - ngắn hạn"
"chart13832","Special consumption tax of imported goods - long term","13832","asset_receivable","True","Thuế TTĐB của hàng nhập khẩu - dài hạn"
"chart13881","Other receivables - short term","13881","asset_receivable","True","Phải thu khác - ngắn hạn"
"chart13882","Other receivables - long term","13882","asset_receivable","True","Phải thu khác - dài hạn"
"chart1411","Advances - short term","1411","asset_receivable","True","Tạm ứng - ngắn hạn"
"chart1412","Advances - long term","1412","asset_receivable","True","Tạm ứng - dài hạn"
"chart151","Goods in transit","151","asset_current","False","Hàng mua đang đi đường"
"chart152","Raw materials","152","asset_current","False","Nguyên liệu, vật liệu"
"chart1531","Tools & supplies - Short term","1531","asset_current","False","Công cụ, dụng cụ - ngắn hạn"
"chart1532","Tools & supplies - Long term","1532","asset_current","False","Công cụ, dụng cụ - Dài hạn"
"chart1541","Work in Progress - Short term","1541","asset_current","False","Chi phí sản xuất, kinh doanh dở dang - ngắn hạn"
"chart1542","Work in Progress - Long term","1542","asset_current","False","Chi phí sản xuất, kinh doanh dở dang - Dài hạn"
"chart1551","Finished Goods","155","asset_current","False","Sản phẩm"
"chart1561","Goods","156","asset_current","False","Hàng hoá"
"chart157","Outward goods on consignment","157","asset_current","False","Hàng gửi đi bán"
"chart158","Goods in bonded warehouse","158","asset_current","False","Hàng hóa kho bảo thuế"
"chart171","Government bonds purchase-resale","171","asset_current","False","Giao dịch mua bán lại trái phiếu chính phủ"
"chart2111","Tangible fixed assets","211","asset_fixed","False","Tài sản cố định hữu hình"
"chart2121","Financial leased tangible fixed assets","212","asset_fixed","False","Tài sản cố định thuê tài chính"
"chart2131","Intangible fixed assets","213","asset_fixed","False","Tài sản cố định vô hình"
"chart2141","Depreciation of tangible fixed assets","2141","asset_non_current","False","Hao mòn TSCĐ hữu hình"
"chart2142","Depreciation of financial leased assets","2142","asset_non_current","False","Hao mòn TSCĐ thuê tài chính"
"chart2143","Depreciation of intangible fixed assets","2143","asset_non_current","False","Hao mòn TSCĐ vô hình"
"chart2147","Depreciation of investment properties","2147","asset_non_current","False","Hao mòn bất động sản đầu tư"
"chart21511","Livestock for periodic production that have not yet reached maturity","21511","asset_non_current","False","Súc vật nuôi cho sản phẩm định kỳ chưa đạt đến giai đoạn trưởng thành"
"chart215121","Original price","215121","asset_non_current","False","Nguyên giá"
"chart215122","Accumulated Depreciation","215122","asset_non_current","False","Giá trị khấu hao luỹ kế"
"chart21521","Livestock that produces one-time products - Short term","21521","asset_non_current","False","Súc vật nuôi lấy sản phẩm một lần - Ngắn hạn"
"chart21522","Livestock that produces one-time products - Long term","21522","asset_non_current","False","Súc vật nuôi lấy sản phẩm một lần - Dài hạn"
"chart21531","Seasonal or one-time crop - Short term","21531","asset_non_current","False","Cây trồng theo mùa vụ hoặc lấy sản phẩm một lần - Ngắn hạn"
"chart21532","Seasonal or one-time crop - Long term","21532","asset_non_current","False","Cây trồng theo mùa vụ hoặc lấy sản phẩm một lần - Dài hạn"
"chart217","Investment properties","217","asset_non_current","False","Bất động sản đầu tư"
"chart221","Investment in subsidiaries","221","asset_non_current","False","Đầu tư vào công ty con"
"chart222","Investment in joint ventures and associates","222","asset_non_current","False","Đầu tư vào công ty liên doanh, liên kết"
"chart2281","Equity investments in other entities - short term","22811","asset_non_current","False","Đầu tư góp vốn vào đơn vị khác - ngắn hạn"
"chart22812","Equity investments in other entities - long term","22812","asset_non_current","False","Đầu tư góp vốn vào đơn vị khác - dài hạn"
"chart22881","Other investment - short term","22881","asset_non_current","False","Đầu tư khác - ngắn hạn"
"chart22882","Other investment - long term","22882","asset_non_current","False","Đầu tư khác - dài hạn"
"chart2291","Provision for decline in value of trading securities","2291","asset_non_current","False","Dự phòng giảm giá chứng khoán kinh doanh"
"chart22921","Provision for investment loss in other entities - short term","22921","asset_non_current","False","Dự phòng tổn thất đầu tư vào đơn vị khác- ngắn hạn"
"chart22922","Provision for investment loss in BBC contracts - short term","22922","asset_non_current","False","Dự phòng tổn thất đầu tư vào hợp đồng BBC- ngắn hạn"
"chart22923","Provision for investment loss in other entities - long term","22923","asset_non_current","False","Dự phòng tổn thất đầu tư vào đơn vị khác- dài hạn"
"chart22924","Provision for investment loss in other entities held to maturity - long term","22924","asset_non_current","False","Dự phòng tổn thất đầu tư vào đơn vị khác nắm giữ đến ngày đáo hạn - dài hạn"
"chart22931","Provision for doubtful debts - short term","22931","asset_non_current","False","Dự phòng phải thu khó đòi - ngắn hạn"
"chart22932","Provision for doubtful debts - long term","22932","asset_non_current","False","Dự phòng phải thu khó đòi - dài hạn"
"chart22941","Provision for reserve inventories","22941","asset_non_current","False","Dự phòng giảm giá hàng tồn kho"
"chart22942","Provision for reserve inventories - long term work in progress","22942","asset_non_current","False","Dự phòng giảm giá hàng tồn kho- chi phí sản xuất, kinh doanh dở dang dài hạn"
"chart22943","Provision for reserve inventories (Equipment and Spare parts)","22943","asset_non_current","False","Dự phòng giảm giá hàng tồn kho- thiết bị, vật tư, phụ tùng thay thế dài hạn"
"chart22951","Provision for biology asset loss - Short term","22951","asset_non_current","False","Dự phòng tổn thất tài sản sinh học - Ngắn hạn"
"chart22952","Provision for biology asset loss - Long term","22952","asset_non_current","False","Dự phòng tổn thất tài sản sinh học - Dài hạn"
"chart2411","Acquisition of fixed assets","2411","asset_non_current","False","Mua sắm TSCĐ"
"chart2412","Construction in progress","2412","asset_non_current","False","Xây dựng cơ bản"
"chart2413","Periodic repairs and maintenance of fixed assets","2413","asset_non_current","False","Sửa chữa, bảo dưỡng định kỳ TSCĐ"
"chart2414","Upgrading, renovating fixed assets","2414","asset_non_current","False","Nâng cấp, cải tạo TSCĐ"
"chart2421","Expenses waiting for allocation - short term","2421","asset_prepayments","False","Chi phí chờ phân bổ - ngắn hạn"
"chart2422","Expenses waiting for allocation - long term","2422","asset_prepayments","False","Chi phí chờ phân bổ - dài hạn"
"chart243","Deferred tax assets","243","asset_non_current","False","Tài sản thuế thu nhập hoãn lại"
"chart2441","Deposits - short term","2441","asset_non_current","False","Ký quỹ, ký cược - ngắn hạn"
"chart2442","Deposits - long term","2442","asset_non_current","False","Ký quỹ, ký cược - dài hạn"
"chart3311","Trade payables - short term","3311","liability_payable","True","Phải trả cho người bán - ngắn hạn"
"chart3312","Trade payables - long term","3312","liability_payable","True","Phải trả cho người bán - dài hạn"
"chart332","Dividend payable","332","liability_payable","True","Phải trả cổ tức, lợi nhuận"
"chart33311","Output VAT","33311","liability_current","False","Thuế GTGT đầu ra"
"chart33312","VAT on imported goods","33312","liability_payable","True","Thuế GTGT hàng nhập khẩu"
"chart33321","Special consumption tax- short term","33321","liability_current","False","Thuế tiêu thụ đặc biệt - ngắn hạn"
"chart33322","Special consumption tax - long term","33322","liability_current","False","Thuế tiêu thụ đặc biệt - dài hạn"
"chart33331","Import & export tax - short term","33331","liability_current","False","Thuế xuất, nhập khẩu - ngắn hạn"
"chart33332","Import & export tax - long term","33332","liability_current","False","Thuế xuất, nhập khẩu - dài hạn"
"chart33341","Corporate income tax - short term","33341","liability_current","False","Thuế thu nhập doanh nghiệp - ngắn hạn"
"chart33342","Corporate income tax - long term","33342","liability_current","False","Thuế thu nhập doanh nghiệp - dài hạn"
"chart33351","Personal income tax - short term","33351","liability_current","False","Thuế thu nhập cá nhân - ngắn hạn"
"chart33352","Personal income tax - long term","33352","liability_current","False","Thuế thu nhập cá nhân - dài hạn"
"chart33361","Natural resources using tax - short term","33361","liability_current","False","Thuế tài nguyên - ngắn hạn"
"chart33362","Natural resources using tax - long term","33362","liability_current","False","Thuế tài nguyên - dài hạn"
"chart33371","Land & housing tax, land rental charges - short term","33371","liability_current","False","Thuế nhà đất, tiền thuê đất - ngắn hạn"
"chart33372","Land & housing tax, land rental charges - long term","33372","liability_current","False","Thuế nhà đất, tiền thuê đất - dài hạn"
"chart33381","Environment protection tax","33381","liability_current","False","Thuế bảo vệ môi trường"
"chart33382","Other taxes","33382","liability_current","False","Các loại thuế khác"
"chart33391","Fees & charges & other payables - short term","33391","liability_payable","True","Phí, lệ phí và các khoản phải nộp khác - ngắn hạn"
"chart33392","Fees & charges & other payables - long term","33392","liability_payable","True","Phí, lệ phí và các khoản phải nộp khác - dài hạn"
"chart33411","Payables to staff - short term","3341","liability_payable","True","Phải trả công nhân viên - ngắn hạn"
"chart33412","Payables to staff - long term","3342","liability_payable","True","Phải trả công nhân viên - dài hạn"
"chart3351","Accrued expenses - short term","3351","liability_payable","True","Chi phí phải trả - ngắn hạn"
"chart3352","Accrued expenses - long term","3352","liability_payable","True","Chi phí phải trả - dài hạn"
"chart3361","Internal payables for working capital received","3361","liability_payable","True","Phải trả nội bộ về vốn kinh doanh"
"chart33621","Internal payables for foreign exchange differences - short term","33621","liability_payable","True","Phải trả nội bộ về chênh lệch tỉ giá - ngắn hạn"
"chart33622","Internal payables for foreign exchange differences - long term","33622","liability_payable","True","Phải trả nội bộ về chênh lệch tỉ giá - dài hạn"
"chart33631","Internal payables for borrowing costs eligible for capitalization - short term","33631","liability_payable","True","Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá - ngắn hạn"
"chart33632","Internal payables for borrowing costs eligible for capitalization - long term","33632","liability_payable","True","Phải trả nội bộ về chi phí đi vay đủ điều kiện được vốn hoá - dài hạn"
"chart33681","Other internal payables - short term","33681","liability_payable","True","Phải trả nội bộ khác - ngắn hạn"
"chart33682","Other internal payables - long term","33682","liability_payable","True","Phải trả nội bộ khác -  dài hạn"
"chart337","Progress billings for construction contracts","337","liability_payable","True","Thanh toán theo tiến độ hợp đồng xây dựng"
"chart33811","Surplus of assets awaiting for resolution - short term","33811","liability_payable","True","Tài sản thừa chờ giải quyết - ngắn hạn"
"chart33812","Surplus of assets awaiting for resolution - long term","33812","liability_payable","True","Tài sản thừa chờ giải quyết - dài hạn"
"chart33821","Trade union fees - short term","33821","liability_payable","True","Kinh phí công đoàn - ngắn hạn"
"chart33822","Trade union fees - long term","33822","liability_payable","True","Kinh phí công đoàn - dài hạn"
"chart33831","Social insurance - short term","33831","liability_payable","True","Bảo hiểm xã hội - ngắn hạn"
"chart33832","Social insurance - long term","33832","liability_payable","True","Bảo hiểm xã hội - dài hạn"
"chart33841","Health insurance - short term","33841","liability_payable","True","Bảo hiểm y tế - ngắn hạn"
"chart33842","Health insurance - long term","33842","liability_payable","True","Bảo hiểm y tế - dài hạn"
"chart33861","Unemployment insurance - short term","33861","liability_payable","True","Bảo hiểm thất nghiệp - ngắn hạn"
"chart33862","Unemployment insurance - long term","33862","liability_payable","True","Bảo hiểm thất nghiệp - dài hạn"
"chart33871","Unearned revenue - short term","33871","liability_current","True","Doanh thu chưa thực hiện - ngắn hạn"
"chart33872","Unearned revenue - long term","33872","liability_current","True","Doanh thu chưa thực hiện - dài hạn"
"chart33881","Other payables - short term","33881","liability_payable","True","Phải trả, phải nộp khác - ngắn hạn"
"chart33882","Other payables - long term","33882","liability_payable","True","Phải trả, phải nộp khác - dài hạn"
"chart34111","Borrowings - short term","34111","liability_payable","True","Các khoản đi vay - ngắn hạn"
"chart34112","Borrowings - long term","34112","liability_payable","True","Các khoản đi vay - dài hạn"
"chart34121","Financial leased liabilities - short term","34121","liability_current","False","Nợ thuê tài chính - ngắn hạn"
"chart34122","Financial leased liabilities - long term","34122","liability_current","False","Nợ thuê tài chính - dài hạn"
"chart34311","Ordinary bonds - Short term","34311","liability_current","False","Trái phiếu thường - ngắn hạn"
"chart34312","Ordinary bonds - Long term","34312","liability_current","False","Trái phiếu thường - dài hạn"
"chart3432","Convertible bonds","3432","liability_current","False","Trái phiếu chuyển đổi"
"chart3441","Deposits received - short term","3441","liability_current","False","Nhận ký quỹ, ký cược - ngắn hạn"
"chart3442","Deposits received - long term","3442","liability_current","False","Nhận ký quỹ, ký cược - dài hạn"
"chart347","Deferred tax liabilities","347","liability_current","False","Thuế thu nhập hoãn lại phải trả"
"chart35211","Product warranty provisions - short term","35211","liability_current","False","Dự phòng bảo hành sản phẩm hàng hoá - ngắn hạn"
"chart35212","Product warranty provisions - long term","35212","liability_current","False","Dự phòng bảo hành sản phẩm hàng hoá - dài hạn"
"chart35221","Construction warranty provisions - short term","35221","liability_current","False","Dự phòng bảo hành công trình xây dựng - ngắn hạn"
"chart35222","Construction warranty provisions - long term","35222","liability_current","False","Dự phòng bảo hành công trình xây dựng - dài hạn"
"chart35231","Enterprise restructuring provisions - short term","35231","liability_current","False","Dự phòng tái cơ cấu doanh nghiệp - ngắn hạn"
"chart35232","Enterprise restructuring provisions - long term","35232","liability_current","False","Dự phòng tái cơ cấu doanh nghiệp - dài hạn"
"chart35241","Other provisions - short term","35251","liability_current","False","Dự phòng phải trả khác - ngắn hạn"
"chart35242","Other provisions - long term","35252","liability_current","False","Dự phòng phải trả khác - dài hạn"
"chart3531","Bonus fund","3531","liability_current","False","Quỹ khen thưởng"
"chart3532","Welfare fund","3532","liability_current","False","Quỹ phúc lợi"
"chart3533","Welfare fund used for fixed asset acquisitions","3533","liability_current","False","Quỹ phúc lợi đã hình thành TSCĐ"
"chart3534","Management bonus fund","3534","liability_current","False","Quỹ thưởng ban quản lý điều hành công ty"
"chart3561","Science and technology development fund","3561","liability_current","False","Quỹ phát triển khoa học và công nghệ"
"chart3562","Science and technology development fund used for fixed asset acquisition","3562","liability_current","False","Quỹ phát triển khoa học và công nghệ đã hình thành TSCĐ"
"chart357","Price stabilization fund","357","liability_current","False","Quỹ bình ổn giá"
"chart41111","Ordinary shares with voting rights","41111","equity","False","Cổ phiếu phổ thông có quyền biểu quyết"
"chart41112","Preferred shares - payable ","411121","equity","False","Cổ phiếu ưu đãi - Nợ phải trả"
"chart411122","Preferred shares - owner's equity ","411122","equity","False","Cổ phiếu ưu đãi - Vốn chủ sở hữu"
"chart4112","Capital surplus","4112","equity","False","Thặng dư vốn"
"chart4113","Conversion options on convertible bonds","4113","equity","False","Quyền chọn chuyển đổi trái phiếu"
"chart4118","Other capital","4118","equity","False","Vốn khác"
"chart412","Revaluation differences on asset","412","equity","False","Chênh lệch đánh giá lại tài sản"
"chart4131","Exchange rate differences ","413","equity","False","Chênh lệch tỷ giá hối đoái"
"chart414","Investment & development fund","414","equity","False","Quỹ đầu tư phát triển"
"chart418","Other equity funds","418","equity","False","Các quỹ khác thuộc vốn chủ sở hữu"
"chart419","Stocks bought from oneself","419","equity","False","Cổ phiếu mua lại của chính mình"
"chart4211","Undistributed profit after tax of previous year","4211","equity","False","Lợi nhuận sau thuế chưa phân phối năm trước"
"chart4212","Undistributed profit after tax of current year","4212","equity","False","Lợi nhuận sau thuế chưa phân phối năm nay"
"chart5111","Revenue from sales and services","511","income","False","Doanh thu bán hàng và cung cấp dịch vụ"
"chart515","Financial income","515","income","False","Doanh thu hoạt động tài chính"
"chart5211","Sales discounts","521","income","False","Các khoản giảm trừ doanh thu"
"chart621","Direct raw material costs","621","expense_direct_cost","False","Chi phí nguyên liệu, vật liệu trực tiếp"
"chart622","Direct labour costs","622","expense_direct_cost","False","Chi phí nhân công trực tiếp"
"chart6231","Labour costs","6231","expense_direct_cost","False","Chi phí nhân công"
"chart6232","Material costs","6232","expense_direct_cost","False","Chi phí nguyên, vật liệu"
"chart6233","Tools and instruments","6233","expense_direct_cost","False","Chi phí dụng cụ sản xuất"
"chart6234","Equipment depreciation expense","6234","expense_direct_cost","False","Chi phí khấu hao máy thi công"
"chart6237","Outside services","6237","expense_direct_cost","False","Chi phí dịch vụ mua ngoài"
"chart6238","Other expenses","6238","expense_direct_cost","False","Chi phí bằng tiền khác"
"chart6271","Factory staff costs","6271","expense_direct_cost","False","Chi phí nhân viên phân xưởng"
"chart6272","Material costs","6272","expense_direct_cost","False","Chi phí nguyên, vật liệu"
"chart6273","Tools and instruments","6273","expense_direct_cost","False","Chi phí dụng cụ sản xuất"
"chart6274","Fixed asset depreciation","6274","expense_depreciation","False","Chi phí khấu hao TSCĐ"
"chart6275","Taxes, fees and charges","6275","expense_direct_cost","False","Thuế, phí, lệ phí"
"chart6277","Outside services","6277","expense_direct_cost","False","Chi phí dịch vụ mua ngoài"
"chart6278","Other expenses","6278","expense_direct_cost","False","Chi phí bằng tiền khác"
"chart632","Costs of goods sold","632","expense_direct_cost","False","Giá vốn hàng bán"
"chart635","Financial expenses","635","expense","False","Chi phí tài chính"
"chart6351","Financial expenses - interest expense","6351","expense","False","Chi phí tài chính"
"chart6411","Employees costs","6411","expense","False","Chi phí nhân viên"
"chart6412","Materials and packing materials","6412","expense","False","Chi phí nguyên vật liệu, bao bì"
"chart6413","Tools and instruments","6413","expense","False","Chi phí dụng cụ, đồ dùng"
"chart6414","Fixed asset depreciation","6414","expense_depreciation","False","Chi phí khấu hao TSCĐ"
"chart6415","Taxes, fees and charges","6415","expense","False","Thuế, phí, lệ phí"
"chart6417","Outside services","6417","expense","False","Chi phí dịch vụ mua ngoài"
"chart6418","Other expenses","6418","expense","False","Chi phí bằng tiền khác"
"chart6421","Employees management costs","6421","expense","False","Chi phí nhân viên"
"chart6422","Office supply expenses","6422","expense","False","Chi phí vật liệu quản lý"
"chart6423","Stationery costs","6423","expense","False","Chi phí đồ dùng văn phòng"
"chart6424","Fixed asset depreciation","6424","expense_depreciation","False","Chi phí khấu hao TSCĐ"
"chart6425","Taxes, fees and charges","6425","expense","False","Thuế, phí và lệ phí"
"chart6426","Provision expenses","6426","expense","False","Chi phí dự phòng"
"chart6427","Outside services","6427","expense","False","Chi phí dịch vụ mua ngoài"
"chart6428","Other expenses","6428","expense","False","Chi phí bằng tiền khác"
"chart711","Other Income","711","income_other","False","Thu nhập khác"
"chart811","Other Expenses","811","expense","False","Chi phí khác"
"chart8211","Current corporate income tax expenses according to the provisions of the Law on Corporate Income Tax","82111","expense","False","Chi phí thuế thu nhập doanh nghiệp hiện hành theo quy định của Luật thuế thu nhập doanh nghiệp"
"chart82112","Additional corporate income tax expense under the global minimum tax rules","82112","expense","False","Chi phí thuế thu nhập doanh nghiệp bổ sung theo quy định về thuế tối thiểu toàn cầu"
"chart8212","Deferred tax expense","8212","expense","False","Chi phí thuế thu nhập doanh nghiệp hoãn lại"
"chart911","Income Summary","911","equity_unaffected","False","Xác định kết quả kinh doanh"
