id,code,description,depreciation_min,depreciation_max
l10n_ro_saft_1_9_4,1.9.4,"Other constructions for the transport and distribution of oil, gases, industrial liquids, compressed air and heating, not found in subgroup 1.9.",16,24
l10n_ro_saft_1_10,1.10,Other constructions not found in group 1.,24,36
l10n_ro_saft_2_1_1_1,2.1.1.1,"Machines, equipment and installations for the construction of mining wells and mining drilling. Mining machines, mining combines and coal plows. Multifunctional machines on tracks.",5,9
l10n_ro_saft_2_1_1_2,2.1.1.2,"Machines, equipment and installations for the support of slaughterhouses and for cutting and processing.",3,5
l10n_ro_saft_2_1_1_3,2.1.1.3,Loading machines and equipment for backfilling.,4,8
l10n_ro_saft_2_1_1_4,2.1.1.4,"Excavators with rotor and piling installations. Crushing and grinding machines, equipment and installations.",8,12
l10n_ro_saft_2_1_1_5,2.1.1.5,"Machines, machines and installations for grading; for separation and concentration (gravimetric, magnetic, electrostatic). Machines, equipment and installations for flotation.",6,10
l10n_ro_saft_2_1_1_6,2.1.1.6,"Machines, equipment and installations for the extraction and preparation of precious metals. Salt tableting and briquetting machines. Machines and equipment for briquetting coal",8,12
l10n_ro_saft_2_1_1_7,2.1.1.7,Grinding machines and wagon cleaning machines.,4,8
l10n_ro_saft_2_1_1_8,2.1.1.8,Other technological equipment not found in class 2.1.1.,4,6
l10n_ro_saft_2_1_2_1,2.1.2.1,Probes,7,11
l10n_ro_saft_2_1_2_2,2.1.2.2,Equipment and installations for drilling oil and gas wells,5,9
l10n_ro_saft_2_1_2_3,2.1.2.3,"Tripods, metal towers, girders, cranes, winches and rotary tables. Cementing and cracking aggregates. Machines, equipment and installations for oil and gas extraction.",8,12
l10n_ro_saft_2_1_2_4,2.1.2.4,"Machines, equipment and installations for coring, deviations and perforations",4,8
l10n_ro_saft_2_1_2_5,2.1.2.5,Other technological equipment not found in class 2.1.2.,6,10
l10n_ro_saft_2_1_3_1,2.1.3.1,"Machines, equipment and installations for the production of metallurgical coke; for the production of first fusion cast iron and ferroalloys. Machines, equipment and installations for the production of welding electrodes. Machines, equipment and installations for covering and protecting the surface of laminates, pipes and wire rods.",11,17
l10n_ro_saft_2_1_3_2,2.1.3.2,"Machines, equipment and installations for steel production.",12,18
l10n_ro_saft_2_1_3_3,2.1.3.3,"Machines, equipment and installations for the production of laminates. Machines, equipment and installations for the production of bars, wires and drawn pipes. Machines, equipment and installations for the production of welded pipes.",9,15
l10n_ro_saft_2_1_3_4,2.1.3.4,"Other machines, equipment and installations not included in class 2.1.3.",9,15
l10n_ro_saft_2_1_4_1,2.1.4.1,"Machines and installations for reduction, melting, distillation and casting. Furnaces for pre-refining; machines and installations for converters and refining.",11,17
l10n_ro_saft_2_1_4_2,2.1.4.2,"Machines and installations for the processing of products, by-products and waste from non-ferrous metallurgy.",9,15
l10n_ro_saft_2_1_4_3,2.1.4.3,"Other machines, equipment and installations not included in class 2.1.4.",9,15
l10n_ro_saft_2_1_5_1,2.1.5.1,"Horizontal boring and milling machines. Planing machines with movable table. Forge hammers. Forging presses; special and specialized presses; forging machines; machines for rolling, bending and cutting sheets, profiles and pipes; special auxiliary machines for the forge. Machines and heating installations for the forge. Machines, equipment and installations for debating and cleaning cast parts. Machines, equipment and installations for thermal treatments. Machines, machines and specific installations for the production of cables and conductors. Machines, equipment and specific installations for the production of electro-insulating materials and powders. Machines, equipment and specialized installations for making wire products (nails, needles, targets, etc.). Machines, machines and specialized installations for manufacturing thin sheet products (toys, packaging, etc.). Machines, machinery and specialized installations for manufacturing vehicles, tractors, locomotives, wagons. Specialized machines for making rivets, screws, screws, nuts and bolts. Machines, machinery and specialized installations for shipbuilding, except for:",9,15
l10n_ro_saft_2_1_5_1_1,2.1.5.1.1,Automatic forming-casting lines.,12,18
l10n_ro_saft_2_1_5_2,2.1.5.2,"Lathes: - parallel; - fronts and carousel; - revolver, automatic and semi-automatic; - specialized. Boring machines. Milling machines. Machines for planing with a movable knife (sepings) and for mortising, for processing toothed wheels, for threading, etc. fixed grinders. Drilling machines, metal cutting machines. Aggregate machines; automatic and semi-automatic lines; metal cutting centers. Forming, coring and precision forming machines and with easily fusible models; molding machines; dryers for molds and cores; machines, equipment and installations for the elaboration of metals and alloys. Machines, equipment and installations for painting and metal coatings. Machines, equipment and common installations for the electrotechnical industry. Machines, equipment and specific installations for the production of transformers. Machines, equipment and specific installations for the production of rotary electric machines. Machines, equipment and specific installations for the production of high and low voltage equipment, electrical, telephone and measuring devices. Machines, equipment and specific installations for the manufacture of electrochemical products and lighting sources. Machines, machines and specific installations for metal processing through special processes (ultrasound, etc.). Machines, equipment and specialized installations for aeronautical constructions. Specialized machines for making armatures and fittings.",8,12
l10n_ro_saft_2_1_5_3,2.1.5.3,Specialized machines for making springs.,9,15
l10n_ro_saft_2_1_5_4,2.1.5.4,"Machines, machines and specialized installations for making watches.",6,10
l10n_ro_saft_2_1_5_5,2.1.5.5,"Machines, equipment and installations for metal welding.",6,10
l10n_ro_saft_2_1_5_6,2.1.5.6,"Machines, machines and specific installations for the production of components of electronic products and systems (semiconductors, printed circuits, audio and video devices, electronic measuring devices and instruments, computers and peripherals, etc.).",5,9
l10n_ro_saft_2_1_5_7,2.1.5.7,"Portable machines for polishing, grinding, cutting, drilling, etc.",2,4
l10n_ro_saft_2_1_5_8,2.1.5.8,"Other machines, equipment and installations not found in class 2.1.5.",8,12
l10n_ro_saft_2_1_6_1_1_a,2.1.6.1.1.a,a) neutral or slightly corrosive environment;,9,15
l10n_ro_saft_2_1_6_1_1_b,2.1.6.1.1.b,b) strongly corrosive environment,6,10
l10n_ro_saft_2_1_6_1_2_a,2.1.6.1.2_a,a) neutral or slightly corrosive environment;,8,12
l10n_ro_saft_2_1_6_1_2_b,2.1.6.1.2_b,b) strongly corrosive environment.,5,9
l10n_ro_saft_2_1_6_2_1,2.1.6.2.1,"Machines, equipment and specific installations for the production of sulfuric acid and phosphate fertilizers, ammonia, nitric acid and nitrogen fertilizers. Machines, machines and installations specific to the production of soda; Machines, equipment and installations specific to the production of oxygen carbide, powders and explosives. Other machines, equipment and specific installations for the inorganic chemical industry.",8,12
l10n_ro_saft_2_1_6_2_2,2.1.6.2.2,"Machines, equipment and installations specific to the production of chlorine and its compounds.",4,8
l10n_ro_saft_2_1_6_3_1,2.1.6.3.1,"Machines, equipment and installations specific to the production of artificial fibers and threads. Vessels for coagulation of latex, molding presses, automatic machines for packing in bales and machines for molding rubber samples. Machines, equipment and specialized installations for manufacturing rubber products (tyres, gaskets, tubes, etc.)",9,15
l10n_ro_saft_2_1_6_3_2,2.1.6.3.2,"Granulators for carbon black. Butane dehydrogenation reactors; polymerizers. Machines, equipment and specialized installations for manufacturing plastic products. Machines, equipment and specialized installations for the production of medicines.",8,12
l10n_ro_saft_2_1_6_3_3,2.1.6.3.3,"Installations for preparing solutions, in closed circuit, in glass vessels and quartz vessels for filtration.",2,4
l10n_ro_saft_2_1_6_3_4,2.1.6.3.4,"Other machines, equipment and installations for the organic chemical industry.",9,15
l10n_ro_saft_2_1_6_4,2.1.6.4,"Machines, equipment and installations specific to the processing of crude oil, except for:",9,15
l10n_ro_saft_2_1_6_4_1,2.1.6.4.1,- fractional distillation columns and inert gas generators; - containers for propane and butane;,12,18
l10n_ro_saft_2_1_6_4_2,2.1.6.4.2,"- aggregates for hydraulic coke cutting, catalyst regenerators and humidifiers: columns for SO(2) recovery from raffinate and solvent columns with sulfur dioxide and furnaces for burning tars;",7,11
l10n_ro_saft_2_1_6_5,2.1.6.5,"Machines, equipment and installations specific to the production of soap, detergents and candles.",8,12
l10n_ro_saft_2_1_6_6,2.1.6.6,"Other machines, equipment and installations not included in class 2.1.6.",8,12
l10n_ro_saft_2_1_7_1,2.1.7.1,"Machines, equipment and installations for shaping products, except for:",9,15
l10n_ro_saft_2_1_7_1_1,2.1.7.1.1,- press molding machines; - shaping machines by lamination; - vibropresses and sleepers for concrete blocks.,8,12
l10n_ro_saft_2_1_7_2,2.1.7.2,"Machines, equipment and installations for drying products. Machines, equipment and installations for maturing products",12,18
l10n_ro_saft_2_1_7_3,2.1.7.3,"Machines, equipment and installations for burning products, except for:",16,24
l10n_ro_saft_2_1_7_3_1,2.1.7.3.1,- electric furnaces for the production of electro-corundum and silicon carbide as well as for firing enamel.,11,17
l10n_ro_saft_2_1_7_4,2.1.7.4,"Machines, equipment and installations for servicing dryers and ovens. Machines and specific installations for the production of cement, lime and plaster. Machines and installations specific to the manufacture of asbestos cement products. Machines, equipment and installations specific to the production of waterproofing materials (asphalted cardboard, etc.). Machines and installations specific to the production of heat-insulating materials (mineral wool, wool and glass fiber felt). Machines and installations specific to the production of technical sealing gaskets. Machines and installations specific to the production of washers, insulating boards and cork plugs. Machines and specific installations for extracting and processing marble and natural and artificial construction stone. Machines, equipment and specific installations for product packaging. Machines and specific installations for concrete prefabs, silica-limestone bricks and cement tiles, except for:",12,18
l10n_ro_saft_2_1_7_4_1,2.1.7.4.1,"- metal and concrete patterns, heaters; - vertical boxes.",4,6
l10n_ro_saft_2_1_7_4_2,2.1.7.4.2,- patterns for concrete tubes.,8,12
l10n_ro_saft_2_1_7_5,2.1.7.5,"Other machines, equipment and installations not included in class 2.1.7.",12,18
l10n_ro_saft_2_1_8_1,2.1.8.1,"Machines for peeling, splitting, chopping and shredding. Lathes and copying machines, Saws, except for:",8,12
l10n_ro_saft_2_1_8_1_1,2.1.8.1.1,- portable chain saws,2,3
l10n_ro_saft_2_1_8_2,2.1.8.2,"Planing, milling, drilling and chiselling machines, except for:",8,12
l10n_ro_saft_2_1_8_2_1,2.1.8.2.1,"- portable machines for planing, milling, drilling and chiselling.",2,4
l10n_ro_saft_2_1_8_3,2.1.8.3,"Grinding, polishing machines, combined machines, aggregate machines, except for:",8,12
l10n_ro_saft_2_1_8_3_1,2.1.8.3.1,- portable grinding and polishing machines.,2,4
l10n_ro_saft_2_1_8_4,2.1.8.4,"Machine-tools for processing wood by cutting and bending machines; joining and assembling aggregates; specific presses for the wood industry; machines, equipment and installations for preparing and applying adhesives and varnishes, except for:",8,12
l10n_ro_saft_2_1_8_4_1,2.1.8.4.1,"- portable machines for cutting and joining with staples, nails, clamps.",2,4
l10n_ro_saft_2_1_8_5,2.1.8.5,"Machines, equipment and installations for drying, steaming and heat treatment, except for:",9,15
l10n_ro_saft_2_1_8_5_1,2.1.8.5.1,- machines and installations for steaming and boiling wood.,4,6
l10n_ro_saft_2_1_8_6,2.1.8.6,"Machines, equipment and installations specific to the manufacturing lines for wood processing.",9,15
l10n_ro_saft_2_1_8_7,2.1.8.7,"Machines, equipment and installations for forestry.",5,9
l10n_ro_saft_2_1_8_8,2.1.8.8,"Other machines, equipment and installations not included in class 2.1.8.",8,12
l10n_ro_saft_2_1_9_1,2.1.9.1,"Machines, machines and installations for the manufacture of pulp, except for:",10,16
l10n_ro_saft_2_1_9_1_1,2.1.9.1.1,- wooden spoons for washing.,5,9
l10n_ro_saft_2_1_9_2,2.1.9.2,"Machines and installations for the manufacture of paper, cardboard and cardboard. Machines and equipment for impregnating and ennobling paper and cardboard. Machinery for harvesting and baling reeds, except for:",8,12
l10n_ro_saft_2_1_9_2_1,2.1.9.2.1,- special tractors for reed harvesting; - reed harvesters.,5,9
l10n_ro_saft_2_1_9_3,2.1.9.3,Machines and equipment for paper products and paper processing.,10,16
l10n_ro_saft_2_1_9_4,2.1.9.4,"Other machines, equipment and installations not found in class 2.1.9.",8,12
l10n_ro_saft_2_1_10_1_a,2.1.10.1.a,"Furnaces for the production of glass mass and the treatment of glass products; glass forming and processing machines, except for:",11,17
l10n_ro_saft_2_1_10_1_b,2.1.10.1.b,"- melting furnaces with pots; to bend and secure windows; - machines for making glass equipment for the laboratory, grading machines, machines for breaking reinforced glass, for straightening glass tubes, for closing thermometers, for washing shards, washer parts for glass pulling machines; - machines for forming ceramic materials; - machines and installations for finishing and decorating glass and fine ceramic products.",9,15
l10n_ro_saft_2_1_10_2,2.1.10.2,"Machines for packing bottles, for washing and squeezing the filter cloth, slurry dosing installations, etc.",11,17
l10n_ro_saft_2_1_10_3,2.1.10.3,"Other machines, equipment and installations not found in class 2.1.10.",9,15
l10n_ro_saft_2_1_11_1,2.1.11.1,"Machines for the primary processing of natural fibers. Machines, equipment and installations for the primary processing of wool fibers and hair. Machines for the preliminary processing of fiber waste and rags. Cotton spinning machines and installations.",8,14
l10n_ro_saft_2_1_11_2,2.1.11.2,"Machines, machines and installations from natural silk spinning. Machines, machines and installations from Liberian fiber spinning and wool spinning. Machines and equipment for the preparation of threads. Machines, equipment and installations for the production of non-woven textile materials and electroplus. Machines for preparation for treatments and finishing. Machines, devices and installations for dyeing and printing textile materials.",8,12
l10n_ro_saft_2_1_11_3_a,2.1.11.3_a,Bleaching machines and installations. Machines and installations for wet treatments without the use of dyes.,8,14
l10n_ro_saft_2_1_11_3_b,2.1.11.3_b,"Machines for wringing and drying textile materials. Machines and installations for special dressing and finishing of textile materials; to control, adjust and pack. Weaving machines.",8,14
l10n_ro_saft_2_1_11_4,2.1.11.4,"Knitting machines; to braid, crochet and knot.",6,10
l10n_ro_saft_2_1_11_5,2.1.11.5,"Other machines, equipment and installations not included in class 2.1.11.",8,12
l10n_ro_saft_2_1_12,2.1.12,"Machines, equipment and installations for the clothing industry",8,12
l10n_ro_saft_2_1_13_1,2.1.13.1,"Machines, equipment and installations for the production of artificial soles. Machines, equipment and installations for the manufacture of leather and leather substitutes footwear. Machines, equipment and installations for the manufacture of rubber footwear; for the manufacture of: gloves, fur coats, leather goods and technical leather articles.",8,12
l10n_ro_saft_2_1_13_2,2.1.13.2,"Machines, equipment and installations for tobacconists, except for:",8,14
l10n_ro_saft_2_1_13_2_1,2.1.13.2.1,"- soaking, ashing, pre-tanned, tanned and bleached basins.",16,24
l10n_ro_saft_2_1_13_2_2,2.1.13.2.2,"- haspes for soaking, ashing, decalcified, smalling, skinned, tanned and argasited and barrels for soaking, ashing, decalcified, smalling, skinned, tanned, painted, retanned, oiled, galvanized, etc.; helical aggregates of ash and tan.",12,18
l10n_ro_saft_2_1_13_3,2.1.13.3,"Other machines, equipment and installations not included in class 2.1.13.",9,15
l10n_ro_saft_2_1_14_1,2.1.14.1,"Machines, equipment and installations for slaughterhouses and the production of meat preparations.",8,14
l10n_ro_saft_2_1_14_2,2.1.14.2,"Machines, equipment and installations for milk and dairy products.",8,12
l10n_ro_saft_2_1_14_3,2.1.14.3,"Machines, equipment and installations for the production of vegetable oils and margarine; bakery and the production of pasta and biscuits. Machines, equipment and installations for the production of spirit, starch, glucose, dextrin and compressed yeast. Machines and installations for the production of brandy, natural brandies, other distilled and gaseous drinks, essences and vinegar.",9,15
