"id","sequence","name","description","invoice_label","amount_type","amount","type_tax_use","price_include","active","tax_group_id","l10n_de_datev_code","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","repartition_line_ids/account_id",description@de,"invoice_label@de"
"tax_vst_ust_19_purchase_13a_auslagerung_skr04","27","19% OUT","Tax acc. to §13a para. 1 no. 6 UStG 19%USt/19%VSt (outsourcing)","Tax acc. to §13a para. 1 no. 6 UStG 19%VAT/19%VSt (outsourcing)","percent","19.0","purchase","False","True","tax_group_0","","base","invoice","","","","Steuer gem. §13a Abs. 1 Nr. 6 UStG 19%USt/19%VSt (Auslagerung)","Steuer gem. §13a Abs. 1 Nr. 6 UStG 19%USt/19%VSt (Auslagerung)"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1431","",""
"","","","","","","","","","","","","tax","invoice","-69","-100","chart_skr04_3851","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1431","",""
"","","","","","","","","","","","","tax","refund","+69","-100","chart_skr04_3851","",""
"tax_vst_ust_7_purchase_13a_auslagerung_skr04","28","7% OUT","Tax acc. to §13a Abs. 1 Nr. 6 UStG 7%USt/7VSt (outsourcing)","Tax acc. to §13a para. 1 no. 6 UStG 7%VAT/7%VSt (outsourcing)","percent","7.0","purchase","False","True","tax_group_0","","base","invoice","","","","Steuer gem. §13a Abs. 1 Nr. 6 UStG 7%USt/7%VSt (Auslagerung)","Steuer gem. §13a Abs. 1 Nr. 6 UStG 7%USt/7VSt (Auslagerung)"
"","","","","","","","","","","","","tax","invoice","-66","","chart_skr04_1431","",""
"","","","","","","","","","","","","tax","invoice","-69","-100","chart_skr04_3851","",""
"","","","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","","","tax","refund","+66","","chart_skr04_1431","",""
"","","","","","","","","","","","","tax","refund","+69","-100","chart_skr04_3851","",""
