"id","code_prefix_start","code_prefix_end","name","name@es"
"account_group_32","32","","Restricted Utilities","Utilidades Restringidas"
"account_group_3201","3201","","Legal Reserve","Reserva Legal"
"account_group_33","33","","Results","Resultados"
"account_group_3301","3301","","Accumulated Results","Resultados Acumulados"
"account_group_3302","3302","","Results for the year","Resultados del Ejercicio"
"account_group_3304","3304","","Other Equity Reserves","Otras Reservas de Patrimonio"
"account_group_4","4","","Revenues and Earnings","Ingresos y Ganancias"
"account_group_41","41","","Operating Revenues","Ingresos por Operaciones"
"account_group_4101","4101","","Sales of Goods","Ventas de Bienes"
"account_group_4102","4102","","Sales of Services","Ventas de Servicios"
"account_group_4103","4103","","Returns","Devoluciones"
"account_group_4104","4104","","Discounts","Descuentos"
"account_group_42","42","","Non-Operating Income","Ingresos No Operacionales"
"account_group_4201","4201","","Interest Earned","Intereses Ganados"
"account_group_4202","4202","","Sales of Assets","Ventas de Activos"
"account_group_4203","4203","","Dividends Earned","Dividendos Ganados"
"account_group_4204","4204","","Extraordinary Income","Ingresos Extraordinarios"
"account_group_5","5","","Costs, Expenses and Losses","Costos, Gastos y Pérdidas"
"account_group_51","51","","Operating Costs","Costos de Operación"
"account_group_5101","5101","","Cost of sales","Costos de Ventas"
"account_group_5102","5102","","Production Costs","Costos de Producción"
"account_group_6","6","","Expenses and Losses","Gastos y Pérdidas"
"account_group_61","61","","Operating Expenses","Gastos de Operación"
"account_group_6101","6101","","Personnel Expenses","Gastos de Personal"
"account_group_610101","610101","","Social Security Contributions","Aportes a la Seguridad Social"
"account_group_610102","610102","","Other Employer's Liabilities","Otras Cargas Patronales"
"account_group_6102","6102","","Administrative Expenses","Gastos de Administración"
"account_group_6103","6103","","Expenses for Labor, Supplies and Services","Gastos por Trabajo, Suministros y Servicios"
"account_group_610301","610301","","Expenses Fees for Professional Services (Individual)","Gastos Honorarios por Servicios Profesionales (P. Física)"
"account_group_610302","610302","","Fees for professional services (Legal)","Gastos Honorarios por Servicios Profesionales (P. Jurídica)"
"account_group_610303","610303","","Fees for professional services (Legal)","Gastos Honorarios por Servicios Profesionales (P. Jurídica)"
"account_group_6104","6104","","Depreciation expense","Gastos por Depreciación"
"account_group_6105","6105","","Expenses for repairs","Gastos por Reparaciones"
"account_group_6106","6106","","Representation Expenses","Gastos de Representación"
"account_group_6107","6107","","Financial Expenses","Gastos Financieros"
"account_group_6108","6108","","Extraordinary Expenses","Gastos Extraordinarios"
"account_group_7","7","","Income Statement Clearing Accounts","Cuentas Liquidadoras de Resultados"
"account_group_71","71","","Settlement Account","Cuenta Liquidadora"
"account_group_7101","7101","","Profit and loss","Pérdidas y Ganancias"
