"id","sequence","code","name","report_name","internal_type","doc_code_prefix","country_id/id","l10n_cl_active","active","name@es_419","report_name@es_419"
"dc_m_f_dtn","10","70","Fee Slips","BHO","invoice","BHO","base.cl","False","False","Boleta de Honorarios","BHO"
"dc_li","10","103","Liquidation","LIQ","","LIQ","base.cl","False","True","Liquidación","LIQ"
"dc_s_f_dtn","10","108","SRF Invoice Registration Request","SOL REGISTRO","","REG","base.cl","False","True","SRF Solicitud de Registro de Factura","SOL REGISTRO"
"dc_fe_dte","10","110","Electronic Export Invoice","FCXE","invoice","FCXE","base.cl","False","True","Factura de Exportación Electrónica","FCXE"
"dc_ndex_dte","10","111","Electronic Export Debit Note","NDXE","debit_note","NDXE","base.cl","False","True","Nota de Débito de Exportación Electrónica","NDXE"
"dc_ncex_dte","10","112","Electronic Export Credit Note","NCXE","credit_note","NCXE","base.cl","False","True","Nota de Crédito de Exportación Electrónica","NCXE"
"dc_oc","10","300","Purchase Order","OC","","OC","base.cl","False","True","Orden de Compra","OC"
"dc_tca_f_dtn","10","500","Exchange Rate Increase Adjustment (code 500)","TC-A","","TCA","base.cl","False","True","Ajuste aumento Tipo de Cambio (código 500)","TC-A"
"dc_tcd_f_dtn","10","501","Exchange Rate Decrease Adjustment (code 501)","TC-D","","TCD","base.cl","False","True","Ajuste disminución Tipo de Cambio (código 501)","TC-D"
"dc_odc","10","801","Purchase Order","OC","","OC","base.cl","False","True","Orden de Compra","OC"
"dc_ndp","10","802","Order Note","NP","","NP","base.cl","False","True","Nota de pedido","NP"
"dc_cont","10","803","Contract","CONT","","CONT","base.cl","False","True","Contrato","CONT"
"dc_resol","10","804","Resolution","RES","","RES","base.cl","False","True","Resolución","RES"
"dc_prchc","10","805","Chile Purchase Process","PCHC","","PCHC","base.cl","False","True","Proceso Chile Compra","PCHC"
"dc_fichc","10","806","Chile Purchase Form","FCHC","","FCHC","base.cl","False","True","Ficha Chile Compra","FCHC"
"dc_dus","10","807","Single Exit Document (DUS)","DUS","","DUS","base.cl","False","True","Documento Único de Salida (DUS)","DUS"
"dc_bl_cemb","10","808","B/L (Bill of Lading)","B/L","","B/L","base.cl","False","True","B/L (Conocimiento de embarque)","B/L"
"dc_awb","10","809","AWB Airway Bill","AWB","","AWB","base.cl","False","True","AWB Guía aérea","AWB"
"dc_mic_dta","10","810","MIC/DTA","MDT","","MDT","base.cl","False","True","MIC/DTA","MDT"
"dc_cpor","10","811","Bill of Lading","CPR","","CPR","base.cl","False","True","Carta de Porte","CPR"
"dc_res_sna","10","812","Resolution of the SNA where it qualifies Export Services","RSN","","RSN","base.cl","False","True","Resolución del SNA donde califica Servicios de Exportación","RSN"
"dc_pasap","10","813","Passport","PSP","","PSP","base.cl","False","True","Pasaporte","PSP"
"dc_cd_bol","10","814","Certificate of Deposit Bolsa Prod. Chile.","CRTD","","CRTD","base.cl","False","True","Certificado de Depósito Bolsa Prod. Chile.","CRTD"
"dc_vp_pren","10","815","Pledge Voucher Bolsa Prod. Chile","VLPR","","VLPR","base.cl","False","True","Vale de Prenda Bolsa Prod. Chile","VLPR"
"dc_ftf_f_dtn","10","901","Invoice for sales to companies in the preferential territory ( Ex. Res. No. 1057","INVOICE","invoice","FAC","base.cl","False","False","Factura de ventas a empresas del territorio preferencial ( Res. Ex. N° 1057","FACTURA"
"dc_cem_ma","10","902","Bill of Lading (Sea or Air)","CEM","","CEM","base.cl","False","True","Conocimiento de Embarque (Marítimo o aéreo)","CEM"
"dc_ftt_f_dtn","10","904","Transfer Invoice","FACT TR","invoice","FTR","base.cl","False","False","Factura de Traspaso","FACT TR"
"dc_frr_f_dtn","10","905","Reissue Invoice","FACT RX","invoice","FRX","base.cl","False","False","Factura de Reexpedición","FACT RX"
"dc_bzf_f_dtn","10","906","ZF Modules Sale Ballots (all)","BOLETA ZF","invoice","BZF","base.cl","False","False","Boletas Venta Módulos ZF (todas)","BOLETA ZF"
"dc_fzf_f_dtn","10","907","Sales Invoices ZF Module (all)","INVOICE ZF","invoice","FZF","base.cl","False","False","Facturas Venta Módulo ZF (todas)","FACTURA ZF"
"dc_dizf_f_dtn","10","911","Declaration of Entry to Primary Free Trade Zone","DEC ING","invoice_in","DIN","base.cl","False","False","Declaración de Ingreso a Zona Franca Primaria","DEC ING"
"dc_din_f_dtn","10","914","Income Statement (DIN)","DEC ING","invoice_in","DIN","base.cl","False","True","Declaración de Ingreso (DIN)","DEC ING"
"dc_res_vn_sf","10","919","Summary of Domestic Sales without Invoice","PASJ","","PASJ","base.cl","False","True","Resumen Ventas de nacionales pasajes sin Factura","PASJ"
"dc_chq","10","CHQ","Cheque","CHQ","","CHQ","base.cl","False","True","Cheque","CHQ"
"dc_hem","10","HEM","Material Entry Sheet (HEM)","HEM","","HEM","base.cl","False","True","Hoja de Entrada de Materiales (HEM)","HEM"
"dc_hes","10","HES","Service Entry Sheet (HES)","HES","","HES","base.cl","False","True","Hoja de Entrada de Servicio (HES)","HES"
"dc_migo","10","MIG","Movement of Goods (MIGO)","MIGO","","MIGO","base.cl","False","True","Movimiento de Mercancías (MIGO)","MIGO"
"dc_pag","10","PAG","Promissory note","PAG","","PAG","base.cl","False","True","Pagaré","PAG"
