"id","description","name","type_tax_use","amount","sequence","tax_group_id","amount_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@lv","fiscal_position_ids","original_tax_ids","invoice_legal_notes"
"","","","","","","","","100","tax","refund","531","a5721","","","",""
"VAT_S_S_5_LV","Sale 5% in country Service","5% S","sale","5.0","130","tax_group_vat_5","percent","100","base","invoice","421","","Pārdod 5% valstī - Pakalpojumos","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","531","a5721","","","",""
"","","","","","","","","100","base","refund","421","","","","",""
"","","","","","","","","100","tax","refund","531","a5721","","","",""
"VAT_S_S_0_LV","Sale 0% in country Service","0% S","sale","0.0","140","tax_group_vat_0","percent","100","base","invoice","48","","Pārdod 0% valstī - Pakalpojumi","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","100","base","refund","48","","","","",""
"","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_EX_G_0_LV","Sale 0% export Goods","0% EX G","sale","0.0","150","tax_group_vat_0","percent","100","base","invoice","481","","Pārdod 0% eksports - Preces","fiscal_position_lv_ex","VAT_S_G_21_LV,VAT_S_G_12_LV,VAT_S_G_5_LV,VAT_RC_0_LV",""
"","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","100","base","refund","481","","","","",""
"","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_EX_S_0_LV","Sale 0% export Service","0% EX S","sale","0.0","160","tax_group_vat_exempt","percent","100","base","invoice","482","","Pārdod 0% eksports - Pakalpojumi","fiscal_position_lv_ex","VAT_S_S_5_LV,VAT_S_S_21_LV,VAT_S_S_12_LV",""
"","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","100","base","refund","482","","","","",""
"","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_EU_S_0_LV","Sale 0% intra-community Service","0% EU S","sale","0.0","170","tax_group_vat_exempt","percent","100","base","invoice","482||482_S","","Pārdod 0% kopienā - Pakalpojumi","fiscal_position_lv_eu","VAT_S_S_5_LV,VAT_S_S_21_LV,VAT_S_S_12_LV","VAT Reverse charge - Article 196 of the Directive 2006/112/EC"
"","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","100","base","refund","482||482_S","","","","",""
"","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_EU_G_T_0_LV","Triangular Sale 0% Goods","0% EU G Tri","sale","0.0","180","tax_group_vat_0","percent","100","base","invoice","45_T","","Trīsstūrveida izpārdošana 0% - Preces","fiscal_position_lv_eu","","Exempt triangular transaction - Article 141 of the Directive 2006/112/EC"
"","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","100","base","refund","45_T","","","","",""
"","","","","","","","","100","tax","refund","","","","","",""
"VAT_S_EU_G_0_LV","Sale 0% intra_community Goods","0% EU G","sale","0.0","180","tax_group_vat_0","percent","100","base","invoice","45||45_G","","Pārdod 0% kopienā - Preces","fiscal_position_lv_eu","VAT_S_G_21_LV,VAT_S_G_12_LV,VAT_S_G_5_LV,VAT_RC_0_LV","Exempt intra-community supplies - Article 138 of the Directive 2006/112/EC"
"","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","100","base","refund","45||45_G","","","","",""
"","","","","","","","","100","tax","refund","","","","","",""
"VAT_P_G_21_LV","Purchase 21% in country Goods","21% G","purchase","21.0","400","tax_group_vat_21","percent","100","base","invoice","","","Pirkums 21% valstī - Precēs","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","62","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","62","a5721","","","",""
"VAT_P_S_21_LV","Purchase 21% in country Services","21% S","purchase","21.0","400","tax_group_vat_21","percent","100","base","invoice","","","Pirkums 21% valstī - Pakalpojumos","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","62","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","62","a5721","","","",""
"VAT_P_EU_G_21_LV","Purchase 21% intra-community Goods","21% EU G","purchase","21.0","410","tax_group_vat_21","percent","100","base","invoice","50","","Pirkums 21% kopienā - Precēs","fiscal_position_lv_eu","VAT_P_G_21_LV",""
"","","","","","","","","100","tax","invoice","55","a5721","","","",""
"","","","","","","","","-100","tax","invoice","64","a5721","","","",""
"","","","","","","","","100","base","refund","50","","","","",""
"","","","","","","","","100","tax","refund","55","a5721","","","",""
"","","","","","","","","-100","tax","refund","64","a5721","","","",""
"VAT_P_EU_S_21_LV","Purchase 21% intra-community Service","21% EU S","purchase","21.0","410","tax_group_vat_21","percent","100","base","invoice","50","","Pirkums 21% kopienā - Pakalpojumu","fiscal_position_lv_eu","VAT_P_S_21_LV",""
"","","","","","","","","100","tax","invoice","55","a5721","","","",""
"","","","","","","","","-100","tax","invoice","64","a5721","","","",""
"","","","","","","","","100","base","refund","50","","","","",""
"","","","","","","","","100","tax","refund","55","a5721","","","",""
"","","","","","","","","-100","tax","refund","64","a5721","","","",""
"VAT_P_G_12_LV","Purchase 12% in country Goods","12% G","purchase","12.0","420","tax_group_vat_12","percent","100","base","invoice","","","Pirkums 12% valstī - Precēs","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","62","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","62","a5721","","","",""
"VAT_P_S_12_LV","Purchase 12% in country Service","12% S","purchase","12.0","420","tax_group_vat_12","percent","100","base","invoice","","","Pirkums 12% valstī - Pakalpojumos","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","62","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","62","a5721","","","",""
"VAT_P_EU_G_12_LV","Purchase 12% intra-community Goods","12% EU G","purchase","12.0","430","tax_group_vat_12","percent","100","base","invoice","51","","Pirkums 12% Kopienas kopienā - Precēs","fiscal_position_lv_eu","VAT_P_G_12_LV",""
"","","","","","","","","100","tax","invoice","56","a5721","","","",""
"","","","","","","","","-100","tax","invoice","64","a5721","","","",""
"","","","","","","","","100","base","refund","51","","","","",""
"","","","","","","","","100","tax","refund","56","a5721","","","",""
"","","","","","","","","-100","tax","refund","64","a5721","","","",""
"VAT_P_EU_S_12_LV","Purchase 12% intra-community Service","12% EU S","purchase","12.0","430","tax_group_vat_12","percent","100","base","invoice","51","","Pirkums 12% kopienā - Pakalpojumu","fiscal_position_lv_eu","VAT_P_S_12_LV",""
"","","","","","","","","100","tax","invoice","56","a5721","","","",""
"","","","","","","","","-100","tax","invoice","64","a5721","","","",""
"","","","","","","","","100","base","refund","51","","","","",""
"","","","","","","","","100","tax","refund","56","a5721","","","",""
"","","","","","","","","-100","tax","refund","64","a5721","","","",""
"VAT_P_G_5_LV","Purchase 5% in country Goods","5% G","purchase","5.0","440","tax_group_vat_5","percent","100","base","invoice","","","Pirkums 5% valstī - Precēs","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","62","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","62","a5721","","","",""
"VAT_P_S_5_LV","Purchase 5% in country Service","5% S","purchase","5.0","440","tax_group_vat_5","percent","100","base","invoice","","","Pirkums 5% valstī - Pakalpojumu","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","62","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","62","a5721","","","",""
"VAT_P_EU_G_5_LV","Purchase 5% intra-community Goods","5% EU G","purchase","5.0","450","tax_group_vat_5","percent","100","base","invoice","511","","Pirkums 5% Kopienas kopienā - Precēs","fiscal_position_lv_eu","VAT_P_G_5_LV",""
"","","","","","","","","100","tax","invoice","561","a5721","","","",""
"","","","","","","","","-100","tax","invoice","64","a5721","","","",""
"","","","","","","","","100","base","refund","511","","","","",""
"","","","","","","","","100","tax","refund","561","a5721","","","",""
"","","","","","","","","-100","tax","refund","64","a5721","","","",""
"VAT_P_EU_S_5_LV","Purchase 5% intra-community Service","5% EU S","purchase","5.0","450","tax_group_vat_5","percent","100","base","invoice","511","","Pirkums 5% Kopienas kopienā - Pakalpojumu","fiscal_position_lv_eu","VAT_P_S_5_LV",""
"","","","","","","","","100","tax","invoice","561","a5721","","","",""
"","","","","","","","","-100","tax","invoice","64","a5721","","","",""
"","","","","","","","","100","base","refund","511","","","","",""
"","","","","","","","","100","tax","refund","561","a5721","","","",""
"","","","","","","","","-100","tax","refund","64","a5721","","","",""
"VAT_RC_21_LV","21% reverse charge","21% RC","purchase","21.0","460","tax_group_vat_21","percent","100","base","invoice","","","21% Pārdošana reversa","fiscal_position_lv_domestic,fiscal_position_lv_eu_private","",""
"","","","","","","","","100","tax","invoice","62","a5721","","","",""
"","","","","","","","","-100","tax","invoice","52","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","","a5721","","","",""
"","","","","","","","","-100","tax","refund","","a5721","","","",""
"VAT_P_EX_G_21_LV","21% import Goods","21% EX G","purchase","21.0","470","tax_group_vat_21","percent","100","base","invoice","","","Pirkums 21% imports - Precēs","fiscal_position_lv_ex","VAT_P_G_12_LV,VAT_P_G_21_LV,VAT_P_G_5_LV",""
"","","","","","","","","100","tax","invoice","63","a5721","","","",""
"","","","","","","","","-100","tax","invoice","52","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","","a5721","","","",""
"","","","","","","","","-100","tax","refund","","a5721","","","",""
"VAT_P_EX_S_21_LV","21% Services received","21% EX S","purchase","21.0","480","tax_group_vat_21","percent","100","base","invoice","","","Pirkums 21% Saņemtie pakalpojumi","fiscal_position_lv_ex","VAT_P_S_5_LV,VAT_P_S_12_LV,VAT_P_S_21_LV",""
"","","","","","","","","100","tax","invoice","63","a5721","","","",""
"","","","","","","","","-100","tax","invoice","54","a5721","","","",""
"","","","","","","","","100","base","refund","","","","","",""
"","","","","","","","","100","tax","refund","","a5721","","","",""
"","","","","","","","","-100","tax","refund","","a5721","","","",""
