"id","name","description","invoice_label","l10n_pe_edi_tax_code","l10n_pe_edi_unece_category","amount","type_tax_use","sequence","include_base_amount","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@es","description@es","children_tax_ids","amount_type","fiscal_position_ids","original_tax_ids"
"sale_tax_ics_0","0% ISC","0% Selective Consumption Tax Sale","ISC 0%","2000","S","0","sale","1","1","tax_group_isc","base","invoice","","100","0% ISC","0% Impuesto Selectivo al Consumo","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart4012","100","","","","","",""
"","","","","","","","","","","","base","refund","","100","","","","","",""
"","","","","","","","","","","","tax","refund","chart4012","100","","","","","",""
"purchase_tax_igv_18","VAT 18%","VAT 18% Purchase","IGV 18%","1000","S","18","purchase","1","1","tax_group_igv","base","invoice","","","IGV 18%","IGV 18% Compra","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"purchase_tax_igv_18g_ng","VAT 18% G NG","VAT 18% Taxed and Untaxed Purchase","IGV G NG 18%","1000","S","18","purchase","1","1","tax_group_igv_g_ng","base","invoice","","","IGV 18% G NG","IGV 18% Gravadas y No Gravadas","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40117","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40117","","","","","","",""
"purchase_tax_igv_18_ng","VAT 18% NG","VAT 18% Untaxed Purchase","IGV NG 18%","1000","S","18","purchase","1","1","tax_group_igv_ng","base","invoice","","","IGV 18% NG","18% No Gravadas","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40116","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40116","","","","","","",""
"purchase_tax_exp_0","0% Exp","0% Exportation Purchase","EXP 0%","9995","S","0","purchase","1","1","tax_group_exp","base","invoice","","","0% Exp","0% Exp","","","exportation",""
"","","","","","","","","","","","tax","invoice","chart40115","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40115","","","","","","",""
"purchase_tax_exo","0% Exo","0% Exonerated Purchase","EXO 0%","9997","E","0","purchase","1","","tax_group_exo","base","invoice","","","0% Exo","0% Exonerado","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"purchase_tax_ina","0% Ina","0% Unaffected Purchase","INA 0%","9998","Z","0","purchase","1","","tax_group_ina","base","invoice","","","0% Ina","0% Inafectado","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"purchase_tax_gra","0% Gra","0% Free Purchase","GRA 0%","9996","E","0","purchase","1","","tax_group_gra","base","invoice","","","","0% Gratis","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"sale_tax_exp","0% Exp","0% Exportation Sale","EXP 0%","9995","S","0","sale","1","1","tax_group_exp","base","invoice","","","","0% Exp","","","exportation","sale_tax_igv_18"
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"tax_free_subtract_base","-Base","Subtract Base","-Base","","","-100","none","1","","tax_group_free_invoice","base","invoice","","","Substraer base","SUB BASE","","","local_peru",""
"","","","","","","","","","","","tax","invoice","","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","","","","","","","",""
"tax_free_igv_18","18% Free","18% Free","18% Free","9996","E","18","none","1","","tax_group_gra","base","invoice","","","18% Libre de Impuestos","18% Libre","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart40111","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart40111","","","","","","",""
"tax_free_igv_18_expense","-18% Free","-18% Free Expense Tax","-18% Free","","","-18","none","1","","tax_group_free_invoice","base","invoice","","","-18% Libre de Impuestos Gasto","-18% Libre","","","local_peru",""
"","","","","","","","","","","","tax","invoice","chart6411","","","","","","",""
"","","","","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","","","","tax","refund","chart6411","","","","","","",""
"tax_free_group","18% Free Group","18% Free Final","18% Free Group","9996","","","sale","1","","tax_group_igv","","","","","18% Libre Final","18% Libre Grupo","tax_free_igv_18,tax_free_subtract_base,tax_free_igv_18_expense","group","local_peru",""
