"id","code","sign","name","parent_id:id","info"
"pdv_code_o21","o210",1,"II.1 Izdani računi po stopi 10%","pdv_code_o2","1. ZA KOJE SU IZDANI RAČUNI I NEZARAČUNANE(čl. 2. st. 1. toč. 1a. i 1b., čl. 3. st. 5., čl. 4. st. 4., čl. 7. st. 1. i 4. i čl. 15. st. 8. Zakona) po stopi od 10%"
"pdv_code_o22","o220",1,"II.2 Izdani računi po stopi 22% i 23%","pdv_code_o2","2. ZA KOJE SU IZDANI RAČUNI I NEZARAČUNANE (čl. 2., čl. 7. st. 1. i 4. i čl. 15. st. 8. Zakona) po stopi od 22% i 23%"
"pdv_code_o23","o230",1,"II.3 Izdani računi po stopi 25%","pdv_code_o2","3. ZA KOJE SU IZDANI RAČUNI I NEZARAČUNANE(čl. 2. st. 1. toč. 1a. i 1b., čl. 3. st. 5., čl. 4. st. 4., čl. 7. st. 1. i 4.,čl. 15. st. 8., čl. 22.a i čl. 22.c Zakona) po stopi od 25%"
"pdv_code_o24","o240",1,"II.4 Nenaplaćeni izvoz","pdv_code_o2","4. NAKNADNO OSLOBOĐENJE IZVOZA U OKVIRU OSOBNOG PUTNIČKOG PROMETA (čl. 13. st. 1. toč. 4. Zakona)"
"pdv_code_o25","o250",1,"II.5 Oslobođenje izvoza – putnički promet","pdv_code_o2","4. NAKNADNO OSLOBOĐENJE IZVOZA U OKVIRU OSOBNOG PUTNIČKOG PROMETA (čl. 13. st. 1. toč. 4. Zakona)"
"pdv_code_o3","o300",0,"III. OBRAČUNANI PRETPOREZ","pdv_code_opdvob","III. OBRAČUNANI PRETPOREZ U PRIMLJENIM ISPORUKAMA DOBARA I USLUGA – UKUPNO (1.+2.+3.+4.+ 5.+6.+7.+8.)"
"pdv_code_o31","o310",1,"III.1. Pretporez 10%","pdv_code_o3","1. PRETPOREZ U PRIMLJENIM RAČUNIMA (čl. 20. st. 1., 9., 10. i 11. Zakona) po stopi od 10%"
"pdv_code_o32","o320",1,"III.2. Pretporez 22% i23%","pdv_code_o3","2. PRETPOREZ U PRIMLJENIM RAČUNIMA (čl. 20. st. 1., 9. i 10. Zakona) po stopi od 22% i 23%"
"pdv_code_o33","o330",1,"III.3. Pretporez 25%","pdv_code_o3","3. PRETPOREZ U PRIMLJENIM RAČUNIMA (čl. 20. st. 1., 9., 10., 11. i 12. Zakona) po stopi od 25%"
"pdv_code_o34","o340",1,"III.4. Plaćeni PP pri uvozu","pdv_code_o3","4. PLAĆENI PRETPOREZ PRI UVOZU (čl. 20. st. 2. odnosno čl. 7. st. 5. Zakona)"
"pdv_code_o35","o350",1,"III.5. Plaćeni PP na ino usluge 10%","pdv_code_o3","5. PLAĆENI PRETPOREZ NA USLUGE INOZEMNIH PODUZETNIKA (čl. 19. st. 2. Zakona) po stopi od 10%"
"pdv_code_o36","o360",1,"III.6. Plaćeni PP na ino usluge 22% i 23%","pdv_code_o3","6. PLAĆENI PRETPOREZ NA USLUGE INOZEMNIH PODUZETNIKA (čl. 19. st. 2. Zakona) po stopi od 22% i 23%"
"pdv_code_o37","o370",1,"III.7. Plaćeni PP na ino usluge 25%","pdv_code_o3","7. PLAĆENI PRETPOREZ NA USLUGE INOZEMNIH PODUZETNIKA (čl. 19. st. 2. Zakona) po stopi od 25%"
"pdv_code_o391","o391",1,"III.0. Pretporez 0%","pdv_code_o3","7.? PLAĆENI PRETPOREZ NA USLUGE INOZEMNIH PODUZETNIKA (čl. 19. st. 2. Zakona) po stopi od 25%"
"pdv_code_zpdv","zPDV",1,"PDV - OSTALO","pdv_code_pdv","Ostali podaci"
"pdv_code_z9","z900",1,"NEPRIZNATI PRETPOREZ ","pdv_code_zpdv",
"pdv_code_o91","o910",1,"NEPRIZNATI PRETPOREZ (osnovica 30 ili 70%)","pdv_code_z9","NP. NEPRIZNATI PRETPOREZ U PRIMLJENIM ISPORUKAMA DOBARA I USLUGA "
"pdv_code_o911","o911",1,"Nepriznati pretporez 10% (o)","pdv_code_o91","NP.1. NEPRIZNATI PRETPOREZ U PRIMLJENIM RAČUNIMA po stopi od 10%"
"pdv_code_o912","o912",1,"Nepriznati pretporez 22% i 23% (o)","pdv_code_o91","NP.2. NEPRIZNATI PRETPOREZ U PRIMLJENIM RAČUNIMA  po stopi od 22% i 23%"
"pdv_code_o913","o913",1,"Nepriznati pretporez 25% (o)","pdv_code_o91","NP.3.NEPRIZNATI  PRETPOREZ U PRIMLJENIM RAČUNIMA  po stopi od 25%"
"pdv_code_o92","o920",1,"Pretporez koji još nije priznan (uključivo i neplaćeni R-2)","pdv_code_z9",
"pdv_code_o7","o700",1,"Ostali podaci","pdv_code_zpdv","Ostali podaci"
"pdv_code_o71","o710",1,"1. ZA ISPRAVAK PRETPOREZA","pdv_code_o7","1. ZA ISPRAVAK PRETPOREZA (UKUPNO 1.1.+1.2.+1.3.+1.4.+1.5.+1.6.)"
"pdv_code_oop11","o711",1,"1.1. NABAVA NEKRETNINA","pdv_code_o71","1.1. NABAVA NEKRETNINA – ISPORUČITELJ (PRODAVATELJ) NEKRETNINA"
"pdv_code_oop12","o712",1,"1.2. PRODAJA NEKRETNINA","pdv_code_o71","1.2. PRODAJA NEKRETNINA – PRIMATELJ (KUPAC) NEKRETNINA"
"pdv_code_oop13","o713",1,"1.3. NABAVA OSOBNIH VOZILA","pdv_code_o71","1.3. NABAVA OSOBNIH VOZILA (ZA PODUZETNIKE KOJIMA TRGOVINA AUTOMOBILIMA NIJE TEMELJNA DJELATNOST)"
"pdv_code_oop14","o714",1,"1.4. PRODAJA OSOBNIH VOZILA","pdv_code_o71","1.4. PRODAJA OSOBNIH VOZILA (ZA PODUZETNIKE KOJIMA TRGOVINA AUTOMOBILIMA NIJE TEMELJNA DJELATNOST)"
"pdv_code_oop15","o715",1,"1.5. NABAVA DUGOTRAJNE IMOVINE","pdv_code_o71","1.5. NABAVA OSTALE DUGOTRAJNE IMOVINE"
"pdv_code_oop16","o716",1,"1.6. PRODAJA DUGOTRAJNE IMOVINE","pdv_code_o71","1.6. PRODAJA OSTALE DUGOTRAJNE IMOVINE"
"pdv_code_oop2","o720",1,"2. OTUĐENJE/STJECANJE GOSPODARSKE CJELINE ILI POGONA","pdv_code_o7","2. OTUĐENJE/STJECANJE GOSPODARSKE CJELINE ILI POGONA"
"pdv_code_oop3","o730",1,"3. NABAVA DOBARA I USLUGA ZA REPREZENTACIJU","pdv_code_o7","3. NABAVA DOBARA I USLUGA ZA REPREZENTACIJU"
"pdv_code_oop4","o740",1,"4. NABAVA OSOBNIH VOZILA I DRUGIH SREDSTAVA ZA OSOBNI PRIJEVOZ ","pdv_code_o7","4. NABAVA OSOBNIH VOZILA I DRUGIH SREDSTAVA ZA OSOBNI PRIJEVOZ TE DOBARA I USLUGA POVEZANIH S TIM DOBRIMA"
"pdv_code_oop5","o750",1,"5. OSNOVICA ZA OBRAČUN VLASTITE POTROŠNJE ZA OSOBNA VOZILA NABAV","pdv_code_o7","5. OSNOVICA ZA OBRAČUN VLASTITE POTROŠNJE ZA OSOBNA VOZILA NABAVLJENA DO 31.12.2009."
"pdv_code_p6","pPDV",0,"PDV – POREZ – razlika za uplatu/preplata","pdv_code_pdvob",
"pdv_code_p5","p500",-1,"Uplaćeno u razdoblju","pdv_code_p6",
"pdv_code_p4","p400",1,"VI. POREZNA OBVEZA U RAZDOBLJU","pdv_code_p6","IV. UKUPNA POREZNA OBVEZA ZA POREZNO RAZDOBLJE:ZA UPLATU (II. - III.)"
"pdv_code_p1","p100",1,"I. Isporuke ne podliježu / oslobođene","pdv_code_p4","I. ISPORUKE KOJE NE PODLIJEŽU OPOREZIVANJU, KOJE SU OSLOBOĐENE I PO STOPI OD 0% - UKUPNO (1.+2.+3.)"
"pdv_code_p2","p200",1,"II. Oporezive isporuke","pdv_code_p4","II. OPOREZIVE ISPORUKE – UKUPNO (1.+2.+3.+4.)"
"pdv_code_p21","p210",1,"II.1 Izdani računi po stopi 10%","pdv_code_p2","1. ZA KOJE SU IZDANI RAČUNI I NEZARAČUNANE(čl. 2. st. 1. toč. 1a. i 1b., čl. 3. st. 5., čl. 4. st. 4., čl. 7. st. 1. i 4. i čl. 15. st. 8. Zakona) po stopi od 10%"
"pdv_code_p22","p220",1,"II.2 Izdani računi po stopi 22% i 23%","pdv_code_p2","2. ZA KOJE SU IZDANI RAČUNI I NEZARAČUNANE (čl. 2., čl. 7. st. 1. i 4. i čl. 15. st. 8. Zakona) po stopi od 22% i 23%"
"pdv_code_p23","p230",1,"II.3 Izdani računi po stopi 25%","pdv_code_p2","3. ZA KOJE SU IZDANI RAČUNI I NEZARAČUNANE(čl. 2. st. 1. toč. 1a. i 1b., čl. 3. st. 5., čl. 4. st. 4., čl. 7. st. 1. i 4.,čl. 15. st. 8., čl. 22.a i čl. 22.c Zakona) po stopi od 25%"
"pdv_code_p24","p240",1,"II.4 Oslobođenje izvoza – putnički promet","pdv_code_p2","4. NAKNADNO OSLOBOĐENJE IZVOZA U OKVIRU OSOBNOG PUTNIČKOG PROMETA (čl. 13. st. 1. toč. 4. Zakona)"
"pdv_code_p3","p300",-1,"III. OBRAČUNANI PRETPOREZ","pdv_code_p4","III. OBRAČUNANI PRETPOREZ U PRIMLJENIM ISPORUKAMA DOBARA I USLUGA – UKUPNO (1.+2.+3.+4.+ 5.+6.+7.+8.)"
"pdv_code_p31","p310",1,"III.1. Pretporez 10%","pdv_code_p3","1. PRETPOREZ U PRIMLJENIM RAČUNIMA (čl. 20. st. 1., 9., 10. i 11. Zakona) po stopi od 10%"
"pdv_code_p32","p320",1,"III.2. Pretporez 22% i 23%","pdv_code_p3","2. PRETPOREZ U PRIMLJENIM RAČUNIMA (čl. 20. st. 1., 9. i 10. Zakona) po stopi od 22% i 23%"
"pdv_code_p33","p330",1,"III.3. Pretporez 25%","pdv_code_p3","3. PRETPOREZ U PRIMLJENIM RAČUNIMA (čl. 20. st. 1., 9., 10., 11. i 12. Zakona) po stopi od 25%"
"pdv_code_p34","p340",1,"III.4. Plaćeni PP pri uvozu","pdv_code_p3","4. PLAĆENI PRETPOREZ PRI UVOZU (čl. 20. st. 2. odnosno čl. 7. st. 5. Zakona)"
"pdv_code_p35","p350",1,"III.5. Plaćeni PP na ino usluge 10%","pdv_code_p3","5. PLAĆENI PRETPOREZ NA USLUGE INOZEMNIH PODUZETNIKA (čl. 19. st. 2. Zakona) po stopi od 10%"
"pdv_code_p36","p360",1,"III.6. Plaćeni PP na ino usluge 22% i 23%","pdv_code_p3","6. PLAĆENI PRETPOREZ NA USLUGE INOZEMNIH PODUZETNIKA (čl. 19. st. 2. Zakona) po stopi od 22% i 23%"
"pdv_code_p37","p370",1,"III.7. Plaćeni PP na ino usluge 25%","pdv_code_p3","7. PLAĆENI PRETPOREZ NA USLUGE INOZEMNIH PODUZETNIKA (čl. 19. st. 2. Zakona) po stopi od 25%"
"pdv_code_p38","p380",1,"III.8. Ispravci pretporeza","pdv_code_p3","8. ISPRAVCI PRETPOREZA (čl. 20. st. 5. Zakona)"
"pdv_code_p9","p900",0,"NEPRIZNATI PRETPOREZ (porez)","pdv_code_z9","NP. NEPRIZNATI PRETPOREZ U PRIMLJENIM ISPORUKAMA DOBARA I USLUGA "
"pdv_code_p91","p910",1,"NEPRIZNATI PRETPOREZ (30 ili 70%)","pdv_code_p9","NP. NEPRIZNATI PRETPOREZ U PRIMLJENIM ISPORUKAMA DOBARA I USLUGA "
"pdv_code_p911","p911",1,"Nepriznati pretporez 10% (p)","pdv_code_p91","NP.1. NEPRIZNATI PRETPOREZ U PRIMLJENIM RAČUNIMA po stopi od 10%"
"pdv_code_p912","p912",1,"Nepriznati pretporez 22% i 23% (p)","pdv_code_p91","NP.2. NEPRIZNATI PRETPOREZ U PRIMLJENIM RAČUNIMA  po stopi od 22% i 23%"
"pdv_code_p913","p913",1,"Nepriznati pretporez 25% (p)","pdv_code_p91","NP.3.NEPRIZNATI  PRETPOREZ U PRIMLJENIM RAČUNIMA  po stopi od 25%"
"pdv_code_p92","p920",1,"Pretporez koji još nije priznan (ukupno)","pdv_code_z9","Pretporez koji još nije priznan (ukupno)"
"pdv_code_p9201","p9201",1,"Pretporez koji još nije priznan (neplaćeni R2)","pdv_code_p92","Pretporez koji još nije priznan (neplaćeni R2)"
"pdv_code_p9202","p9202",1,"Pretporez koji još nije priznan (neplaćeni UVOZ dobara 25%)","pdv_code_p92","Pretporez koji još nije priznan (neplaćeni UVOZ dobara 25%)"
"pdv_code_p9203","p9203",1,"Pretporez koji još nije priznan (neplaćene INO usluge 25%)","pdv_code_p92","Pretporez koji još nije priznan (neplaćene INO usluge 25%)"
"pdv_code_p9204","p9204",1,"Pretporez koji još nije priznan (neplaćene INO usluge 10%)","pdv_code_p92","Pretporez koji još nije priznan (neplaćene INO usluge 10%)"
"pdv_code_potrosnja","POTROSNJA",1,"Porez na potrošnju","pdv_code_nepdv","Porez na potrošnju"
