"id","code_prefix_start","parent_id/id","name","chart_template_id/id"
"hr_group_145","145","hr_group_14","Receivables for National tourism office fee","l10n_hr.l10n_hr_chart_template"
"hr_group_146","146","hr_group_14","Receivables for Croatian Economy Chamber or similar Chambers","l10n_hr.l10n_hr_chart_template"
"hr_group_147","147","hr_group_14","Receivables for duties and prepayments to customs duty","l10n_hr.l10n_hr_chart_template"
"hr_group_148","148","hr_group_14","Receivables for County and municipal tax","l10n_hr.l10n_hr_chart_template"
"hr_group_149","149","hr_group_14","Receivables for other not mentioned taxes, contributions and duties","l10n_hr.l10n_hr_chart_template"
"hr_group_15","15","hr_group_1","RECEIVABLES FROM GOVERNMENT AND OTHER INSTITUTIONS","l10n_hr.l10n_hr_chart_template"
"hr_group_150","150","hr_group_15","Receivables from Croatian institute for health insurance regarding employee's sick leave payments","l10n_hr.l10n_hr_chart_template"
"hr_group_151","151","hr_group_15","Receivables for Pension insurance institute","l10n_hr.l10n_hr_chart_template"
"hr_group_152","152","hr_group_15","Receivables from local government","l10n_hr.l10n_hr_chart_template"
"hr_group_153","153","hr_group_15","Receivables for bonuses, premiums and government grants","l10n_hr.l10n_hr_chart_template"
"hr_group_154","154","hr_group_15","Receivables for Fund for packaging repurchase","l10n_hr.l10n_hr_chart_template"
"hr_group_155","155","hr_group_15","Other receivables from the Government","l10n_hr.l10n_hr_chart_template"
"hr_group_156","156","hr_group_15","Receivables for more paid fees for disabled person","l10n_hr.l10n_hr_chart_template"
"hr_group_159","159","hr_group_15","Value adjustment of receivables from the Government and other institutions","l10n_hr.l10n_hr_chart_template"
"hr_group_19","19","hr_group_1","PREPAID EXPENSES AND ACCRUED INCOME","l10n_hr.l10n_hr_chart_template"
"hr_group_190","190","hr_group_19","Prepaid expenses and accrued income","l10n_hr.l10n_hr_chart_template"
"hr_group_191","191","hr_group_19","Accrued income","l10n_hr.l10n_hr_chart_template"
"hr_group_192","192","hr_group_19","PREPAID EXPENSES AND ACCRUED INCOME","l10n_hr.l10n_hr_chart_template"
"hr_group_193","193","hr_group_19","Accrued interest which relates to future periods","l10n_hr.l10n_hr_chart_template"
"hr_group_194","194","hr_group_19","Prepaid expenses for concession rights","l10n_hr.l10n_hr_chart_template"
"hr_group_195","195","hr_group_19","Prepaid expenses for franchise fee","l10n_hr.l10n_hr_chart_template"
"hr_group_196","196","hr_group_19","Prepaid expenses for licences and patents","l10n_hr.l10n_hr_chart_template"
"hr_group_197","197","hr_group_19","Derivatives- hedging instruments","l10n_hr.l10n_hr_chart_template"
"hr_group_199","199","hr_group_19","Other prepaid expenses","l10n_hr.l10n_hr_chart_template"
"hr_group_2","2",,"CURRENT AND NON-CURRENT LIABILITIES, LONG TERM PROVISIONS, ACCRUED EXPENSES AND DEFERRED INCOME","l10n_hr.l10n_hr_chart_template"
"hr_group_20","20","hr_group_2","CURRENT LIABILITIES TOWARDS GROUP COMPANIES AND ASSOCIATED UNDERTAKINGS","l10n_hr.l10n_hr_chart_template"
"hr_group_200","200","hr_group_20","Liabilities towards related parties","l10n_hr.l10n_hr_chart_template"
"hr_group_201","201","hr_group_20","Liabilities due to share in results","l10n_hr.l10n_hr_chart_template"
"hr_group_21","21","hr_group_2","CURRENT FINANCIAL LIABILITIES","l10n_hr.l10n_hr_chart_template"
"hr_group_210","210","hr_group_21","Liabilities due to issued cheques","l10n_hr.l10n_hr_chart_template"
"hr_group_211","211","hr_group_21","Liabilities due to issued promissory notes","l10n_hr.l10n_hr_chart_template"
"hr_group_212","212","hr_group_21","Liabilities due to issued securities","l10n_hr.l10n_hr_chart_template"
"hr_group_213","213","hr_group_21","Liabilities towards associated undertakings","l10n_hr.l10n_hr_chart_template"
"hr_group_214","214","hr_group_21","Lease liabilities and deposits received","l10n_hr.l10n_hr_chart_template"
"hr_group_215","215","hr_group_21","Liabilities towards banks and other financial institutions","l10n_hr.l10n_hr_chart_template"
"hr_group_216","216","hr_group_21","Liabilities towards credit card institutions","l10n_hr.l10n_hr_chart_template"
"hr_group_217","217","hr_group_21","Liabilities from discount services","l10n_hr.l10n_hr_chart_template"
"hr_group_218","218","hr_group_21","Liabilities due to non current assets held for sale (this account relates to due loan liabilities and account payables for asset which is held for sale (acc. 69))","l10n_hr.l10n_hr_chart_template"
"hr_group_22","22","hr_group_2","ACCOUNT PAYABLES, ADVANCES RECEIVED AND OTHER PAYABLES","l10n_hr.l10n_hr_chart_template"
"hr_group_220","220","hr_group_22","Domestic trade payables","l10n_hr.l10n_hr_chart_template"
"hr_group_221","221","hr_group_22","Account payables from EU and third countries","l10n_hr.l10n_hr_chart_template"
"hr_group_222","222","hr_group_22","Trade payables- private person","l10n_hr.l10n_hr_chart_template"
"hr_group_223","223","hr_group_22","Trade payables for utility services","l10n_hr.l10n_hr_chart_template"
"hr_group_224","224","hr_group_22","Liabilities for not invoiced but received goods and services","l10n_hr.l10n_hr_chart_template"
"hr_group_225","225","hr_group_22","Liabilities for advances received","l10n_hr.l10n_hr_chart_template"
"hr_group_23","23","hr_group_2","LIABILITIES TOWARDS EMPLOYEES AND OTHER LIABILITIES","l10n_hr.l10n_hr_chart_template"
"hr_group_230","230","hr_group_23","Liabilities towards employees","l10n_hr.l10n_hr_chart_template"
"hr_group_231","231","hr_group_23","Current liabilities from procurements and grants","l10n_hr.l10n_hr_chart_template"
"hr_group_232","232","hr_group_23","Interests payable","l10n_hr.l10n_hr_chart_template"
"hr_group_233","233","hr_group_23","Liabilities for commission or consignment sale of goods","l10n_hr.l10n_hr_chart_template"
"hr_group_234","234","hr_group_23","Liabilities towards insurance companies","l10n_hr.l10n_hr_chart_template"
"hr_group_235","235","hr_group_23","Liabilities due to operations in free-trade zone","l10n_hr.l10n_hr_chart_template"
"hr_group_237","237","hr_group_23","Liabilities towards foreign business units","l10n_hr.l10n_hr_chart_template"
"hr_group_238","238","hr_group_23","Liabilities due to acquisitions of shares/stakes","l10n_hr.l10n_hr_chart_template"
"hr_group_239","239","hr_group_23","Other current liabilities","l10n_hr.l10n_hr_chart_template"
"hr_group_24","24","hr_group_2","CURRENT LIABILITIES FOR TAXES, CONTRIBUTIONS AND SIMILAR EXPENSES","l10n_hr.l10n_hr_chart_template"
"hr_group_240","240","hr_group_24","Liabilities for value added taxes","l10n_hr.l10n_hr_chart_template"
"hr_group_241","241","hr_group_24","Liabilities for personal income tax and surtax","l10n_hr.l10n_hr_chart_template"
"hr_group_242","242","hr_group_24","Liabilities for insurance contributions","l10n_hr.l10n_hr_chart_template"
"hr_group_243","243","hr_group_24","Income tax payables, tax on investment income and withholding tax","l10n_hr.l10n_hr_chart_template"
"hr_group_244","244","hr_group_24","Liabilities for excise duties and other taxes","l10n_hr.l10n_hr_chart_template"
"hr_group_245","245","hr_group_24","Liabilities for fee to National tourism office","l10n_hr.l10n_hr_chart_template"
"hr_group_246","246","hr_group_24","Liabilities for Chamber membership fee","l10n_hr.l10n_hr_chart_template"
"hr_group_247","247","hr_group_24","Liabilities for duties and customs duty","l10n_hr.l10n_hr_chart_template"
"hr_group_248","248","hr_group_24","Liabilities for a County's and municipal's taxes","l10n_hr.l10n_hr_chart_template"
"hr_group_249","249","hr_group_24","Liabilities for other not mentioned taxes, contributions and duties","l10n_hr.l10n_hr_chart_template"
"hr_group_25","25","hr_group_2","LONG TERM LIABILITIES","l10n_hr.l10n_hr_chart_template"
"hr_group_250","250","hr_group_25","Liabilities towards Group companies ","l10n_hr.l10n_hr_chart_template"
"hr_group_251","251","hr_group_25","Leasing liabilities and liabilities for deposits received","l10n_hr.l10n_hr_chart_template"
"hr_group_252","252","hr_group_25","Liabilities towards banks and other financial institutions","l10n_hr.l10n_hr_chart_template"
"hr_group_253","253","hr_group_25","Long term leasing liabilities","l10n_hr.l10n_hr_chart_template"
"hr_group_254","254","hr_group_25","Liabilities for advances received","l10n_hr.l10n_hr_chart_template"
"hr_group_255","255","hr_group_25","Trade payables (unpaid long term trade payables)","l10n_hr.l10n_hr_chart_template"
"hr_group_256","256","hr_group_25","Liabilities for long term securities","l10n_hr.l10n_hr_chart_template"
"hr_group_257","257","hr_group_25","Liabilities towards associated undertakings ","l10n_hr.l10n_hr_chart_template"
"hr_group_258","258","hr_group_25","Liabilities towards government","l10n_hr.l10n_hr_chart_template"
"hr_group_259","259","hr_group_25","Other long term liabilities","l10n_hr.l10n_hr_chart_template"
"hr_group_26","26","hr_group_2","DEFERRED TAXES","l10n_hr.l10n_hr_chart_template"
"hr_group_260","260","hr_group_26","Deferred tax liabilities","l10n_hr.l10n_hr_chart_template"
"hr_group_28","28","hr_group_2","LONG TERM PROVISIONS FOR RISKS AND CHARGES","l10n_hr.l10n_hr_chart_template"
"hr_group_280","280","hr_group_28","Provision for employee benefits","l10n_hr.l10n_hr_chart_template"
"hr_group_281","281","hr_group_28","Provision for tax liabilities","l10n_hr.l10n_hr_chart_template"
"hr_group_282","282","hr_group_28","Provisions for legal casec","l10n_hr.l10n_hr_chart_template"
"hr_group_283","283","hr_group_28","Provisions for renewal of natural resources","l10n_hr.l10n_hr_chart_template"
"hr_group_284","284","hr_group_28","Provision for risks within warranty period","l10n_hr.l10n_hr_chart_template"
"hr_group_285","285","hr_group_28","Other provisions","l10n_hr.l10n_hr_chart_template"
"hr_group_29","29","hr_group_2","ACCRUED EXPENSES AND DEFERRED INCOME","l10n_hr.l10n_hr_chart_template"
"hr_group_290","290","hr_group_29","Accrued expenses","l10n_hr.l10n_hr_chart_template"
"hr_group_291","291","hr_group_29","Accrued expenses for rights to use","l10n_hr.l10n_hr_chart_template"
"hr_group_292","292","hr_group_29","Accrued expenses for goods purchases","l10n_hr.l10n_hr_chart_template"
"hr_group_293","293","hr_group_29","Deferred income (income which relates to future period)","l10n_hr.l10n_hr_chart_template"
"hr_group_294","294","hr_group_29","Deferred income from government grants","l10n_hr.l10n_hr_chart_template"
"hr_group_295","295","hr_group_29","Deferred income","l10n_hr.l10n_hr_chart_template"
"hr_group_296","296","hr_group_29","Deferred income relating to not invoiced but shipped goods and services","l10n_hr.l10n_hr_chart_template"
"hr_group_297","297","hr_group_29","Unrealized gains on financial assets","l10n_hr.l10n_hr_chart_template"
"hr_group_298","298","hr_group_29","Deffered invoiced income without delivery","l10n_hr.l10n_hr_chart_template"
"hr_group_299","299","hr_group_29","Provision for unused vacation days","l10n_hr.l10n_hr_chart_template"
"hr_group_3","3",,"RAW MATERIALS, MATERIALS, SPARE PARTS AND SMALL INVENTORY","l10n_hr.l10n_hr_chart_template"
"hr_group_30","30","hr_group_3","COST OF INVENTORY PURCHASING CALCULATION","l10n_hr.l10n_hr_chart_template"
"hr_group_300","300","hr_group_30","Payables purchase price","l10n_hr.l10n_hr_chart_template"
"hr_group_301","301","hr_group_30","Other inventory dependant costs","l10n_hr.l10n_hr_chart_template"
"hr_group_302","302","hr_group_30","Duties and other customs duty","l10n_hr.l10n_hr_chart_template"
"hr_group_303","303","hr_group_30","Excise duties which can not be deducted","l10n_hr.l10n_hr_chart_template"
"hr_group_309","309","hr_group_30","Cost of inventory purchasing calculation","l10n_hr.l10n_hr_chart_template"
"hr_group_31","31","hr_group_3","RAW MATERIALS","l10n_hr.l10n_hr_chart_template"
"hr_group_310","310","hr_group_31","Raw material on stock","l10n_hr.l10n_hr_chart_template"
"hr_group_311","311","hr_group_31","Material in processing, finishing and manipulation phases","l10n_hr.l10n_hr_chart_template"
"hr_group_312","312","hr_group_31","Material sent for finishing to partners","l10n_hr.l10n_hr_chart_template"
"hr_group_313","313","hr_group_31","Materials used in agriculture","l10n_hr.l10n_hr_chart_template"
"hr_group_318","318","hr_group_31","Inventory price adjustment","l10n_hr.l10n_hr_chart_template"
"hr_group_319","319","hr_group_31","Value adjustment of raw materials","l10n_hr.l10n_hr_chart_template"
"hr_group_32","32","hr_group_3","SPARE PARTS","l10n_hr.l10n_hr_chart_template"
"hr_group_320","320","hr_group_32","Spare parts on stock","l10n_hr.l10n_hr_chart_template"
"hr_group_328","328","hr_group_32","Spare part price adjustment","l10n_hr.l10n_hr_chart_template"
"hr_group_329","329","hr_group_32","Value adjustment of spare parts","l10n_hr.l10n_hr_chart_template"
"hr_group_35","35","hr_group_3","SMALL INVENTORY ON STOCK AND TIRES","l10n_hr.l10n_hr_chart_template"
"hr_group_350","350","hr_group_35","Small inventory on stock","l10n_hr.l10n_hr_chart_template"
"hr_group_351","351","hr_group_35","Packaging on stock","l10n_hr.l10n_hr_chart_template"
"hr_group_352","352","hr_group_35","Tires on stock","l10n_hr.l10n_hr_chart_template"
"hr_group_358","358","hr_group_35","Small inventory's price adjustment","l10n_hr.l10n_hr_chart_template"
"hr_group_359","359","hr_group_35","Value adjustment of small inventory","l10n_hr.l10n_hr_chart_template"
"hr_group_36","36","hr_group_3","SMALL INVENTORY ON STOCK AND TIRES IN USE","l10n_hr.l10n_hr_chart_template"
"hr_group_360","360","hr_group_36","Small inventory in use","l10n_hr.l10n_hr_chart_template"
"hr_group_361","361","hr_group_36","Packaging in use","l10n_hr.l10n_hr_chart_template"
"hr_group_362","362","hr_group_36","Tires in use","l10n_hr.l10n_hr_chart_template"
"hr_group_363","363","hr_group_36","Small inventory write off","l10n_hr.l10n_hr_chart_template"
"hr_group_364","364","hr_group_36","Packaging write off","l10n_hr.l10n_hr_chart_template"
"hr_group_365","365","hr_group_36","Tires write off","l10n_hr.l10n_hr_chart_template"
"hr_group_369","369","hr_group_36","Value adjustment of small inventory, packaging and tires","l10n_hr.l10n_hr_chart_template"
"hr_group_37","37","hr_group_3","ADVANCES PAYMENTS FOR RAW MATERIALS, SPARE PARTS, SMALL INVENTORY AND TIRES PURCHASES","l10n_hr.l10n_hr_chart_template"
"hr_group_370","370","hr_group_37","Advance payments for material","l10n_hr.l10n_hr_chart_template"
"hr_group_371","371","hr_group_37","Advance payments for spare parts","l10n_hr.l10n_hr_chart_template"
"hr_group_372","372","hr_group_37","Advance payments for small inventory","l10n_hr.l10n_hr_chart_template"
"hr_group_373","373","hr_group_37","Advance payments to importer for raw materials, spare parts and small inventory","l10n_hr.l10n_hr_chart_template"
"hr_group_374","374","hr_group_37","Advance payments to foreign suppliers","l10n_hr.l10n_hr_chart_template"
"hr_group_379","379","hr_group_37","Value adjustment of advance payments","l10n_hr.l10n_hr_chart_template"
"hr_group_4","4",,"COSTS BY NATURE , FINANCIAL AND OTHER EXPENSES","l10n_hr.l10n_hr_chart_template"
"hr_group_40","40","hr_group_4","MATERIAL COST","l10n_hr.l10n_hr_chart_template"
"hr_group_400","400","hr_group_40","Cost of raw material","l10n_hr.l10n_hr_chart_template"
"hr_group_401","401","hr_group_40","Cost of material used in administration and sale department","l10n_hr.l10n_hr_chart_template"
"hr_group_402","402","hr_group_40","Research and development cost","l10n_hr.l10n_hr_chart_template"
