"id","name","code","description","account_type","tax_ids","reconcile","name@es","description@es","depreciation_model_id"
"1_1_07_04","Work in Progress","1.1.07.04","","asset_current","","False","Productos en Proceso","",""
"1_1_07_05","Finished Goods","1.1.07.05","","asset_current","","False","Productos Terminados","",""
"1_1_07_06","Sundry Materials","1.1.07.06","","asset_current","","False","Materiales Varios","",""
"1_1_07_07","(-) Allowance for Inventory Write-Downs","1.1.07.07","","asset_current","","False","(-) Provisión para Desvalorización de Inventarios","",""
"1_2_01_01","Permanent Share Investments","1.2.01.01","","asset_non_current","","False","Inversiones Permanentes en Acciones","",""
"1_2_02_01","Real Estate","1.2.02.01","Construction of buildings and costs associated to buildings","asset_fixed","itbms_7_purchase","False","Bienes Inmuebles","Construcción de edificios y costos asociados a edificaciones","asset_30_year_linear"
"1_2_02_02","Machinery","1.2.02.02","Machinery and tools directly related to your business","asset_fixed","itbms_7_purchase","False","Maquinaria","Maquinaria y herramientas directamente relacionadas con tu actividad","asset_5_year_linear"
"1_2_02_03","Equipment","1.2.02.03","Large expenses related to workplaces (furniture and equipment)","asset_fixed","itbms_7_purchase","False","Equipos","Gastos importantes relacionados con los espacios de trabajo (mobiliario y equipo)","asset_5_year_linear"
"1_2_02_04","Vehicles","1.2.02.04","Purchase of a car, including second hand or after-lease contract","asset_fixed","itbms_7_purchase","False","Vehículos","Compra de un vehículo, incluyendo usados o adquiridos al finalizar un contrato de arrendamiento","asset_5_year_linear"
"1_2_02_05","Technology","1.2.02.05","Technological products or services bought for your business","asset_fixed","itbms_7_purchase","False","Equipos Tecnológicos","Productos o servicios tecnológicos adquiridos para tu negocio","asset_3_year_linear"
"1_2_02_06","Land","1.2.02.06","Purchases of lands without buildings","asset_fixed","itbms_7_purchase","False","Terrenos","Compra de terrenos sin construcciones",""
"1_2_02_07","Installations","1.2.02.07","Purchases of installations related to buildings, like solar panels or heater","asset_fixed","itbms_7_purchase","False","Instalaciones","Compra de instalaciones relacionadas con edificios, como paneles solares o sistemas de calefacción","asset_10_year_linear"
"1_2_02_08","Vehicle accessories","1.2.02.08","All accessories purchases related to your professional vehicle","asset_fixed","itbms_7_purchase","False","Accesorios de Vehículos","Compras de accesorios relacionados con tu vehículo de trabajo","asset_5_year_linear"
"1_2_02_09","Other property","1.2.02.09","Other type of property, like plants, machinery or various equipment","asset_fixed","itbms_7_purchase","False","Otros Bienes","Otros tipos de bienes, como maquinaria, plantas o equipo diverso","asset_5_year_linear"
"1_2_02_99","(-) Accumulated Depreciation","1.2.02.99","","asset_fixed","","False","(-) Depreciación Acumulada","",""
"1_2_03_01","Goodwill","1.2.03.01","","asset_non_current","","False","Crédito Mercantil","",""
"1_2_03_02","Concessions and Franchises","1.2.03.02","","asset_non_current","","False","Concesiones y Franquicias","",""
"1_2_03_03","Trademarks and Patents","1.2.03.03","","asset_non_current","","False","Marcas y Patentes","",""
"1_2_03_99","(-) Accumulated Amortization","1.2.03.99","","asset_non_current","","False","(-) Amortización Acumulada","",""
"1_2_04_01","Severance Fund","1.2.04.01","","asset_non_current","","False","Fondo de Cesantía","",""
"2_1_01_01","Suppliers","2.1.01.01","","liability_payable","","True","Proveedores","",""
"2_1_01_02","Advances from Customers","2.1.01.02","","liability_payable","","True","Anticipos de Clientes","",""
"2_1_01_03","(-) Unearned Interest on Credit Purchases","2.1.01.03","","liability_payable","","True","(-) Intereses no Devengados por Compras al Crédito","",""
"2_1_02_01","Bank Overdrafts","2.1.02.01","","liability_current","","False","Sobregiros Bancarios","",""
"2_1_02_02","Loans","2.1.02.02","","liability_current","","False","Préstamos por Pagar","",""
"2_1_02_03","Notes Payable","2.1.02.03","","liability_current","","False","Documentos por Pagar","",""
"2_1_02_04","Interest Payable","2.1.02.04","","liability_current","","False","Intereses por Pagar","",""
"2_1_02_05","Bonds Payable","2.1.02.05","","liability_current","","False","Bonos por Pagar","",""
"2_1_03_01","ITBMS Payable","2.1.03.01","","liability_current","","False","ITBMS por Pagar","",""
"2_1_03_02","Income Tax Payable","2.1.03.02","","liability_current","","False","Impuesto sobre la Renta por Pagar","",""
"2_1_03_03","ITBMS Withholding Payable","2.1.03.03","","liability_current","","False","Retenciones de ITBMS por Pagar","",""
"2_1_03_04","Income Tax Withholding Payable","2.1.03.04","","liability_current","","False","Retenciones de Impuesto sobre la Renta por Pagar","",""
"2_1_03_05","ISC Payable","2.1.03.05","","liability_current","","False","ISC por Pagar","",""
"2_1_04_01","Salaries Payable","2.1.04.01","","liability_current","","False","Sueldos por Pagar","",""
"2_1_04_02","Social Security (CSS) and Educational Insurance Payable","2.1.04.02","","liability_current","","False","Cuotas de la CSS y Seguro Educativo por Pagar","",""
"2_1_04_03","Provision for 13th Month Salary","2.1.04.03","","liability_current","","False","Provisión para Décimo Tercer Mes","",""
"2_1_04_04","Payroll Withholdings Payable","2.1.04.04","","liability_current","","False","Retenciones sobre Planilla por Pagar","",""
"2_1_05_01","Sundry Creditors","2.1.05.01","","liability_current","","False","Acreedores Varios","",""
"2_1_05_02","Dividends Payable","2.1.05.02","","liability_current","","False","Dividendos por Pagar","",""
"2_1_05_03","Deferred Income","2.1.05.03","","liability_current","","False","Ingresos Diferidos","",""
"2_1_05_04","Directors' and Officers' Fees Payable","2.1.05.04","","liability_current","","False","Honorarios de Directores y Dignatarios por Pagar","",""
"2_2_01_01","Provision for Severance Payments","2.2.01.01","","liability_current","","False","Provisión para Indemnizaciones","",""
"2_2_01_02","Provision for Pending Lawsuits","2.2.01.02","","liability_current","","False","Provisión para Juicios Pendientes","",""
"2_2_01_03","Provision for Service Warranties","2.2.01.03","","liability_current","","False","Provisión para Garantías de Servicio","",""
"2_2_01_04","Provision for Seniority Premium","2.2.01.04","","liability_current","","False","Provisión para Prima de Antigüedad","",""
"3_1_01_01","Share Capital","3.1.01.01","","equity","","False","Capital en Acciones","",""
"3_1_01_02","Outstanding Shares","3.1.01.02","","equity","","False","Acciones en Circulación","",""
"3_1_01_03","Stock Dividends to be Distributed","3.1.01.03","","equity","","False","Dividendos en Acciones por Distribuir","",""
"3_1_01_04","(-) Share Issuance Discount","3.1.01.04","","equity","","False","(-) Descuento en Emisión de Acciones","",""
"3_1_02_01","Share Premium","3.1.02.01","","equity","","False","Prima en Emisión de Acciones","",""
"3_1_02_02","Contributions for Future Capitalization","3.1.02.02","","equity","","False","Aportes para Futura Capitalización","",""
"3_1_03_01","Revaluation Surplus","3.1.03.01","","equity","","False","Superávit por Revaluación","",""
"3_1_04_01","Legal Reserve","3.1.04.01","","equity","","False","Reserva Legal","",""
"3_1_04_02","Statutory Reserve","3.1.04.02","","equity","","False","Reserva Estatutaria","",""
"3_1_04_03","Voluntary Reserve","3.1.04.03","","equity","","False","Reserva Voluntaria","",""
"3_1_04_04","Fixed Asset Renewal Reserve","3.1.04.04","","equity","","False","Reserva para Renovación de Activo Fijo","",""
"3_1_05_01","Retained Earnings","3.1.05.01","","equity","","False","Utilidades Retenidas","",""
"3_1_05_02","Prior Year Results","3.1.05.02","","equity","","False","Resultados de Ejercicios Anteriores","",""
"3_1_05_03","Profit and Loss for the Year","3.1.05.03","","equity","","False","Utilidad o Pérdida del Ejercicio","",""
"4_1_01_01","Sales","4.1.01.01","","income","","False","Ventas","",""
"4_2_01_01","Interest Income","4.2.01.01","","income_other","","False","Ingresos por Intereses","",""
"4_2_01_02","Rental Income","4.2.01.02","","income_other","","False","Ingresos por Alquileres","",""
"4_2_01_03","Commission Income","4.2.01.03","","income_other","","False","Ingresos por Comisiones","",""
"4_2_01_04","Discounts Earned","4.2.01.04","","income_other","","False","Descuentos Ganados","",""
"4_2_01_05","Investment Income","4.2.01.05","","income_other","","False","Ingresos por Inversiones","",""
"4_2_01_06","Fee Income","4.2.01.06","","income_other","","False","Ingresos por Honorarios","",""
"4_2_02_01","Gain on Sale of Shares","4.2.02.01","","income_other","","False","Ganancia en Venta de Acciones","",""
"4_2_02_02","Gain on Sale of Fixed Assets","4.2.02.02","","income_other","","False","Ganancia en Venta de Activo Fijo","",""
"4_2_02_03","Gain on Sale of Permanent Investments","4.2.02.03","","income_other","","False","Ganancia en Venta de Inversiones Permanentes","",""
"4_2_03_01","Other Recoveries","4.2.03.01","","income_other","","False","Otras Recuperaciones","",""
"4_2_03_02","Bad Debt Recoveries","4.2.03.02","","income_other","","False","Recuperación de Cuentas Incobrables","",""
"4_2_03_03","Donations Received","4.2.03.03","","income_other","","False","Donaciones Recibidas","",""
"4_2_04_01","Foreign Exchange Gain","4.2.04.01","","income_other","","False","Ganancia por Diferencial Cambiario","",""
"5_1_01_01","Cost of Goods Sold","5.1.01.01","","expense_direct_cost","","False","Costo de Ventas","",""
"5_1_01_02","Purchases","5.1.01.02","Goods and services purchased for resale or production","expense_direct_cost","itbms_7_purchase","False","Compras","Bienes y servicios adquiridos para reventa o producción",""
"5_1_01_03","Goods for resale","5.1.01.03","Goods you buy to resale later, as part of your activity","expense_direct_cost","itbms_7_purchase","False","Mercancías para Reventa","Bienes que compras para revender como parte de tu actividad",""
"5_1_01_04","Raw materials","5.1.01.04","All goods purchased as raw materials used by your activity","expense_direct_cost","itbms_7_purchase","False","Materia Prima","Bienes adquiridos como materia prima utilizada en tu actividad",""
"5_1_01_05","Consumables","5.1.01.05","Consumables bought and used in the context of your activity","expense_direct_cost","itbms_7_purchase","False","Materiales y Suministros","Consumibles adquiridos y utilizados en el desarrollo de tu actividad",""
"5_1_02_01","Production Costs","5.1.02.01","","expense_direct_cost","","False","Costos de Producción","",""
"5_2_01_01","Salaries Expense","5.2.01.01","","expense","","False","Gastos de Sueldos y Salarios","",""
"5_2_01_02","Social Security Expense","5.2.01.02","","expense","","False","Gastos de Cuotas Patronales (CSS)","",""
"5_2_01_03","Employees compensation","5.2.01.03","Compensation costs for employees and manual workers employed by the company","expense","","False","Compensación a Empleados","Costos de compensación para empleados y trabajadores contratados por la empresa",""
"5_2_01_04","Other personnel costs","5.2.01.04","Company's personnel costs excluding compensations, contributions and vouchers","expense","","False","Otros Costos de Personal","Costos de personal de la empresa, excluyendo compensaciones, aportes y vales",""
"5_2_02_01","Administrative Expenses","5.2.02.01","","expense","","False","Gastos de Administración","",""
"5_2_02_02","Professional insurance","5.2.02.02","All fees related to insurance taken in the context of your business","expense","itbms_7_purchase","False","Seguro Profesional","Pagos de seguros contratados en el contexto de tu actividad empresarial",""
"5_2_02_03","Fire insurance","5.2.02.03","Fees related to insurance to protect your property (building and content) against fire or other natural catastrophes","expense","itbms_7_purchase","False","Seguro contra Incendios","Pagos de seguros para proteger tus bienes (edificios y contenido) contra incendios u otras catástrofes naturales",""
"5_2_02_04","Professional Liability Insurance","5.2.02.04","Insurance for damage caused to third parties","expense","itbms_7_purchase","False","Seguro de Responsabilidad Civil","Seguro por daños causados a terceros",""
"5_2_02_05","Office supplies","5.2.02.05","Various supplies bought for your workplace or office, like pencils, paper etc","expense","itbms_7_purchase","False","Suministros de Oficina","Suministros diversos comprados para tu oficina o lugar de trabajo, como lápices, papel, etc.",""
"5_2_02_06","Office services","5.2.02.06","All expenses made for your office or workplace that are not material goods","expense","itbms_7_purchase","False","Servicios de Oficina","Gastos realizados para tu oficina o lugar de trabajo que no corresponden a bienes materiales",""
"5_2_02_07","Office Maintenance services","5.2.02.07","Services related to the maintenance of your workplace, like repair or cleaning fees","expense","itbms_7_purchase","False","Servicios de Mantenimiento","Servicios relacionados con el mantenimiento de tu lugar de trabajo, como reparación o limpieza",""
"5_2_02_08","Office Rent","5.2.02.08","Rental fees related to your workplace","expense","itbms_7_purchase","False","Alquiler de Oficina","Pagos de alquiler relacionados con tu lugar de trabajo",""
"5_2_02_09","Studies & works","5.2.02.09","Compensation and fees paid to other parties","expense","itbms_7_purchase","False","Estudios y Trabajos Profesionales","Honorarios y compensaciones pagados a terceros",""
"5_2_02_10","General subcontracting","5.2.02.10","Compensation and fees with other partners that act as subcontractors or consultants for your activity","expense","itbms_7_purchase","False","Subcontratación General","Honorarios y compensaciones pagados a socios que actúan como subcontratistas o consultores en tu actividad",""
"5_2_02_11","Software","5.2.02.11","Licenses or computer services (like repairs or upgrades)","expense","itbms_7_purchase","False","Software y Servicios Informáticos","Licencias o servicios informáticos (como reparaciones o actualizaciones)",""
"5_2_02_12","Administration fees","5.2.02.12","Services incurred for the administration of your business (excluding supplies)","expense","itbms_7_purchase","False","Servicios Administrativos","Servicios incurridos para la administración de tu negocio (excluye suministros)",""
"5_2_02_13","Accounting","5.2.02.13","Bills from your accountant or accounting firm","expense","itbms_7_purchase","False","Servicios Contables","Facturas de tu contador o firma contable",""
"5_2_02_14","Legal expenses","5.2.02.14","Bills from lawyers, fees paid to the justice system","expense","itbms_7_purchase","False","Servicios Legales","Facturas de abogados y pagos realizados al sistema judicial",""
"5_2_02_15","Training and documentation","5.2.02.15","Training fees not including food and drinks","expense","itbms_7_purchase","False","Capacitación y Documentación","Gastos de capacitación que no incluyen alimentos ni bebidas",""
"5_2_02_16","Membership fees","5.2.02.16","Subscriptions to clubs and associations related to your business","expense","itbms_7_purchase","False","Membresías Profesionales","Suscripciones a clubes y asociaciones relacionadas con tu actividad",""
"5_2_02_17","Fuel","5.2.02.17","All fuel expenses for a car","expense","itbms_7_purchase","False","Combustible","Todos los gastos de combustible para un vehículo",""
"5_2_02_18","Vehicle maintenance","5.2.02.18","Expenses made for the repair and maintenance of a vehicle","expense","itbms_7_purchase","False","Mantenimiento de Vehículos","Gastos realizados para la reparación y mantenimiento de un vehículo",""
"5_2_02_19","Vehicle rent","5.2.02.19","Rental of cars, including shared services, but excluding leasing","expense","itbms_7_purchase","False","Alquiler de Vehículos","Alquiler de vehículos, incluyendo servicios compartidos, pero excluyendo arrendamiento financiero (leasing)",""
"5_2_02_20","Flights","5.2.02.20","All expenses related to travel by plane","expense","","False","Pasajes Aéreos","Todos los gastos relacionados con viajes en avión",""
"5_2_02_21","Hotels","5.2.02.21","Hotel or B&B bills incurred during business trips","expense","itbms_7_purchase","False","Hospedaje","Facturas de hotel o alojamiento durante viajes de trabajo",""
"5_2_02_22","Public Transportation","5.2.02.22","Travel expenses done using public transportation (metro, bus, ...)","expense","","False","Transporte Público","Gastos de viaje realizados mediante transporte público (metro, bus, etc.)",""
"5_2_02_23","Other travel costs","5.2.02.23","Expenses incurred during business trips (excluding flights, hotels, daily expenses, public transportation)","expense","itbms_7_purchase","False","Otros Gastos de Viaje","Gastos incurridos durante viajes de trabajo (excluye vuelos, hoteles, gastos diarios y transporte público)",""
"5_2_02_24","Bar & Restaurant","5.2.02.24","Expenses incurred when eating or drinking at bars or restaurants","expense","itbms_7_purchase","False","Restaurantes y Bares","Gastos incurridos en consumo de alimentos o bebidas en bares o restaurantes",""
"5_2_02_25","Food: Reception & delivery","5.2.02.25","Food or drinks incurred outside of bars or restaurants, like receptions, canteen and food delivery, etc","expense","itbms_7_purchase","False","Alimentación y Entrega a Domicilio","Gastos de alimentos o bebidas fuera de bares o restaurantes, como recepciones, comedor o servicios de entrega",""
"5_2_03_01","Selling Expenses","5.2.03.01","","expense","","False","Gastos de Ventas","",""
"5_2_03_02","Advertising Expense","5.2.03.02","","expense","","False","Gastos de Publicidad","",""
"5_2_03_03","Business gift","5.2.03.03","Business gifts to clients","expense","itbms_7_purchase","False","Regalos Corporativos","Regalos corporativos a clientes",""
"5_2_04_01","Utilities Expense","5.2.04.01","","expense","","False","Gastos de Servicios Públicos","",""
"5_2_04_02","Tax Expense","5.2.04.02","","expense","","False","Gastos de Impuestos","",""
"5_2_04_03","Phone & internet","5.2.04.03","Internet or phone bills incurred","expense","itbms_7_purchase","False","Telefonía e Internet","Facturas de servicios de internet o telefonía",""
"5_2_04_04","Import fees","5.2.04.04","Customs fees incurred while importing goods","expense","","False","Derechos de Importación","Gastos de aduana incurridos al importar bienes",""
"5_2_04_05","Property tax","5.2.04.05","Local taxes that have to be paid due to the ownership of property","expense","","False","Impuesto de Inmueble","Impuestos locales que deben pagarse por la propiedad de bienes inmuebles",""
"5_3_01_01","Depreciation Expense","5.3.01.01","","expense","","False","Gastos de Depreciación","",""
"5_3_01_02","Amortization Expense","5.3.01.02","","expense","","False","Gastos de Amortización","",""
"5_4_01_01","Bank Fees","5.4.01.01","","expense","","False","Gastos Bancarios","",""
"5_4_01_02","Foreign Exchange Loss","5.4.01.02","","expense","","False","Pérdida por Diferencial Cambiario","",""
"5_5_01_01","Casualty Losses","5.5.01.01","","expense","","False","Pérdidas por Siniestros","",""
"5_5_01_02","Donations Granted","5.5.01.02","","expense","","False","Donaciones Otorgadas","",""
"5_5_01_03","Loss on Sale of Fixed Assets","5.5.01.03","","expense","","False","Pérdida en Venta de Activo Fijo","",""
