id,code,name,user_type_id:id,reconcile,chart_template_id:id
l10n_ie_a8000,8000,Intangible assets depn,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8001,8001,Tangible assets depn,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8200,8200,Donations,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8300,8300,Entertaining,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8400,8400,Insurance,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8500,8500,Travel and subsistence,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a9000,9000,Profits/Losses on disposals of assets,account.data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4900,4900,Bank Interest received,account.data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a4910,4910,Investment Interest received,account.data_account_type_revenue,FALSE,l10n_ie
l10n_ie_a7900,7900,Interest paid,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a8800,8800,Corporation tax expense,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a2240,2240,Universal Social Charge USC,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a2250,2250,PRSI Employee,account.data_account_type_expenses,FALSE,l10n_ie
l10n_ie_a2260,2260,PRSI Employer,account.data_account_type_expenses,FALSE,l10n_ie
