"id","name","code","account_type","reconcile","tax_ids","name@es"
"account_account_template_0_122303","0-Office furniture and office equipment","0.122303","asset_current","False","","0-Moibliario y equipo de oficina"
"account_account_template_0_122304","0-Computer equipment","0.122304","asset_current","False","","0-Equipo de cómputo"
"account_account_template_0_122305","0-Vehicles","0.122305","asset_current","False","","0-Vehículos"
"account_account_template_0_131101","0-Building 1","0.131101","asset_current","False","","0-Edificio 1"
"account_account_template_0_131201","0-Building 1","0.131201","asset_current","False","","0-Edificio 1"
"account_account_template_0_132101","0-Building 1","0.132101","asset_current","False","","0-Edificio 1"
"account_account_template_0_132201","0-Building 1","0.132201","asset_current","False","","0-Edificio 1"
"account_account_template_0_133001","0-Dep. ac. of machinery and equipment of buildings","0.133001","asset_current","False","","0-Dep. ac. de maquinaria y equipo de edificios"
"account_account_template_0_133002","0-Major tools ac. dept.","0.133002","asset_current","False","","0-Dep. ac. de herramientas mayores"
"account_account_template_0_133003","0-Dep. ac. of machinery and equipment of buildings","0.133003","asset_current","False","","0-Dep. ac. de maquinaria y equipo de edificios"
"account_account_template_0_133004","0-Dep. ac. of computer equipment","0.133004","asset_current","False","","0-Dep. ac. de equipo de cómputo"
"account_account_template_0_133005","0-Vehicle ac. dept.","0.133005","asset_current","False","","0-Dep. ac. de vehículos"
"account_account_template_0_141001","0-Prepaid insurance policies","0.141001","asset_receivable","True","","0-Pólizas de seguros prepagadas"
"account_account_template_0_142001","0-Deposits on telephone rights","0.142001","asset_receivable","True","","0-Depósitos sobre derechos telefónicos"
"account_account_template_0_142002","0-Deposits on Internet connections","0.142002","asset_receivable","True","","0-Depósitos sobre conexiones de Internet"
"account_account_template_0_142003","0-Deposits on leased premises","0.142003","asset_receivable","True","","0-Depósitos sobre locales en alquiler"
"account_account_template_0_211001","0-Accounts payable to suppliers","0.211001","liability_payable","True","","0-Cuentas por pagar a proveedores"
"account_account_template_0_211002","0-Accounts payable to employees","0.211002","liability_payable","True","","0-Cuentas por pagar a empleados"
"account_account_template_0_211003","0-Provisions payable","0.211003","liability_payable","True","","0-Cuentas por pagar de provisiones"
"account_account_template_0_211004","0-Accounts payable to related companies","0.211004","liability_payable","True","","0-Cuentas por pagar a compañías relacionadas"
"account_account_template_0_212101","0-Sales tax payable","0.212101","liability_current","False","","0-Impuesto de ventas por pagar"
"account_account_template_0_212102","0-Sales tax paid","0.212102","asset_current","True","","0-Impuesto de ventas pagado"
"account_account_template_0_212201","0-Income tax payable","0.212201","liability_current","True","","0-Impuesto de renta por pagar"
"account_account_template_0_212202","0-Income tax deductions","0.212202","liability_current","True","","0-Adelantos de impuesto de renta"
"account_account_template_0_212203","0-Income tax withholdings","0.212203","liability_current","True","","0-Retenciones de impuesto de renta"
"account_account_template_0_310001","0-Partner 1","0.310001","equity","False","","0-Socio 1"
"account_account_template_0_320001","0-Legal reserve","0.320001","equity","False","","0-Reserva legal"
"account_account_template_0_330001","0-Reserve for improvements","0.330001","equity","False","","0-Reserva para mejoras"
"account_account_template_0_330002","0-Reserve for projects","0.330002","equity","False","","0-Reserva para proyectos"
"account_account_template_0_340001","0-Partner 1","0.340001","equity","False","","0-Socio 1"
"account_account_template_0_350001","0-Capital surplus","0.350001","equity","False","","0-Superávit de capital"
"account_account_template_0_350002","0-Assets revaluation surplus","0.350002","equity","False","","0-Superavit por revaluación de activos"
"account_account_template_0_350003","0-Earned surplus","0.350003","equity","False","","0-Superavit ganado"
"account_account_template_0_360001","0-Period 1","0.360001","equity","False","","0-Periodo 1"
"account_account_template_0_370001","0-Utility or loss for the current period","0.370001","equity","False","","0-Utilidad o pérdida del período actual"
"account_account_template_0_380001","0-Initial balance","0.380001","equity","False","","0-Balance inicial"
"account_account_template_0_410001","0-Category 1","0.410001","income_other","False","account_tax_template_IV_0","0-Categoría 1"
"account_account_template_0_420001","0-Administration fee","0.420001","income","False","","0-Cuota por administración"
"account_account_template_0_430001","0-Interest earned on current accounts","0.430001","income","False","","0-Intereses ganados sobre cuentas corrientes"
"account_account_template_0_440001","0-Adjustments","0.440001","income","False","","0-Ajustes"
"account_account_template_0_440002","0-Donations","0.440002","income","False","","0-Donaciones"
"account_account_template_0_450001","0-Exchange differential","0.450001","income","False","","0-Diferencial cambiario"
"account_account_template_0_511111","0-Salaries","0.511111","expense","False","","0-Salarios"
"account_account_template_0_511112","0-Extras","0.511112","expense","False","","0-Extras"
"account_account_template_0_511113","0-Bonuses","0.511113","expense","False","","0-Bonificaciones"
"account_account_template_0_511114","0-Salary","0.511114","expense","False","","0-Comisiones"
"account_account_template_0_511115","0-Employer's charges","0.511115","expense","False","","0-Cargas patronales"
"account_account_template_0_511116","0-Extra pay at Christmas","0.511116","expense","False","","0-Aguinaldo"
"account_account_template_0_511117","0-Notice","0.511117","expense","False","","0-Preaviso"
"account_account_template_0_511118","0-Salary","0.511118","expense","False","","0-Comisiones"
"account_account_template_0_511121","0-Transportation","0.511121","expense","False","","0-Transporte"
"account_account_template_0_511122","0-Feeding","0.511122","expense","False","","0-Alimentación"
"account_account_template_0_511123","0-Hosting","0.511123","expense","False","","0-Hospedaje"
"account_account_template_0_511201","0-Category 1","0.511201","expense","False","","0-Categoría 1"
"account_account_template_0_511301","0-Product cost","0.511301","expense","False","","0-Costo de producto"
"account_account_template_0_511302","0-Raw material cost","0.511302","expense","False","","0-Costo de materia prima"
"account_account_template_0_511303","0-Cost of production","0.511303","expense","False","","0-Costo de producción"
"account_account_template_0_511304","0-Storage cost","0.511304","expense","False","","0-Costo de almacenamiento"
"account_account_template_0_511305","0-Distribution cost","0.511305","expense","False","","0-Costo de distribución"
"account_account_template_0_511401","0-Image design","0.511401","expense","False","","0-Diseño de imagen"
"account_account_template_0_511402","0-Advertising campaigns","0.511402","expense","False","","0-Campañas publicitarias"
"account_account_template_0_512101","0-Managing company 1","0.512101","expense","False","","0-Compañía administradora 1"
"account_account_template_0_512201","0-Office 1","0.512201","expense","False","","0-Oficina 1"
"account_account_template_0_512311","0-Meter 1","0.512311","expense","False","","0-Medidor 1"
"account_account_template_0_512321","0-Meter 1","0.512321","expense","False","","0-Medidor 1"
"account_account_template_0_512331","0-Telephone 1","0.512331","expense","False","","0-Teléfono 1"
"account_account_template_0_512341","0-Contract 1","0.512341","expense","False","","0-Contrato 1"
"account_account_template_0_512401","0-Department 1","0.512401","expense","False","","0-Departamento 1"
"account_account_template_0_512501","0-Department 1","0.512501","expense","False","","0-Departamento 1"
"account_account_template_0_520001","0-Adjustments","0.520001","expense","False","","0-Ajustes"
"account_account_template_0_520002","0-Financial Expenses","0.520002","expense","False","","0-Gastos Financieros"
"account_account_template_0_520003","0-Depreciation of fixed assets","0.520003","expense","False","","0-Depreciación de activo fijo"
"account_account_template_0_520004","0-Loss due to theft","0.520004","expense","False","","0-Perdida por robo"
"account_account_template_0_520005","0-Deductible donations","0.520005","expense","False","","0-Donaciones deducibles"
"account_account_template_0_530001","0-Non-deductible donations","0.530001","expense","False","","0-Donaciones no deducibles"
"account_account_template_0_530002","0-Chairman's expenses","0.530002","expense","False","","0-Gastos de presidencia"
"account_account_template_0_530003","0-Fines","0.530003","expense","False","","0-Multas"
"account_account_template_0_530004","0-Exchange differential","0.530004","expense","False","","0-Diferencial cambiario"
