"id","description","name","type_tax_use","amount","sequence","tax_group_id","amount_type","price_include","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@lv"
"tax_sale_vat_0_eu_s","0%","0% EU S","sale","0.0","170","tax_group_vat_exempt","percent","False","100","base","invoice","+482","","0% ES Pakalpojumi"
"","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","100","base","refund","-482","",""
"","","","","","","","","","100","tax","refund","","",""
"tax_sale_vat_0_eu_g","0%","0% EU G","sale","0.0","180","tax_group_vat_0","percent","False","100","base","invoice","+45","","0% EU Preces"
"","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","100","base","refund","-45","",""
"","","","","","","","","","100","tax","refund","","",""
"tax_purchase_vat_21","21%","21%","purchase","21.0","400","tax_group_vat_21","percent","False","100","base","invoice","","","21%"
"","","","","","","","","","100","tax","invoice","+62","a5721",""
"","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","100","tax","refund","-62","a5721",""
"tax_purchase_vat_21_eu","21%","21% EU","purchase","21.0","410","tax_group_vat_21","percent","False","100","base","invoice","+50","","21% ES"
"","","","","","","","","","100","tax","invoice","+55","a5721",""
"","","","","","","","","","-100","tax","invoice","-64","a5721",""
"","","","","","","","","","100","base","refund","-50","",""
"","","","","","","","","","100","tax","refund","-55","a5721",""
"","","","","","","","","","-100","tax","refund","+64","a5721",""
"tax_purchase_vat_12","12%","12%","purchase","12.0","420","tax_group_vat_12","percent","False","100","base","invoice","","","12%"
"","","","","","","","","","100","tax","invoice","+62","a5721",""
"","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","100","tax","refund","-62","a5721",""
"tax_purchase_vat_12_eu","12%","12% EU","purchase","12.0","430","tax_group_vat_12","percent","False","100","base","invoice","+51","","12% ES"
"","","","","","","","","","100","tax","invoice","+56","a5721",""
"","","","","","","","","","-100","tax","invoice","-64","a5721",""
"","","","","","","","","","100","base","refund","-51","",""
"","","","","","","","","","100","tax","refund","-56","a5721",""
"","","","","","","","","","-100","tax","refund","+64","a5721",""
"tax_purchase_vat_5","5%","5%","purchase","5.0","440","tax_group_vat_5","percent","False","100","base","invoice","","","5%"
"","","","","","","","","","100","tax","invoice","+62","a5721",""
"","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","100","tax","refund","-62","a5721",""
"tax_purchase_vat_5_eu","5%","5% EU","purchase","5.0","450","tax_group_vat_5","percent","False","100","base","invoice","+511","","5% ES"
"","","","","","","","","","100","tax","invoice","+561","a5721",""
"","","","","","","","","","-100","tax","invoice","-64","a5721",""
"","","","","","","","","","100","base","refund","-511","",""
"","","","","","","","","","100","tax","refund","-561","a5721",""
"","","","","","","","","","-100","tax","refund","+64","a5721",""
"tax_purchase_vat_21_reverse","21%","21% reverse charge","purchase","21.0","460","tax_group_vat_21","percent","False","100","base","invoice","","","21% Pārdošana reversa"
"","","","","","","","","","100","tax","invoice","+52","a5721",""
"","","","","","","","","","-100","tax","invoice","-62","a5721",""
"","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","100","tax","refund","-52","a5721",""
"","","","","","","","","","-100","tax","refund","+62","a5721",""
"tax_purchase_vat_21_ex_g","21%","21% EX G","purchase","21.0","470","tax_group_vat_21","percent","False","100","base","invoice","","",""
"","","","","","","","","","100","tax","invoice","+52","a5721",""
"","","","","","","","","","-100","tax","invoice","-63","a5721",""
"","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","100","tax","refund","-52","a5721",""
"","","","","","","","","","-100","tax","refund","+63","a5721",""
"tax_purchase_vat_21_ex_s","21%","21% EX S","purchase","21.0","480","tax_group_vat_21","percent","False","100","base","invoice","","","21% EX Pakalpojumi"
"","","","","","","","","","100","tax","invoice","+54","a5721",""
"","","","","","","","","","-100","tax","invoice","-63","a5721",""
"","","","","","","","","","100","base","refund","","",""
"","","","","","","","","","100","tax","refund","-54","a5721",""
"","","","","","","","","","-100","tax","refund","+63","a5721",""
