id,code,name,user_type_id/id,reconcile,chart_template_id/id
300070,300070,Drawings,account.data_account_type_equity,False,default_chart_template
400010,400010,Undistributed Profits/Losses,account.data_unaffected_earnings,False,default_chart_template
500010,500010,Sales category 1,account.data_account_type_revenue,False,default_chart_template
500020,500020,Sales category 2,account.data_account_type_revenue,False,default_chart_template
500030,500030,Sales category 3,account.data_account_type_revenue,False,default_chart_template
500040,500040,Sales category 4,account.data_account_type_revenue,False,default_chart_template
500050,500050,Bank Interest received,account.data_account_type_revenue,False,default_chart_template
500060,500060,Investment Interest received,account.data_account_type_revenue,False,default_chart_template
500070,500070,Profits/Losses on disposals of assets,account.data_account_type_revenue,False,default_chart_template
500080,500080,Rental Income,account.data_account_type_revenue,False,default_chart_template
510010,510010,Other Income,account.data_account_type_other_income,False,default_chart_template
600010,600010,Cost of sales 1,account.data_account_type_direct_costs,False,default_chart_template
600020,600020,Cost of sales 2,account.data_account_type_direct_costs,False,default_chart_template
600030,600030,Cost of sales 3,account.data_account_type_direct_costs,False,default_chart_template
600040,600040,Cost of sales 4,account.data_account_type_direct_costs,False,default_chart_template
610010,610010,Marketing,account.data_account_type_expenses,False,default_chart_template
610020,610020,Exhibitions and events,account.data_account_type_expenses,False,default_chart_template
610030,610030,PR,account.data_account_type_expenses,False,default_chart_template
610040,610040,Distribution vehicles,account.data_account_type_expenses,False,default_chart_template
610050,610050,Distribution salaries and wages,account.data_account_type_expenses,False,default_chart_template
610060,610060,Shipping,account.data_account_type_expenses,False,default_chart_template
610070,610070,Directors pension,account.data_account_type_expenses,False,default_chart_template
610080,610080,Directors remuneration,account.data_account_type_expenses,False,default_chart_template
610090,610090,Gross Salaries,account.data_account_type_expenses,False,default_chart_template
610100,610100,Employers SDL & UIF,account.data_account_type_expenses,False,default_chart_template
610110,610110,Subcontractors payments,account.data_account_type_expenses,False,default_chart_template
610120,610120,Rent and rates,account.data_account_type_expenses,False,default_chart_template
610130,610130,Light / heat and power,account.data_account_type_expenses,False,default_chart_template
610140,610140,Repairs and maintenance,account.data_account_type_expenses,False,default_chart_template
610150,610150,Car hire,account.data_account_type_expenses,False,default_chart_template
610160,610160,Car fuel,account.data_account_type_expenses,False,default_chart_template
610170,610170,Car maintenance,account.data_account_type_expenses,False,default_chart_template
610180,610180,Telephone,account.data_account_type_expenses,False,default_chart_template
610190,610190,Internet & hosting,account.data_account_type_expenses,False,default_chart_template
610200,610200,Mobiles,account.data_account_type_expenses,False,default_chart_template
610210,610210,Stationery,account.data_account_type_expenses,False,default_chart_template
610220,610220,Office consumables,account.data_account_type_expenses,False,default_chart_template
610230,610230,Postage and Carriage,account.data_account_type_expenses,False,default_chart_template
610240,610240,Books,account.data_account_type_expenses,False,default_chart_template
610250,610250,Network costs,account.data_account_type_expenses,False,default_chart_template
610260,610260,Software expenses,account.data_account_type_expenses,False,default_chart_template
610270,610270,Other computer costs,account.data_account_type_expenses,False,default_chart_template
610280,610280,Recruitment fees,account.data_account_type_expenses,False,default_chart_template
610290,610290,Other admin expenses,account.data_account_type_expenses,False,default_chart_template
610300,610300,Accounting,account.data_account_type_expenses,False,default_chart_template
610310,610310,Auditing,account.data_account_type_expenses,False,default_chart_template
610320,610320,Consultancy,account.data_account_type_expenses,False,default_chart_template
610330,610330,Legal and professional charges,account.data_account_type_expenses,False,default_chart_template
610340,610340,Exchange gains/losses,account.data_account_type_expenses,False,default_chart_template
610350,610350,Other sundry expenses,account.data_account_type_expenses,False,default_chart_template
610360,610360,Bad debts,account.data_account_type_expenses,False,default_chart_template
610370,610370,Interest paid,account.data_account_type_expenses,False,default_chart_template
610380,610380,Bank Charges,account.data_account_type_expenses,False,default_chart_template
610390,610390,Donations,account.data_account_type_expenses,False,default_chart_template
610400,610400,Entertaining,account.data_account_type_expenses,False,default_chart_template
610410,610410,Insurance,account.data_account_type_expenses,False,default_chart_template
610420,610420,Travel and subsistence,account.data_account_type_expenses,False,default_chart_template
610430,610430,Corporation tax expense,account.data_account_type_expenses,False,default_chart_template
610440,610440,Foreign Exchange Gains/Losses,account.data_account_type_expenses,False,default_chart_template
610450,610450,Price Differences Control Account,account.data_account_type_expenses,False,default_chart_template
610460,610460,Cash Register Gains/Losses,account.data_account_type_expenses,False,default_chart_template
620010,620010,Software Depreciation,account.data_account_type_depreciation,False,default_chart_template
620020,620020,Patents & Trademarks Depreciation,account.data_account_type_depreciation,False,default_chart_template
620030,620030,Fixtures and fittings Depreciation,account.data_account_type_depreciation,False,default_chart_template
620040,620040,Land and buildings Depreciation,account.data_account_type_depreciation,False,default_chart_template
620050,620050,Motor vehicles Depreciation,account.data_account_type_depreciation,False,default_chart_template
620060,620060,Office equipment (inc computer equipment) Depreciation,account.data_account_type_depreciation,False,default_chart_template
620070,620070,Plant and machinery Depreciation,account.data_account_type_depreciation,False,default_chart_template
