id,code,name,operation_type,operation_location,supply_characteristic,supply_location
operation_indicator_050103,050103,Demais serviços onerosos,Serviços diversos em operações onerosas,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Endereço diverso do fornecedor adquirente ou destinatário
operation_indicator_050104,050104,Demais serviços onerosos,Serviços diversos em operações onerosas,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Endereço diverso do fornecedor adquirente ou destinatário
operation_indicator_050201,050201,Demais serviços não onerosos,Demais serviços em operações não onerosas,o local do domicílio principal do: b) destinatário nas operações não onerosas.,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Endereço do destinatário
operation_indicator_060101,060101,Transporte de passageiros,Transporte de passageiros,o território de cada Município e Estado ou do Distrito Federal proporcionalmente à correspondente extensão da via explorada,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local de início do transporte
operation_indicator_070101,070101,Transporte de cargas,Transporte de cargas,o território de cada Município e Estado ou do Distrito Federal proporcionalmente à correspondente extensão da via explorada,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local de início do transporte
operation_indicator_070102,070102,Transporte de cargas,Transporte de cargas,o território de cada Município e Estado ou do Distrito Federal proporcionalmente à correspondente extensão da via explorada,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Local de início do transporte
operation_indicator_080101,080101,Operação com bem móvel,Operação com bem móvel,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do domicílio principal do adquirente (3)
operation_indicator_100101,100101,Operação com bem móvel não oneroso,Operação com bem móvel em operações não onerosas,o local do domicílio principal do: b) destinatário nas operações não onerosas.,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100102,100102,Operação com bem móvel não oneroso,Operação com bem móvel em operações não onerosas,o local do domicílio principal do: b) destinatário nas operações não onerosas.,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100201,100201,Operação com bem móvel adquirente exterior,Operação com bem móvel,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100301,100301,Operação com bem móvel adquirente exterior,Operação com bem móvel,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100302,100302,Operação com bem móvel adquirente exterior,Operação com bem móvel,o local do domicílio principal do: a) adquirente nas operações onerosas;,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100401,100401,Operação com bem móvel não oneroso adquirente exterior,Operação com bem móvel em operações não onerosas,o local do domicílio principal do: b) destinatário nas operações não onerosas.,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100501,100501,Operação com bem móvel não oneroso adquirente exterior,Operação com bem móvel em operações não onerosas,o local do domicílio principal do: b) destinatário nas operações não onerosas.,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100502,100502,Operação com bem móvel não oneroso adquirente exterior,Operação com bem móvel em operações não onerosas,o local do domicílio principal do: b) destinatário nas operações não onerosas.,Execução dos demais serviços em operações não especificadas anteriormente ou nos serviços de que trata o inc. III estes sejam ainda que parcialmente prestados à distância (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
operation_indicator_100601,100601,Operação com bem móvel não oneroso adquirente exterior,Operação com bem móvel em operações não onerosas,o local do domicílio principal do: b) destinatário nas operações não onerosas.,Execução de serviços diversos exclusivamente prestados fisicamente sobre a pessoa ou integralmente fruídos presencialmente por pessoa física (2),Local do domicílio do destinatário nos casos de adquirente residente ou domiciliado no exterior (5)(6)
