"id","name","code","account_type","reconcile","non_trade","tag_ids","name@el"
"l10n_gr_17_01_01","Biological fixed assets - Living animals - Gross amount (cost or revaluation)","17.01.01","asset_fixed","False","","","Μικτή αξία (κόστος ή αναπροσαρμοσμένη) ζώντων ζώων"
"l10n_gr_17_01_02","Biological fixed assets - Living animals - Accumulated depreciation","17.01.02","asset_fixed","False","","","Σωρευμένες αποσβέσεις ζώντων ζώων"
"l10n_gr_17_01_03","Biological fixed assets - Living animals - Accumulated impairment","17.01.03","asset_fixed","False","","","Σωρευμένες απομειώσεις ζώντων ζώων"
"l10n_gr_17_02_01","Biological fixed assets - Trees and plants - Gross amount (cost or revaluation)","17.02.01","asset_fixed","False","","","Μικτή αξία (κόστος ή αναπροσαρμοσμένη) δένδρων και φυτών"
"l10n_gr_17_02_02","Biological fixed assets - Trees and plants - Accumulated depreciation","17.02.02","asset_fixed","False","","","Σωρευμένες αποσβέσεις δένδρων και φυτών"
"l10n_gr_17_02_03","Biological fixed assets - Trees and plants - Accumulated impairment","17.02.03","asset_fixed","False","","","Σωρευμένες απομειώσεις δένδρων και φυτών"
"l10n_gr_18_01_01_01","Acquisition cost of development expenditure - Ongoing expenditure","18.01.01.01","asset_non_current","False","","","Μικτή αξία κτήσης δαπανών ανάπτυξης - τρέχουσες δαπάνες"
"l10n_gr_18_01_01_02","Acquisition cost of development expenditure - Except ongoing expenditure","18.01.01.02","asset_non_current","False","","","Μικτή αξία κτήσης δαπανών ανάπτυξης - εκτός των συνεχιζόμενων δαπανών"
"l10n_gr_18_01_02_01","Accumulated depreciation of development expenditure - Ongoing expenditure","18.01.02.01","asset_non_current","False","","","Σωρευμένες αποσβέσεις δαπανών ανάπτυξης - τρέχουσες δαπάνες"
"l10n_gr_18_01_02_02","Accumulated depreciation of development expenditure - Except ongoing expenditure","18.01.02.02","asset_non_current","False","","","Σωρευμένες αποσβέσεις δαπανών ανάπτυξης - εκτός των συνεχιζόμενων δαπανών"
"l10n_gr_18_01_03_01","Accumulated impairment of development expenditure - Ongoing expenditure","18.01.03.01","asset_non_current","False","","","Σωρευμένες απομειώσεις δαπανών ανάπτυξης - τρέχουσες δαπάνες"
"l10n_gr_18_01_03_02","Accumulated impairment of development expenditure - Except ongoing expenditure","18.01.03.02","asset_non_current","False","","","Σωρευμένες απομειώσεις δαπανών ανάπτυξης - εκτός των συνεχιζόμενων δαπανών"
"l10n_gr_18_02_01","Acquisition cost of goodwill","18.02.01","asset_non_current","False","","","Μικτή αξία κτήσης υπεραξίας"
"l10n_gr_18_02_02","Accumulated depreciation of goodwill","18.02.02","asset_non_current","False","","","Σωρευμένες αποσβέσεις υπεραξίας"
"l10n_gr_18_02_03","Accumulated impairment of goodwill","18.02.03","asset_non_current","False","","","Σωρευμένες απομειώσεις υπεραξίας"
"l10n_gr_18_03_01","Acquisition cost of other intangibles","18.03.01","asset_non_current","False","","","Μικτή αξία κτήσης λοιπών άυλων"
"l10n_gr_18_03_02","Accumulated depreciation of other intangibles","18.03.02","asset_non_current","False","","","Σωρευμένες αποσβέσεις λοιπών άυλων"
"l10n_gr_18_03_03","Accumulated impairment of other intangibles","18.03.03","asset_non_current","False","","","Σωρευμένες απομειώσεις λοιπών άυλων"
"l10n_gr_20_01","Merchandise - Opening balance","20.01.00","asset_current","False","","","Εμπορεύματα έναρξης"
"l10n_gr_20_02","Purchases of merchandise","20.02.00","asset_current","False","","","Αγορές εμπορευμάτων χρήσης"
"l10n_gr_20_03","Discounts and allowances of merchandise","20.03.00","asset_current","False","","","Εκπτώσεις αγορών εμπορευμάτων"
"l10n_gr_20_04","Returns of merchandise","20.04.00","asset_current","False","","","Επιστροφές αγορών εμπορευμάτων"
"l10n_gr_20_05","Write-downs of merchandise","20.05.00","asset_current","False","","","Απομείωση εμπορευμάτων"
"l10n_gr_20_06","Merchandise - Closing balance","20.06.00","asset_current","False","","","Εμπορεύματα λήξης"
"l10n_gr_21_01","Finished products - Opening balance","21.01.00","asset_current","False","","","Προϊόντα έναρξης"
"l10n_gr_21_02","Production of goods","21.02.00","asset_current","False","","","Παραγωγή χρήσης"
"l10n_gr_21_03","Write-downs of goods","21.03.00","asset_current","False","","","Απομείωση προϊόντων"
"l10n_gr_21_04","Finished products - Closing balance","21.04.00","asset_current","False","","","Προϊόντα λήξης"
"l10n_gr_22_01_01","Living Animals - Opening balance","22.01.01","asset_current","False","","","Ζώντα ζώα έναρξης"
"l10n_gr_22_01_02","Purchases of living animals","22.01.02","asset_current","False","","","Αγορές ζώντων ζώων"
"l10n_gr_22_01_03","Discounts and allowances on living animals","22.01.03","asset_current","False","","","Εκπτώσεις αγορών ζώντων ζώων"
"l10n_gr_22_01_04","Returns of living animals","22.01.04","asset_current","False","","","Επιστροφές αγορών ζώντων ζώων"
"l10n_gr_22_01_05","Write-downs of living animals","22.01.05","asset_current","False","","","Απομείωση ζώντων ζώων"
"l10n_gr_22_01_06","Fair value differences - Living animals","22.01.06","asset_current","False","","","Διαφορές επιμέτρησης εύλογης αξίας ζώντων ζώων"
"l10n_gr_22_01_07","Living Animals - Closing balance","22.01.07","asset_current","False","","","Ζώντα ζώα λήξης"
"l10n_gr_22_02_01","Trees and plants - Opening balance","22.02.01","asset_current","False","","","Δένδρα και φυτά έναρξης"
"l10n_gr_22_02_02","Purchases of trees and plants","22.02.02","asset_current","False","","","Αγορές δένδρων και φυτών"
"l10n_gr_22_02_03","Discounts and allowances on trees and plants","22.02.03","asset_current","False","","","Εκπτώσεις αγορών δένδρων και φυτών"
"l10n_gr_22_02_04","Returns of trees and plants","22.02.04","asset_current","False","","","Επιστροφές αγορών δένδρων και φυτών"
"l10n_gr_22_02_05","Write-downs of trees and plants","22.02.05","asset_current","False","","","Απομείωση δένδρων και φυτών"
"l10n_gr_22_02_06","Fair value differences of trees and plants","22.02.06","asset_current","False","","","Διαφορές επιμέτρησης εύλογης αξίας δένδρων και φυτών"
"l10n_gr_22_02_07","Trees and plants - Closing balance","22.02.07","asset_current","False","","","Δένδρα και φυτά λήξης"
"l10n_gr_23_01","Opening balance of work in progress","23.01.00","asset_current","False","","","Παραγωγή σε εξέλιξη έναρξης"
"l10n_gr_23_02","Closing balance of work in progress","23.02.00","asset_current","False","","","Παραγωγή σε εξέλιξη λήξης"
"l10n_gr_24_01","Materials - Opening balance of materials","24.01.00","asset_current","False","","","Πρώτες ύλες και υλικά έναρξης"
"l10n_gr_24_02","Purchases of materials","24.02.00","asset_current","False","","","Αγορές πρώτων υλών και υλικών χρήσης"
"l10n_gr_24_03","Discounts and allowances of materials","24.03.00","asset_current","False","","","Εκπτώσεις αγορών πρώτων υλών και υλικών"
"l10n_gr_24_04","Returns of materials","24.04.00","asset_current","False","","","Επιστροφές αγορών πρώτων υλών και υλικών"
"l10n_gr_24_05","Write-downs of materials","24.05.00","asset_current","False","","","Απομείωση πρώτων υλών και υλικών"
"l10n_gr_24_06","Materials - Closing balance","24.06.00","asset_current","False","","","Αποθέματα λήξης πρώτων υλών και υλικών"
"l10n_gr_25_01","Packing materials - Opening balance","25.01.00","asset_current","False","","","Υλικά συσκευασίας έναρξης"
"l10n_gr_25_02","Purchases of packing materials","25.02.00","asset_current","False","","","Αγορές υλικών συσκευασίας"
"l10n_gr_25_03","Discounts and allowances of packing materials","25.03.00","asset_current","False","","","Εκπτώσεις αγορών υλικών συσκευασίας"
"l10n_gr_25_04","Returns of packing materials","25.04.00","asset_current","False","","","Επιστροφές αγορών υλικών συσκευασίας"
"l10n_gr_25_05","Write-downs of packing materials","25.05.00","asset_current","False","","","Απομείωση υλικών συσκευασίας"
"l10n_gr_25_06","Packing materials - Closing balance","25.06.00","asset_current","False","","","Υλικά συσκευασίας λήξης"
"l10n_gr_26_01","Spare parts - Opening balance","26.01.00","asset_current","False","","","Ανταλλακτικά παγίων έναρξης"
"l10n_gr_26_02","Purchases of spare parts","26.02.00","asset_current","False","","","Αγορές ανταλλακτικών παγίων"
"l10n_gr_26_03","Discounts and allowances of spare parts","26.03.00","asset_current","False","","","Εκπτώσεις αγορών ανταλλακτικών παγίων"
"l10n_gr_26_04","Returns of spare parts","26.04.00","asset_current","False","","","Επιστροφές αγορών ανταλλακτικών παγίων"
"l10n_gr_26_05","Write-downs of spare parts","26.05.00","asset_current","False","","","Απομείωση ανταλλακτικών"
"l10n_gr_26_06","Spare parts - Closing balance","26.06.00","asset_current","False","","","Ανταλλακτικά παγίων λήξης"
"l10n_gr_27_01","Other inventory - Opening balance","27.01.00","asset_current","False","","","Λοιπά αποθέματα έναρξης"
"l10n_gr_27_02","Purchases of other inventory","27.02.00","asset_current","False","","","Αγορές λοιπών αποθεμάτων"
"l10n_gr_27_03","Discounts and allowances of other inventory","27.03.00","asset_current","False","","","Εκπτώσεις αγορών λοιπών αποθεμάτων"
"l10n_gr_27_04","Returns of other inventory","27.04.00","asset_current","False","","","Επιστροφές αγορών λοιπών αποθεμάτων"
"l10n_gr_27_05","Write-downs of other inventory","27.05.00","asset_current","False","","","Απομείωση λοιπών αποθεμάτων"
"l10n_gr_27_06","Other inventory - Closing balance","27.06.00","asset_current","False","","","Λοιπά αποθέματα λήξης"
"l10n_gr_30_01_01_01","Accounts receivables from non-related entities - Nominal amount - Short term portion","30.01.01.01","asset_receivable","True","","","Πελάτες μη συνδεδεμένες οντότητες - ονομαστικό ποσό - βραχυπρόθεσμο μέρος"
"l10n_gr_30_01_01_02","Accounts receivables from non-related entities - Nominal amount - Long term portion","30.01.01.02","asset_receivable","True","","","Πελάτες μη συνδεδεμένες οντότητες - ονομαστικό ποσό - μακροπρόθεσμα"
"l10n_gr_30_01_02_01","Interest not accrued on receivables from non-related entities - Short term portion","30.01.02.01","asset_current","False","","","Μη δουλευμένοι τόκοι μη συνδεδεμένων πελατών - βραχυπρόθεσμο μέρος"
"l10n_gr_30_01_02_02","Interest not accrued on receivables from non-related entities - Long term portion","30.01.02.02","asset_non_current","False","","","Μη δουλευμένοι τόκοι μη συνδεδεμένων πελατών - μακροπρόθεσμα"
"l10n_gr_30_01_03","Advances from customers - Non-related entities","30.01.03","liability_current","False","","","Προκαταβολές μη συνδεδεμένων πελατών"
"l10n_gr_30_01_04_01","Impairment of receivables from non-related entities - Short term portion","30.01.04.01","asset_current","False","","","Απομείωση μη συνδεδεμένων πελατών - βραχυπρόθεσμο μέρος"
"l10n_gr_30_01_04_02","Impairment of receivables from non-related entities - Long term portion","30.01.04.02","asset_current","False","","","Απομείωση μη συνδεδεμένων πελατών - μακροπρόθεσμα"
"l10n_gr_30_02_01_01","Accounts receivables from related entities - Nominal amount - Short term portion","30.02.01.01","asset_receivable","True","","","Συνδεδεμένοι πελάτες - ονομαστικό ποσό - βραχυπρόθεσμο μέρος"
"l10n_gr_30_02_01_02","Accounts receivables from related entities - Nominal amount - Long term portion","30.02.01.02","asset_receivable","True","","","Συνδεδεμένοι πελάτες - ονομαστικό ποσό - μακροπρόθεσμα"
"l10n_gr_30_02_02_01","Interest not-accrued on receivables from related entities - Short term portion","30.02.02.01","asset_current","False","","","Μη δουλευμένοι τόκοι συνδεδεμένων πελατών - βραχυπρόθεσμο μέρος"
"l10n_gr_30_02_02_02","Interest not-accrued on receivables from related entities - Long term portion","30.02.02.02","asset_non_current","False","","","Μη δουλευμένοι τόκοι συνδεδεμένων πελατών - μακροπρόθεσμα"
"l10n_gr_30_02_03","Advances from customers - Related entities","30.02.03","liability_current","False","","","Προκαταβολές συνδεδεμένων πελατών"
"l10n_gr_30_02_04_01","Impairment of receivables from related entities - Short term portion","30.02.04.01","asset_current","False","","","Απομείωση συνδεδεμένων πελατών - βραχυπρόθεσμο μέρος"
"l10n_gr_30_02_04_02","Impairment of receivables from related entities - Long term portion","30.02.04.02","asset_current","False","","","Απομείωση συνδεδεμένων πελατών - μακροπρόθεσμα"
"l10n_gr_31_01_01_01","Notes receivables from non-related entities - Nominal amount - Short term portion","31.01.01.01","asset_receivable","True","","","Αξιόγραφα εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων - ονομαστικό ποσό - βραχυπρόθεσμο μέρος"
"l10n_gr_31_01_01_02","Notes receivables from non-related entities - Nominal amount - Long term portion","31.01.01.02","asset_receivable","True","","","Αξιόγραφα εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων - ονομαστικό ποσό - μακροπρόθεσμα"
"l10n_gr_31_01_02_01","Interest not-accrued on receivables from non-related entities - Short term portion","31.01.02.01","asset_current","False","","","Μη δουλευμένοι τόκοι αξιογράφων εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων - βραχυπρόθεσμο μέρος"
"l10n_gr_31_01_02_02","Interest not-accrued on receivables from non-related entities - Long term portion","31.01.02.02","asset_non_current","False","","","Μη δουλευμένοι τόκοι αξιογράφων εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων - μακροπρόθεσμα"
"l10n_gr_31_01_03_01","Impairment of receivables from non-related entities - Short term portion","31.01.03.01","asset_current","False","","","Απομείωση αξιογράφων εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων - βραχυπρόθεσμο μέρος"
"l10n_gr_31_01_03_02","Impairment of receivables from non-related entities - Long term portion","31.01.03.02","asset_non_current","False","","","Απομείωση αξιογράφων εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων - μακροπρόθεσμα"
"l10n_gr_31_02_01_01","Notes receivables from related entities - Nominal amount - Short term portion","31.02.01.01","asset_receivable","True","","","Αξιόγραφα εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων - ονομαστικό ποσό - βραχυπρόθεσμο μέρος"
"l10n_gr_31_02_01_02","Notes receivables from related entities - Nominal amount - Long term portion","31.02.01.02","asset_receivable","True","","","Αξιόγραφα εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων - ονομαστικό ποσό - μακροπρόθεσμα"
"l10n_gr_31_02_02_01","Interest not-accrued on receivables from related entities - Short term portion","31.02.02.01","asset_current","False","","","Μη δουλευμένοι τόκοι αξιογράφων εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων - βραχυπρόθεσμο μέρος"
"l10n_gr_31_02_02_02","Interest not-accrued on receivables from related entities - Long term portion","31.02.02.02","asset_non_current","False","","","Μη δουλευμένοι τόκοι αξιογράφων εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων - μακροπρόθεσμα"
"l10n_gr_31_02_03_01","Impairment of receivables from related entities - Short term portion","31.02.03.01","asset_current","False","","","Απομείωση αξιογράφων εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων - βραχυπρόθεσμο μέρος"
"l10n_gr_31_02_03_02","Impairment of receivables from related entities - Long term portion","31.02.03.02","asset_non_current","False","","","Απομείωση αξιογράφων εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων - μακροπρόθεσμα"
"l10n_gr_32_01_01","Loans given to related parties - Short term portion","32.01.01","asset_current","False","","","Δάνεια χορηγηθέντα σε συνδεδεμένες οντότητες - βραχυπρόθεσμο μέρος"
"l10n_gr_32_01_02","Loans given to related parties - Long term portion","32.01.02","asset_non_current","False","","","Δάνεια χορηγηθέντα σε συνδεδεμένες οντότητες - μακροπρόθεσμα"
"l10n_gr_32_02_01","Loans given to personnel and management - Short term portion","32.02.01","asset_current","False","","","Δάνεια χορηγηθέντα στο προσωπικό και στη διοίκηση - βραχυπρόθεσμο μέρος"
"l10n_gr_32_02_02","Loans given to personnel and management - Long term portion","32.02.02","asset_non_current","False","","","Δάνεια χορηγηθέντα στο προσωπικό και στη διοίκηση - μακροπρόθεσμα"
"l10n_gr_32_03_01","Other loans given - Short term portion","32.03.01","asset_current","False","","","Λοιπά χορηγηθέντα δάνεια - βραχυπρόθεσμο μέρος"
"l10n_gr_32_03_02","Other loans given - Long term portion","32.03.02","asset_non_current","False","","","Λοιπά χορηγηθέντα δάνεια - μακροπρόθεσμα"
"l10n_gr_32_04_01","Impairment of loans given - Short term portion","32.04.01","asset_current","False","","","Απομείωση χορηγηθέντων δανείων - βραχυπρόθεσμο μέρος"
"l10n_gr_32_04_02","Impairment of loans given - Long term portion","32.04.02","asset_non_current","False","","","Απομείωση χορηγηθέντων δανείων - μακροπρόθεσμα"
"l10n_gr_33_01_01_01","Revenue from equity investments receivable - Nominal amount - Short term portion","33.01.01.01","asset_current","False","","","Έσοδα από πάσης φύσεως συμμετοχές εισπρακτέα - ονομαστικό ποσό - βραχυπρόθεσμο μέρος"
"l10n_gr_33_01_01_02","Revenue from equity investments receivable - Nominal amount - Long term portion","33.01.01.02","asset_non_current","False","","","Έσοδα από πάσης φύσεως συμμετοχές εισπρακτέα - ονομαστικό ποσό - μακροπρόθεσμα"
"l10n_gr_33_01_02_01","Impairment of revenue from equity investments receivable - Short term portion","33.01.02.01","asset_current","False","","","Απομείωση - έσοδα από πάσης φύσεως συμμετοχές εισπρακτέα - βραχυπρόθεσμο μέρος"
"l10n_gr_33_01_02_02","Impairment of revenue from equity investments receivable - Long term portion","33.01.02.02","asset_non_current","False","","","Απομείωση - έσοδα από πάσης φύσεως συμμετοχές εισπρακτέα - μακροπρόθεσμα"
"l10n_gr_33_02_01_01","Other receivables from related entities - Nominal amount - Short term portion","33.02.01.01","asset_receivable","True","","","Άλλες απαιτήσεις από συνδεδεμένες οντότητες - ονομαστικό ποσό - βραχυπρόθεσμο μέρος"
"l10n_gr_33_02_01_02","Other receivables from related entities - Nominal amount - Long term portion","33.02.01.02","asset_receivable","True","","","Άλλες απαιτήσεις από συνδεδεμένες οντότητες - ονομαστικό ποσό - μακροπρόθεσμα"
"l10n_gr_33_02_02_01","Impairment of other receivables from related entities - Short term portion","33.02.02.01","asset_current","False","","","Απομείωση - άλλες απαιτήσεις από συνδεδεμένες οντότητες - βραχυπρόθεσμο μέρος"
"l10n_gr_33_02_02_02","Impairment of other receivables from related entities - Long term portion","33.02.02.02","asset_non_current","False","","","Απομείωση - άλλες απαιτήσεις από συνδεδεμένες οντότητες - μακροπρόθεσμα"
"l10n_gr_33_03_01_01","Other receivables from non-related entities, nominal amount - Short term portion","33.03.01.01","asset_receivable","True","","","Άλλες απαιτήσεις από μη συνδεδεμένες οντότητες - ονομαστικό ποσό - βραχυπρόθεσμο μέρος"
"l10n_gr_33_03_01_02","Other receivables from non-related entities, nominal amount - Long term portion","33.03.01.02","asset_receivable","True","","","Άλλες απαιτήσεις από μη συνδεδεμένες οντότητες - ονομαστικό ποσό - μακροπρόθεσμα"
"l10n_gr_33_03_02_01","Impairment of other receivables from non-related entities - Short term portion","33.03.02.01","asset_current","False","","","Απομείωση - άλλες απαιτήσεις από μη συνδεδεμένες οντότητες - βραχυπρόθεσμο μέρος"
"l10n_gr_33_03_02_02","Impairment of other receivables from non-related entities - Long term portion","33.03.02.02","asset_non_current","False","","","Απομείωση - άλλες απαιτήσεις από μη συνδεδεμένες οντότητες - μακροπρόθεσμα"
"l10n_gr_33_04_01","Guarantees - Short term portion","33.04.01","asset_current","False","","","Εγγυήσεις - βραχυπρόθεσμο μέρος"
"l10n_gr_33_04_02","Guarantees - Long term portion","33.04.02","asset_non_current","False","","","Εγγυήσεις - μακροπρόθεσμα"
"l10n_gr_34_01","Debt instruments","34.01.01","asset_current","False","","","Χρεωστικοί τίτλοι"
"l10n_gr_34_02","Other equity instruments","34.02.00","asset_current","False","","","Λοιποί συμμετοχικοί τίτλοι"
"l10n_gr_34_03_01","Other current financial assets","34.03.01","asset_current","False","","","Λοιπά κυκλοφορούντα χρηματοοικονομικά περιουσιακά στοιχεία"
"l10n_gr_34_03_02","Other non current financial assets","34.03.02","asset_current","False","","","Λοιπά μη κυκλοφορούντα χρηματοοικονομικά περιουσιακά στοιχεία"
"l10n_gr_35_01","Financial instruments held for fair value hedging","35.01.00","asset_current","False","","","Χρηματοοικονομικά στοιχεία για αντιστάθμιση εύλογης αξίας"
"l10n_gr_35_02","Financial instruments held for cash flow hedging","35.02.00","asset_current","False","","","Χρηματοοικονομικά στοιχεία για αντιστάθμιση ταμειακών ροών"
"l10n_gr_36_01_01","Investment in subsidiaries","36.01.01","asset_current","False","","","Συμμετοχές σε θυγατρικές"
"l10n_gr_36_01_02","Impairment of investment in subsidiaries","36.01.02","asset_current","False","","","Απομείωση συμμετοχών σε θυγατρικές"
"l10n_gr_36_02_01","Investment in associates","36.02.01","asset_current","False","","","Συμμετοχές σε συγγενείς"
"l10n_gr_36_02_02","Impairment of investment in associates","36.02.02","asset_current","False","","","Απομείωση συμμετοχών σε συγγενείς"
"l10n_gr_36_03_01","Investment in joint ventures","36.03.01","asset_current","False","","","Συμμετοχές σε κοινοπραξίες"
"l10n_gr_36_03_02","Impairment of investment in joint ventures","36.03.02","asset_current","False","","","Απομείωση συμμετοχών σε κοινοπραξίες"
"l10n_gr_37_01_01","Prepaid expenses to non-related entities","37.01.01","asset_prepayments","False","","","Προπληρωμένα έξοδα σε μη συνδεδεμένες οντότητες"
"l10n_gr_37_01_02","Prepaid expenses to related entities","37.01.02","asset_prepayments","False","","","Προπληρωμένα έξοδα σε συνδεδεμένες οντότητες"
"l10n_gr_37_02_01","Accrued revenue from non-related entities","37.02.01","asset_current","False","","","Δουλευμένα έσοδα περιόδου από μη συνδεδεμένες οντότητες"
"l10n_gr_37_02_02","Accrued revenue from related entities","37.02.02","asset_current","False","","","Δουλευμένα έσοδα περιόδου από συνδεδεμένες οντότητες"
"l10n_gr_38_01","Cash in hand","38.01.00","asset_cash","False","","","Ταμείο"
"l10n_gr_38_02","Sight deposits","38.02.00","asset_cash","False","","","Καταθέσεις όψεως"
"l10n_gr_38_03","Time deposits","38.03.00","asset_cash","False","","","Καταθέσεις προθεσμίας"
"l10n_gr_38_04","Other cash equivalents","38.04.00","asset_cash","False","","","Λοιπά ταμειακά ισοδύναμα"
"l10n_gr_39_00","Deferred tax asset","39.00.00","asset_current","False","","","Αναβαλλόμενοι φόροι ενεργητικού"
"l10n_gr_40_00","Capital (paid-in)","40.00.00","equity","False","","","Κεφάλαιο"
"l10n_gr_41_00","Share premium","41.00.00","equity","False","","","Υπέρ το άρτιο"
"l10n_gr_42_00","Owners' deposits","42.00.00","equity","False","","","Καταθέσεις ιδιοκτητών"
"l10n_gr_43_01","Acquisition cost of treasury titles","43.01.00","equity","False","","","Αξία κτήσης ίδιων τίτλων"
"l10n_gr_43_02","Gain/Loss from the sale of treasury titles","43.02.00","equity","False","","","Αποτέλεσμα (κέρδος/ζημία) από τη διάθεση ίδιων τίτλων"
"l10n_gr_44_01","Fair value reserves - Tangible assets","44.01.00","equity","False","","","Διαφορές εύλογης αξίας ενσώματων παγίων"
"l10n_gr_44_02","Fair value reserves - Available for sale","44.02.00","equity","False","","","Διαφορές εύλογης αξίας διαθέσιμων για πώληση"
"l10n_gr_44_03","Fair value reserves - Cash flow hedges","44.03.00","equity","False","","","Διαφορές εύλογης αξίας στοιχείων αντιστάθμισης ταμειακών ροών"
"l10n_gr_45_00","Exchange differences","45.00.00","equity","False","","","Συναλλαγματικές διαφορές"
"l10n_gr_46_00","Legal reserves","46.00.00","equity","False","","","Αποθεματικά νόμων"
"l10n_gr_47_00","Tax reserves","47.00.00","equity","False","","","Αφορολόγητα αποθεματικά"
"l10n_gr_48_01","Articles of association reserves","48.01.00","equity","False","","","Αποθεματικά καταστατικού"
"l10n_gr_48_02","Optional reserves formed by a decision of the owners’ general assembly","48.02.00","equity","False","","","Προαιρετικά αποθεματικά αποφάσεων γενικής συνέλευσης ιδιοκτητών"
"l10n_gr_49_00","Retained earnings","49.00.00","equity_unaffected","False","","","Αποτελέσματα εις νέο"
"l10n_gr_50_01_01","Accounts payable - Non-related entities - Short term part","50.01.01","liability_payable","True","","","Πληρωτέοι λογαριασμοί - μη συνδεδεμένες οντότητες - βραχυπρόθεσμο μέρος"
"l10n_gr_50_01_02","Accounts payable - Non-related entities - Long term portion","50.01.02","liability_payable","True","","","Πληρωτέοι λογαριασμοί - μη συνδεδεμένες οντότητες - μακροπρόθεσμο μέρος"
"l10n_gr_50_02_01","Accounts payable - Related entities - Short term part","50.02.01","liability_payable","True","","","Πληρωτέοι λογαριασμοί - συνδεδεμένες οντότητες - βραχυπρόθεσμο μέρος"
"l10n_gr_50_02_02","Accounts payable - Related entities - Long term portion","50.02.02","liability_payable","True","","","Πληρωτέοι λογαριασμοί - συνδεδεμένες οντότητες - μακροπρόθεσμο τμήμα"
