"id","name","description","tax_scope","active","invoice_label","amount","sequence","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@el","description@el"
"l10n_gr_tax_s4_G","4% G","Sales VAT 4% goods for the Aegean Islands","","","4%","4.0","1","percent","sale","l10n_gr_tax_group_4","False","base","invoice","","+305","","","ΦΠΑ πωλήσεων 4% για τα νησιά του Αιγαίου"
"","","","","","","","","","","","","tax","invoice","","+335","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-305","","",""
"","","","","","","","","","","","","tax","refund","","-335","l10n_gr_54_02_01","",""
"l10n_gr_tax_s17_G","17% G","Sales VAT 17% goods for the Aegean Islands","","","17%","17.0","1","percent","sale","l10n_gr_tax_group_17","False","base","invoice","","+306","","","ΦΠΑ πωλήσεων 17% για τα νησιά του Αιγαίου"
"","","","","","","","","","","","","tax","invoice","","+336","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-306","","",""
"","","","","","","","","","","","","tax","refund","","-336","l10n_gr_54_02_01","",""
"l10n_gr_tax_s24_S","24% S","Sales VAT 24% services for Greece (apart from the Aegean Islands)","","","24%","24.0","1","percent","sale","l10n_gr_tax_group_24","","base","invoice","","+303","","","ΦΠΑ πωλήσεων 24% για την Ελλάδα (εκτός των νησιών του Αιγαίου)"
"","","","","","","","","","","","","tax","invoice","","+333","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-303","","",""
"","","","","","","","","","","","","tax","refund","","-333","l10n_gr_54_02_01","",""
"l10n_gr_tax_s13_S","13% S","Sales VAT 13% services for Greece (apart from the Aegean Islands)","","","13%","13.0","1","percent","sale","l10n_gr_tax_group_13","False","base","invoice","","+301","","","ΦΠΑ πωλήσεων 13% για την Ελλάδα (εκτός από τα νησιά του Αιγαίου)"
"","","","","","","","","","","","","tax","invoice","","+331","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-301","","",""
"","","","","","","","","","","","","tax","refund","","-331","l10n_gr_54_02_01","",""
"l10n_gr_tax_s6_S","6% S","Sales VAT 6% services for Greece (apart from the Aegean Islands)","","","6%","6.0","1","percent","sale","l10n_gr_tax_group_6","False","base","invoice","","+302","","","ΦΠΑ πωλήσεων 6% για την Ελλάδα (εκτός των νησιών του Αιγαίου)"
"","","","","","","","","","","","","tax","invoice","","+332","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-302","","",""
"","","","","","","","","","","","","tax","refund","","-332","l10n_gr_54_02_01","",""
"l10n_gr_tax_s9_S","9% S","Sales VAT 9% services for the Aegean Islands","","","9%","9.0","1","percent","sale","l10n_gr_tax_group_9","False","base","invoice","","+304","","","ΦΠΑ πωλήσεων 9% για τα νησιά του Αιγαίου"
"","","","","","","","","","","","","tax","invoice","","+334","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-304","","",""
"","","","","","","","","","","","","tax","refund","","-334","l10n_gr_54_02_01","",""
"l10n_gr_tax_s4_S","4% S","Sales VAT 4% services for the Aegean Islands","","","4%","4.0","1","percent","sale","l10n_gr_tax_group_4","False","base","invoice","","+305","","","ΦΠΑ πωλήσεων 4% για τα νησιά του Αιγαίου"
"","","","","","","","","","","","","tax","invoice","","+335","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-305","","",""
"","","","","","","","","","","","","tax","refund","","-335","l10n_gr_54_02_01","",""
"l10n_gr_tax_s17_S","17% S","Sales VAT 17% services for the Aegean Islands","","","17%","17.0","1","percent","sale","l10n_gr_tax_group_17","False","base","invoice","","+306","","","ΦΠΑ πωλήσεων 17% για τα νησιά του Αιγαίου"
"","","","","","","","","","","","","tax","invoice","","+336","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-306","","",""
"","","","","","","","","","","","","tax","refund","","-336","l10n_gr_54_02_01","",""
"l10n_gr_tax_s0_G_eu","0% EU G","Sales VAT 0% for the EU intra-community supply of goods","consu","","0%","0.0","1","percent","sale","l10n_gr_tax_group_0","","base","invoice","","+342","","","ΦΠΑ πωλήσεων 0% για την ενδοκοινοτική παράδοση αγαθών στην ΕΕ"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-342","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_s0_S_eu","0% EU S","Sales VAT 0% EU for the EU intra-community supply of services","service","","0%","0.0","1","percent","sale","l10n_gr_tax_group_0","","base","invoice","","+345","","","ΦΠΑ πωλήσεων 0% ΕΕ για την ενδοκοινοτική παροχή υπηρεσιών στην ΕΕ"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-345","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_s0_export","0% Export","Sales VAT 0% for the Export & exemption of ships and aircrafts","","","0%","0.0","1","percent","sale","l10n_gr_tax_group_0","","base","invoice","","+348","","","ΦΠΑ πωλήσεων 0% για τις εξαγωγές"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-348","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_s0_deduct","0% Deduct","Sales VAT 0% Other output without TVA with right to deduct","","","0%","0.0","1","percent","sale","l10n_gr_tax_group_0","False","base","invoice","","+349","","","ΦΠΑ πωλήσεων 0% Άλλες εκροές χωρίς TVA με δικαίωμα έκπτωσης"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-349","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_s0_exempt","0% Exempt","Sales VAT 0% Output exempted or excepted, without right to deduct","","","0%","0.0","1","percent","sale","l10n_gr_tax_group_0","False","base","invoice","","+310","","","Φ.Π.Α. πωλήσεων 0% Παραγωγή που απαλλάσσεται ή εξαιρείται, χωρίς δικαίωμα έκπτωσης"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-310","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_p24_G","24% G","Purchases and Expenditures of goods within the Country (VAT 24%)","","","24%","24.0","1","percent","purchase","l10n_gr_tax_group_24","","base","invoice","","+361","","24% Εγχώρια αγορά","Αγορές και δαπάνες στο εσωτερικό της χώρας (ΦΠΑ 24%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p13_G","13% G","Purchases and Expenditures of goods within the Country (VAT 13%)","","","13%","13.0","1","percent","purchase","l10n_gr_tax_group_13","False","base","invoice","","+361","","13% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 13%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p6_G","6% G","Purchases and Expenditures of goods within the Country (VAT 6%)","","","6%","6.0","1","percent","purchase","l10n_gr_tax_group_6","False","base","invoice","","+361","","6% Εγχώρια αγορά","Αγορές και Δαπάνες στο εσωτερικό της χώρας (ΦΠΑ 6%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p17_G","17% G","Purchases and Expenditures of goods within the Country (VAT 17%)","","","17%","17.0","1","percent","purchase","l10n_gr_tax_group_17","False","base","invoice","","+361","","17% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 17%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p9_G","9% G","Purchases and Expenditures of goods within the Country (VAT 9%)","","","9%","9.0","1","percent","purchase","l10n_gr_tax_group_9","False","base","invoice","","+361","","19% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 9%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p4_G","4% G","Purchases and Expenditures of goods within the Country (VAT 4%)","","","4%","4.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+361","","4% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 4%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p0_G","0% G","Purchases and Expenditures of goods within the Country (VAT 0%)","","","0%","0.0","1","percent","purchase","l10n_gr_tax_group_0","False","base","invoice","","+361","","0% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 0%)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_p24_S","24% S","Purchases and Expenditures of services within the Country (VAT 24%)","","","24%","24.0","1","percent","purchase","l10n_gr_tax_group_24","","base","invoice","","+361","","24% Εγχώρια αγορά","Αγορές και δαπάνες στο εσωτερικό της χώρας (ΦΠΑ 24%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p13_S","13% S","Purchases and Expenditures of services within the Country (VAT 13%)","","","13%","13.0","1","percent","purchase","l10n_gr_tax_group_13","False","base","invoice","","+361","","13% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 13%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p6_S","6% S","Purchases and Expenditures of services within the Country (VAT 6%)","","","6%","6.0","1","percent","purchase","l10n_gr_tax_group_6","False","base","invoice","","+361","","6% Εγχώρια αγορά","Αγορές και Δαπάνες στο εσωτερικό της χώρας (ΦΠΑ 6%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p17_S","17% S","Purchases and Expenditures of services within the Country (VAT 17%)","","","17%","17.0","1","percent","purchase","l10n_gr_tax_group_17","False","base","invoice","","+361","","17% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 17%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p9_S","9% S","Purchases and Expenditures of services within the Country (VAT 9%)","","","9%","9.0","1","percent","purchase","l10n_gr_tax_group_9","False","base","invoice","","+361","","19% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 9%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p4_S","4% S","Purchases and Expenditures of services within the Country (VAT 4%)","","","4%","4.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+361","","4% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 4%)"
"","","","","","","","","","","","","tax","invoice","","+381","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","-381","l10n_gr_54_02_02","",""
"l10n_gr_tax_p0_S","0% S","Purchases and Expenditures of services within the Country (VAT 0%)","","","0%","0.0","1","percent","purchase","l10n_gr_tax_group_0","False","base","invoice","","+361","","0% Εγχώρια αγορά","Αγορές και δαπάνες εντός της χώρας (ΦΠΑ 0%)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-361","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_p24_IG","24% IG","Purchases & imports of investment goods (capital goods) (VAT 24%)","","","24%","24.0","1","percent","purchase","l10n_gr_tax_group_24","","base","invoice","","+362","","","Αγορές & εισαγωγές επενδυτικών αγαθών (κεφαλαιουχικών αγαθών) (ΦΠΑ 24%)"
"","","","","","","","","","","","","tax","invoice","","+382","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-362","","",""
"","","","","","","","","","","","","tax","refund","","-382","l10n_gr_54_02_02","",""
"l10n_gr_tax_p13_IG","13% IG","Purchases & imports of investment goods (capital goods) (VAT 13%)","","","13%","13.0","1","percent","purchase","l10n_gr_tax_group_13","False","base","invoice","","+362","","","Αγορές & εισαγωγές επενδυτικών αγαθών (κεφαλαιουχικών αγαθών) (ΦΠΑ 13%)"
"","","","","","","","","","","","","tax","invoice","","+382","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-362","","",""
"","","","","","","","","","","","","tax","refund","","-382","l10n_gr_54_02_02","",""
"l10n_gr_tax_p6_IG","6% IG","Purchases & imports of investment goods (capital goods) (VAT 6%)","","","6%","6.0","1","percent","purchase","l10n_gr_tax_group_6","False","base","invoice","","+362","","","Αγορές & εισαγωγές επενδυτικών αγαθών (κεφαλαιουχικών αγαθών) (ΦΠΑ 6%)"
"","","","","","","","","","","","","tax","invoice","","+382","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-362","","",""
"","","","","","","","","","","","","tax","refund","","-382","l10n_gr_54_02_02","",""
"l10n_gr_tax_p17_IG","17% IG","Purchases & imports of investment goods (capital goods) (VAT 17%)","","","17%","17.0","1","percent","purchase","l10n_gr_tax_group_17","False","base","invoice","","+362","","","Αγορές & εισαγωγές επενδυτικών αγαθών (κεφαλαιουχικά αγαθά) (ΦΠΑ 17%)"
"","","","","","","","","","","","","tax","invoice","","+382","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-362","","",""
"","","","","","","","","","","","","tax","refund","","-382","l10n_gr_54_02_02","",""
"l10n_gr_tax_p9_IG","9% IG","Purchases & imports of investment goods (capital goods) (VAT 9%)","","","9%","9.0","1","percent","purchase","l10n_gr_tax_group_9","False","base","invoice","","+362","","","Αγορές & εισαγωγές επενδυτικών αγαθών (κεφαλαιουχικά αγαθά) (ΦΠΑ 9%)"
"","","","","","","","","","","","","tax","invoice","","+382","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-362","","",""
"","","","","","","","","","","","","tax","refund","","-382","l10n_gr_54_02_02","",""
"l10n_gr_tax_p4_IG","4% IG","Purchases & imports of investment goods (capital goods) (VAT 4%)","","","4%","4.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+362","","","Αγορές & εισαγωγές επενδυτικών αγαθών (κεφαλαιουχικά αγαθά) (ΦΠΑ 4%)"
"","","","","","","","","","","","","tax","invoice","","+382","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-362","","",""
"","","","","","","","","","","","","tax","refund","","-382","l10n_gr_54_02_02","",""
"l10n_gr_tax_p0_IG","0% IG","Purchases & imports of investment goods (capital goods) (VAT 0%)","","","0%","0.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+362","","","Αγορές & εισαγωγές επενδυτικών αγαθών (κεφαλαιουχικά αγαθά) (ΦΠΑ 0%)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-362","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_p24_other_imports","24% Import","Other imports apart from investment goods (capital goods) (VAT 24%)","","","24%","24.0","1","percent","purchase","l10n_gr_tax_group_24","","base","invoice","","+363","","24% Εισαγωγή","Άλλες εισαγωγές εκτός από επενδυτικά αγαθά (κεφαλαιουχικά αγαθά) (ΦΠΑ 24%)"
"","","","","","","","","","","","","tax","invoice","","+383","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-363","","",""
"","","","","","","","","","","","","tax","refund","","-383","l10n_gr_54_02_02","",""
"l10n_gr_tax_p13_other_imports","13% Import","Other imports apart from investment goods (capital goods) (VAT 13%)","","","13%","13.0","1","percent","purchase","l10n_gr_tax_group_13","False","base","invoice","","+363","","13% Εισαγωγή","Άλλες εισαγωγές εκτός από επενδυτικά αγαθά (κεφαλαιουχικά αγαθά) (ΦΠΑ 13%)"
"","","","","","","","","","","","","tax","invoice","","+383","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-363","","",""
"","","","","","","","","","","","","tax","refund","","-383","l10n_gr_54_02_02","",""
"l10n_gr_tax_p6_other_imports","6% Import","Other imports apart from investment goods (capital goods) (VAT 6%)","","","6%","6.0","1","percent","purchase","l10n_gr_tax_group_6","False","base","invoice","","+363","","6% Εισαγωγή","Άλλες εισαγωγές εκτός από επενδυτικά αγαθά (κεφαλαιουχικά αγαθά) (ΦΠΑ 6%)"
"","","","","","","","","","","","","tax","invoice","","+383","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-363","","",""
"","","","","","","","","","","","","tax","refund","","-383","l10n_gr_54_02_02","",""
"l10n_gr_tax_p17_other_imports","17% Import","Other imports apart from investment goods (capital goods) (VAT 17%)","","","17%","17.0","1","percent","purchase","l10n_gr_tax_group_17","False","base","invoice","","+363","","17% Εισαγωγή","Άλλες εισαγωγές εκτός από επενδυτικά αγαθά (κεφαλαιουχικά αγαθά) (ΦΠΑ 17%)"
"","","","","","","","","","","","","tax","invoice","","+383","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-363","","",""
"","","","","","","","","","","","","tax","refund","","-383","l10n_gr_54_02_02","",""
"l10n_gr_tax_p9_other_imports","9% Import","Other imports apart from investment goods (capital goods) (VAT 9%)","","","9%","9.0","1","percent","purchase","l10n_gr_tax_group_9","False","base","invoice","","+363","","9% Εισαγωγή","Άλλες εισαγωγές εκτός από επενδυτικά αγαθά (κεφαλαιουχικά αγαθά) (ΦΠΑ 9%)"
"","","","","","","","","","","","","tax","invoice","","+383","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-363","","",""
"","","","","","","","","","","","","tax","refund","","-383","l10n_gr_54_02_02","",""
"l10n_gr_tax_p4_other_imports","4% Import","Other imports apart from investment goods (capital goods) (VAT 4%)","","","4%","4.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+363","","4% Εισαγωγή","Άλλες εισαγωγές εκτός από επενδυτικά αγαθά (κεφαλαιουχικά αγαθά) (ΦΠΑ 4%)"
"","","","","","","","","","","","","tax","invoice","","+383","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","base","refund","","-363","","",""
"","","","","","","","","","","","","tax","refund","","-383","l10n_gr_54_02_02","",""
"l10n_gr_tax_p0_other_imports","0% Import","Other imports apart from investment goods (capital goods) (VAT 0%)","","","0%","0.0","1","percent","purchase","l10n_gr_tax_group_0","False","base","invoice","","+363","","0% Εισαγωγή","Άλλες εισαγωγές εκτός από επενδυτικά αγαθά (κεφαλαιουχικά αγαθά) (ΦΠΑ 0%)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-363","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_p24_G_eu","24% EU G","Intra-community acquisitions of goods (VAT 24%)","consu","","24%","24.0","1","percent","purchase","l10n_gr_tax_group_24","","base","invoice","","+364||+303","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 24%)"
"","","","","","","","","","","","","tax","invoice","","+384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-333","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-364||-303","","",""
"","","","","","","","","","","","","tax","refund","","-384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+333","l10n_gr_54_02_01","",""
"l10n_gr_tax_p13_G_eu","13% EU G","Intra-community acquisitions of goods (VAT 13%)","consu","","13%","13.0","1","percent","purchase","l10n_gr_tax_group_13","False","base","invoice","","+364||+301","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 13%)"
"","","","","","","","","","","","","tax","invoice","","+384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-331","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-364||-301","","",""
"","","","","","","","","","","","","tax","refund","","-384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+331","l10n_gr_54_02_01","",""
"l10n_gr_tax_p6_G_eu","6% EU G","Intra-community acquisitions of goods (VAT 6%)","consu","","6%","6.0","1","percent","purchase","l10n_gr_tax_group_6","False","base","invoice","","+364||+302","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 6%)"
"","","","","","","","","","","","","tax","invoice","","+384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-332","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-364||-302","","",""
"","","","","","","","","","","","","tax","refund","","-384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+332","l10n_gr_54_02_01","",""
"l10n_gr_tax_p17_G_eu","17% EU G","Intra-community acquisitions of goods (VAT 17%)","consu","","17%","17.0","1","percent","purchase","l10n_gr_tax_group_17","False","base","invoice","","+364||+306","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 17%)"
"","","","","","","","","","","","","tax","invoice","","+384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-336","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-364||-306","","",""
"","","","","","","","","","","","","tax","refund","","-384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+336","l10n_gr_54_02_01","",""
"l10n_gr_tax_p9_G_eu","9% EU G","Intra-community acquisitions of goods (VAT 9%)","consu","","9%","9.0","1","percent","purchase","l10n_gr_tax_group_9","False","base","invoice","","+364||+304","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 9%)"
"","","","","","","","","","","","","tax","invoice","","+384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-334","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-364||-304","","",""
"","","","","","","","","","","","","tax","refund","","-384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+334","l10n_gr_54_02_01","",""
"l10n_gr_tax_p4_G_eu","4% EU G","Intra-community acquisitions of goods (VAT 4%)","consu","","4%","4.0","1","percent","purchase","l10n_gr_tax_group_4","False","base","invoice","","+364||+305","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 4%)"
"","","","","","","","","","","","","tax","invoice","","+384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-335","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-364||-305","","",""
"","","","","","","","","","","","","tax","refund","","-384","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+335","l10n_gr_54_02_01","",""
"l10n_gr_tax_p0_G_eu","0% EU G","Intra-community acquisitions of goods (VAT 0%)","consu","","0%","0.0","1","percent","purchase","l10n_gr_tax_group_0","False","base","invoice","","+364","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 0%)"
"","","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","","base","refund","","-364","","",""
"","","","","","","","","","","","","tax","refund","","","","",""
"l10n_gr_tax_p24_S_eu","24% EU S","Intra-community acquisitions of services (VAT 24%)","service","","24%","24.0","1","percent","purchase","l10n_gr_tax_group_24","","base","invoice","","+365||+303","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 24%)"
"","","","","","","","","","","","","tax","invoice","","+385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-333","l10n_gr_54_02_01","",""
"","","","","","","","","","","","","base","refund","","-365||-303","","",""
"","","","","","","","","","","","","tax","refund","","-385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","refund","-100","+333","l10n_gr_54_02_01","",""
"l10n_gr_tax_p13_S_eu","13% EU S","Intra-community acquisitions of services (VAT 13%)","service","","13%","13.0","1","percent","purchase","l10n_gr_tax_group_13","False","base","invoice","","+365||+301","","","Ενδοκοινοτικές αποκτήσεις αγαθών (ΦΠΑ 13%)"
"","","","","","","","","","","","","tax","invoice","","+385","l10n_gr_54_02_02","",""
"","","","","","","","","","","","","tax","invoice","-100","-331","l10n_gr_54_02_01","",""
