"id","code_prefix_start","name","name@el"
"l10n_gr_30_02_04","30.02.04","Impairment of receivables from related entities","Απομείωση συνδεδεμένων πελατών"
"l10n_gr_31_01_01","31.01.01","Notes receivables from non-related entities – nominal amount","Αξιόγραφα εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων - ονομαστικό ποσό"
"l10n_gr_31_01_02","31.01.02","Interest not-accrued on receivables from non-related entities","Μη δουλευμένοι τόκοι αξιογράφων εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων"
"l10n_gr_31_01_03","31.01.03","Impairment of receivables from non-related entities","Απομείωση αξιογράφων εμπορικών απαιτήσεων μη συνδεδεμένων οντοτήτων"
"l10n_gr_30_02","30.02","Accounts receivables from related entities","Πελάτες - συνδεδεμένες οντότητες"
"l10n_gr_31_02_01","31.02.01","Notes receivables from related entities – nominal amount","Αξιόγραφα εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων - ονομαστικό ποσό"
"l10n_gr_31_02_02","31.02.02","Interest not-accrued on receivables from related entities","Μη δουλευμένοι τόκοι αξιογράφων εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων"
"l10n_gr_31_02_03","31.02.03","Impairment of receivables from related entities","Απομείωση αξιογράφων εμπορικών απαιτήσεων συνδεδεμένων οντοτήτων"
"l10n_gr_32_01","32.01","Loans given to related parties","Δάνεια χορηγηθέντα σε συνδεδεμένες οντότητες"
"l10n_gr_32_02","32.02","Loans given to personnel and management","Δάνεια χορηγηθέντα στο προσωπικό και στη διοίκηση"
"l10n_gr_32_03","32.03","Other loans given","Λοιπά χορηγηθέντα δάνεια"
"l10n_gr_32_04","32.04","Impairment of loans given","Απομείωση χορηγηθέντων δανείων"
"l10n_gr_33_01_01","33.01.01","Revenue from equity investments receivable – nominal amount","Έσοδα από πάσης φύσεως συμμετοχές εισπρακτέα - ονομαστικό ποσό"
"l10n_gr_33_01_02","33.01.02","Impairment of revenue from equity investments receivable","Απομείωση - έσοδα από πάσης φύσεως συμμετοχές εισπρακτέα"
"l10n_gr_33_02_01","33.02.01","Other receivables from related entities– nominal amount","Άλλες απαιτήσεις από συνδεδεμένες οντότητες - ονομαστικό ποσό"
"l10n_gr_33_02_02","33.02.02","Impairment of other receivables from related entities","Απομείωση - άλλες απαιτήσεις από συνδεδεμένες οντότητες"
"l10n_gr_33_03_01","33.03.01","Other receivables from non-related entities, nominal amount","Άλλες απαιτήσεις από μη συνδεδεμένες οντότητες - ονομαστικό ποσό"
"l10n_gr_33_03_02","33.03.02","Impairment of other receivables from non-related entities","Απομείωση - άλλες απαιτήσεις από μη συνδεδεμένες οντότητες"
"l10n_gr_33_04","33.04.01","Guarantees","Εγγυήσεις"
"l10n_gr_31","31","Notes receivables","Αξιόγραφα εμπορικών απαιτήσεων"
"l10n_gr_31_01","31.01","Notes receivables from non-related entities","Αξιόγραφα εμπορικών απαιτήσεων - μη συνδεδεμένες οντότητες"
"l10n_gr_31_02","31.02","Notes receivables from related entities","Αξιόγραφα εμπορικών απαιτήσεων - συνδεδεμένες οντότητες"
"l10n_gr_32","32","Loans given","Χορηγηθέντα δάνεια"
"l10n_gr_33","33","Other  receivables","Λοιπές απαιτήσεις"
"l10n_gr_33_01","33.01","Revenue from equity investments receivable","Έσοδα από πάσης φύσεως συμμετοχές εισπρακτέα"
"l10n_gr_33_02","33.02","Other receivables from related entities","Άλλες απαιτήσεις από συνδεδεμένες οντότητες"
"l10n_gr_33_03","33.03","Other receivables from non-related entities","Άλλες απαιτήσεις από μη συνδεδεμένες οντότητες"
"l10n_gr_34","34","Financial instruments","Χρηματοοικονομικά περιουσιακά στοιχεία"
"l10n_gr_34_03","34.03","Other financial assets","Λοιπά χρηματοοικονομικά στοιχεία"
"l10n_gr_35","35","Financial instruments held for hedging","Χρηματοοικονομικά στοιχεία για αντιστάθμιση"
"l10n_gr_36","36","Investments (equity)","Συμμετοχές"
"l10n_gr_36_01","36.01","Investment in subsidiaries","Συμμετοχές σε θυγατρικές"
"l10n_gr_36_02","36.02","Investment in associates","Συμμετοχές σε συγγενείς"
"l10n_gr_36_03","36.03","Investment in joint ventures","Συμμετοχές σε κοινοπραξίες"
"l10n_gr_37","37","Prepaid expenses and accrued revenue","Προπληρωμένα έξοδα και δουλευμένα έσοδα περιόδου"
"l10n_gr_37_01","37.01","Prepaid expenses","Προπληρωμένα έξοδα"
"l10n_gr_37_02","37.02","Accrued revenue","Δουλευμένα έσοδα περιόδου"
"l10n_gr_38","38","Cash and cash equivalents","Ταμειακά διαθέσιμα και ισοδύναμα"
"l10n_gr_4","4","EQUITY","ΚΑΘΑΡΗ ΘΕΣΗ"
"l10n_gr_43","43","Treasury titles","Ίδιοι τίτλοι"
"l10n_gr_44","44","Fair value reserves","Διαφορές εύλογης αξίας"
"l10n_gr_48","48","Articles of association and other reserves","Αποθεματικά καταστατικού και λοιπά αποθεματικά"
"l10n_gr_5","5","LIABILITIES","ΥΠΟΧΡΕΩΣΕΙΣ"
"l10n_gr_50","50","Accounts payable","Προμηθευτές"
"l10n_gr_50_01","50.01","Accounts payable – non-related entities","Προμηθευτές - μη συνδεδεμένες οντότητες"
"l10n_gr_50_02","50.02","Accounts payable – related entities","Προμηθευτές — συνδεδεμένες οντότητες"
"l10n_gr_50_03","50.03","Advances to suppliers – non-related entities","Προκαταβολές σε προμηθευτές - μη συνδεδεμένες οντότητες"
"l10n_gr_50_04","50.04","Advances to suppliers – related entities","Προκαταβολές σε προμηθευτές - συνδεδεμένες οντότητες"
"l10n_gr_51","51","Notes payable","Αξιόγραφα εμπορικών υποχρεώσεων"
"l10n_gr_51_01","51.01","Notes payable to non-related entities","Αξιόγραφα εμπορικών υποχρεώσεων — μη συνδεδεμένες οντότητες"
"l10n_gr_51_02","51.02","Notes payable to related entities","Αξιόγραφα εμπορικών υποχρεώσεων - συνδεδεμένες οντότητες"
"l10n_gr_52","52","Bank loans","Τραπεζικά δάνεια"
"l10n_gr_52_01","52.01","Bank loans from non-related entities","Τραπεζικά δάνεια - μη συνδεδεμένες οντότητες"
"l10n_gr_52_02","52.02","Bank loans from related entities","Τραπεζικά δάνεια - συνδεδεμένες οντότητες"
"l10n_gr_53","53","Other liabilities","Λοιπές υποχρεώσεις"
"l10n_gr_53_01","53.01","Loans received from non-related parties","Δάνεια από μη συνδεδεμένες οντότητες"
"l10n_gr_53_02","53.02","Loans received from related parties","Δάνεια από συνδεδεμένες οντότητες"
"l10n_gr_53_03","53.03","Employee compensation payable","Αποδοχές προσωπικού πληρωτέες"
"l10n_gr_53_04","53.04","Liabilities to owners and management","Υποχρεώσεις προς ιδιοκτήτες και διευθυντικό προσωπικό"
"l10n_gr_53_05","53.05","Dividends and amounts of a similar nature payable","Μερίσματα, προμερίσματα και άλλα ποσά συναφούς φύσης πληρωτέα"
"l10n_gr_53_06","53.06","Other liabilities to non-related entities","Άλλες υποχρεώσεις προς μη συνδεδεμένες οντότητες"
"l10n_gr_53_07","53.07","Other liabilities to related entities","Άλλες υποχρεώσεις προς συνδεδεμένες οντότητες"
"l10n_gr_54","54","Taxes and levies payable","Υποχρεώσεις από φόρους και τέλη"
"l10n_gr_54_01","54.01","Income tax payable","Φόρος εισοδήματος πληρωτέος"
"l10n_gr_54_02","54.02","Value Added Tax","Φόρος προστιθέμενης αξίας (ΦΠΑ)"
"l10n_gr_54_03","54.03","Income tax of third parties withheld","Παρακρατούμενοι φόροι εισοδήματος τρίτων"
"l10n_gr_55","55","Social security contributions","Υποχρεώσεις σε ασφαλιστικούς οργανισμούς"
"l10n_gr_56","56","Accruals and advances received","Δουλευμένα έξοδα και έσοδα επομένων χρήσεων"
"l10n_gr_56_01","56.01","Accrued expenses","Έξοδα χρήσεως δουλευμένα"
"l10n_gr_56_02","56.02","Unearned revenue","Έσοδα επόμενων χρήσεων"
"l10n_gr_57","57","Provisions","Προβλέψεις"
"l10n_gr_57_02","57.02","Other provisions","Λοιπές προβλέψεις"
"l10n_gr_57_03","57.03","Provisions for related entities","Προβλέψεις για συνδεδεμένες οντότητες"
"l10n_gr_6","6","EXPENSES AND LOSSES","ΕΞΟΔΑ ΚΑΙ ΖΗΜΙΕΣ"
"l10n_gr_60","60","Employee compensation","Παροχές σε εργαζόμενους"
"l10n_gr_60_01","60.01","Gross employee remuneration","Μικτές αποδοχές"
"l10n_gr_60_02","60.02","Employer's social security contributions","Εργοδοτικές εισφορές"
"l10n_gr_60_03","60.03","Other compensation","Λοιπές παροχές"
"l10n_gr_60_04","60.04","Provision for post-employment benefits","Προβλέψεις για παροχές μετά την έξοδο από την υπηρεσία (καθαρό ποσό)"
"l10n_gr_60_05","60.05","Employee compensation – related entities","Παροχές σε εργαζόμενους σε συνδεδεμένες οντότητες"
"l10n_gr_61","61","Losses from measurement of assets","Ζημιές επιμέτρησης περιουσιακών στοιχείων"
"l10n_gr_61_05","61.05","Impairment – financial assets","Απομείωση χρηματοοικονομικών στοιχείων"
"l10n_gr_61_07","61.07","Losses from fair value measurement","Ζημίες από επιμέτρηση στην εύλογη αξία"
"l10n_gr_62","62","Foreign exchange differences – expense","Χρεωστικές συναλλαγματικές διαφορές"
"l10n_gr_62_01","62.01","Foreign exchange differences on settlement of accounts","Χρεωστικές συναλλαγματικές διαφορές από διακανονισμό"
"l10n_gr_62_02","62.02","Foreign exchange differences from measurement","Χρεωστικές συναλλαγματικές διαφορές επιμέτρησης"
"l10n_gr_63","63","Losses on disposal or retirement of non-current assets","Ζημιές από διάθεση-απόσυρση μη κυκλοφορούντων περιουσιακών στοιχείων"
"l10n_gr_64","64","Other operating expenses","Διάφορα λειτουργικά έξοδα"
"l10n_gr_64_01","64.01","Fees for services","Αμοιβές για υπηρεσίες"
"l10n_gr_64_01_01","64.01.01","Fees for services to non-related entities","Αμοιβές για υπηρεσίες - μη συνδεδεμένες οντότητες"
"l10n_gr_64_01_02","64.01.02","Fees for services to related entities","Αμοιβές για υπηρεσίες - συνδεδεμένες οντότητες"
"l10n_gr_64_02","64.02","Energy","Ενέργεια"
"l10n_gr_64_03","64.03.00","Water","Ύδρευση"
"l10n_gr_64_04","64.04.00","Telecommunications","Τηλεπικοινωνίες"
"l10n_gr_64_05","64.05","Rents","Ενοίκια"
"l10n_gr_64_05_01","64.05.01","Rents to non-related entities","Ενοίκια - μη συνδεδεμένες οντότητες"
"l10n_gr_64_05_02","64.05.02","Rents to related entities","Ενοίκια - συνδεδεμένες οντότητες"
"l10n_gr_64_06","64.06.00","Insurance","Ασφάλιστρα"
"l10n_gr_64_07","64.07.00","Transportation","Μεταφορικά"
"l10n_gr_64_08","64.08.00","Consumables","Αναλώσιμα"
"l10n_gr_64_09","64.09.00","Repairs and maintenance","Επισκευές και συντηρήσεις"
"l10n_gr_64_10","64.10.00","Advertising","Διαφήμιση και προβολή"
"l10n_gr_64_11","64.11.00","Taxes and levies (other than income tax)","Φόροι και τέλη (πλην φόρου εισοδήματος)"
"l10n_gr_64_12","64.12.00","Other expenses","Λοιπά έξοδα"
"l10n_gr_64_13","64.13.00","Various expenses – related entities","Διάφορα λειτουργικά έξοδα από συνδεδεμένες οντότητες"
"l10n_gr_65","65","Financial expenses","Χρεωστικοί τόκοι και συναφή έξοδα"
"l10n_gr_66","66","Depreciation","Αποσβέσεις"
"l10n_gr_66_01","66.01.00","Depreciation of depreciable land improvements","Αποσβέσεις διαμορφώσεων γης"
"l10n_gr_66_02","66.02.00","Depreciation of buildings and physical infrastructure","Αποσβέσεις κτηρίων - τεχνικών έργων"
"l10n_gr_66_03","66.03.00","Depreciation of machinery","Αποσβέσεις μηχανολογικού εξοπλισμού"
"l10n_gr_66_04","66.04.00","Depreciation of transportation equipment","Αποσβέσεις μεταφορικών μέσων"
"l10n_gr_66_05","66.05.00","Depreciation of other equipment","Αποσβέσεις λοιπού εξοπλισμού"
"l10n_gr_66_06","66.06.00","Depreciation of investment property","Αποσβέσεις επενδύσεων σε ακίνητα"
"l10n_gr_66_07","66.07.00","Depreciation of biological fixed assets","Αποσβέσεις πάγιων βιολογικών περιουσιακών στοιχείων"
"l10n_gr_66_08","66.08.00","Amortization","Αποσβέσεις άυλων παγίων"
"l10n_gr_67","67","Extraordinary expenses, losses and fines","Ασυνήθη έξοδα, ζημιές και πρόστιμα"
"l10n_gr_68","68","Provisions","Προβλέψεις (εκτός από προβλέψεις για το προσωπικό)"
"l10n_gr_68_03","68.03","Provision-expense for environmental restoration","Προβλέψεις για αποκατάσταση περιβάλλοντος"
"l10n_gr_68_04","68.04","Provision-expense for tax audit surcharges, other than income tax","Προβλέψεις για διαφορές φορολογικού ελέγχου πλην φόρου εισοδήματος"
"l10n_gr_68_05","68.05","Other provisions","Άλλες προβλέψεις"
"l10n_gr_68_06","68.06","Provisions for related entities","Προβλέψεις για συνδεδεμένες οντότητες"
"l10n_gr_69","69","Income tax expense","Φόρος εισοδήματος"
"l10n_gr_7","7","REVENUES AND GAINS","ΕΣΟΔΑ ΚΑΙ ΚΕΡΔΗ"
"l10n_gr_70","70","Sale of goods and services","Πωλήσεις αγαθών και υπηρεσιών"
"l10n_gr_70_01","70.01","Sales of merchandise (net) – non-related entities","Πωλήσεις εμπορευμάτων (καθαρές) σε μη συνδεδεμένες οντότητες"
"l10n_gr_70_02","70.02","Sales of merchandise (net) – related entities","Πωλήσεις εμπορευμάτων (καθαρές) σε συνδεδεμένες οντότητες"
"l10n_gr_70_03","70.03","Sales of finished goods and work in progress (net) – non-related entities","Πωλήσεις προϊόντων έτοιμων και ημιτελών (καθαρές) σε μη συνδεδεμένες οντότητες"
"l10n_gr_70_04","70.04","Sales of finished goods and work in progress (net) –related entities","Πωλήσεις προϊόντων έτοιμων και ημιτελών (καθαρές) σε συνδεδεμένες οντότητες"
"l10n_gr_70_05","70.05","Sales of other inventory (net) – non-related entities","Πωλήσεις λοιπών αποθεμάτων (καθαρές) σε μη συνδεδεμένες οντότητες"
"l10n_gr_70_06","70.06","Sales of other inventory (net) – related entities","Πωλήσεις λοιπών αποθεμάτων (καθαρές) σε συνδεδεμένες οντότητες"
"l10n_gr_70_07","70.07","Sales of services (net) – non-related entities","Πωλήσεις υπηρεσιών (καθαρές) σε μη συνδεδεμένες οντότητες"
"l10n_gr_70_08","70.08","Sales of services (net) – related entities","Πωλήσεις υπηρεσιών (καθαρές) σε συνδεδεμένες οντότητες"
"l10n_gr_71","71","Other ordinary revenue","Λοιπά συνήθη έσοδα"
"l10n_gr_72","72","Interest revenue","Πιστωτικοί τόκοι και συναφή έσοδα"
"l10n_gr_73","73","Foreign exchange differences – gains","Πιστωτικές συναλλαγματικές διαφορές"
"l10n_gr_73_01","73.01","Foreign exchange differences on settlement of accounts","Πιστωτικές συναλλαγματικές διαφορές από διακανονισμό"
"l10n_gr_73_02","73.02","Foreign exchange differences from measurement","Πιστωτικές συναλλαγματικές διαφορές επιμέτρησης"
"l10n_gr_74","74","Dividends and similar revenue","Έσοδα συμμετοχών"
"l10n_gr_75","75","Gains from the disposal of non-current assets","Κέρδη από διάθεση μη κυκλοφορούντων περιουσιακών στοιχείων"
"l10n_gr_76","76","Gains from reversal of provisions and impairment","Κέρδη από αναστροφή προβλέψεων και απομειώσεων"
"l10n_gr_76_03","76.03","Gains from reversal of provisions for environmental restoration","Κέρδη από αναστροφή προβλέψεων για αποκατάσταση περιβάλλοντος"
"l10n_gr_76_05","76.05","Gains from reversal of provisions for other expenses and risks","Κέρδη από αναστροφή άλλων προβλέψεων"
"l10n_gr_76_10","76.1","Gains from reversal of impairment – financial assets","Κέρδη από αναστροφή απομείωσης χρηματοοικονομικών στοιχείων"
"l10n_gr_77","77","Gains from fair value measurement","Κέρδη από επιμέτρηση στην εύλογη αξία"
"l10n_gr_78","78","Income tax revenue","Φόρος εισοδήματος έσοδο"
"l10n_gr_79","79","Extraordinary revenue and gains","Ασυνήθη έσοδα και κέρδη"
"l10n_gr_8","8","SELF-CONSTRUCTED ASSETS, BRANCHΕS, AND NET INCOME (LOSS)","ΙΔΙΟΠΑΡΑΓΩΓΗ, ΥΠΟΚΑΤΑΣΤΗΜΑΤΑ ΚΑΙ ΑΠΟΤΕΛΕΣΜΑΤΑ ΠΕΡΙΟΔΟΥ"
"l10n_gr_80","80","Expenses charged to self-constructed assets","Έξοδα σε ιδιοπαραγωγή"
"l10n_gr_81","81","Liaison accounts with branches","Δοσοληπτικοί λογαριασμοί υποκαταστημάτων αυτοτελούς παρακολούθησης"
"l10n_gr_82","82","Net income (loss) for the period","Αποτέλεσμα (κέρδη ή ζημίες) περιόδου"
