"id","parent_id","active","name","code","account_type","reconcile","name@ar"
"kw_account_500202","kw_group_21","True","End of Service Indemnity","500202","expense","False","تعويض نهاية الخدمة"
"kw_account_500203","kw_group_21","True","Sponsorship Fees","500203","expense","False","رسوم الكفالة"
"kw_account_500301","kw_group_22","True","Basic Salary","500301","expense","False","الراتب الأساسي"
"kw_account_500302","kw_group_22","True","Housing Allowance","500302","expense","False","بدل السكن"
"kw_account_500303","kw_group_22","True","Transportation Allowance","500303","expense","False","بدل المواصلات"
"kw_account_500304","kw_group_22","True","Leave Ticket","500304","expense","False","تذكرة الطيران"
"kw_account_500305","kw_group_22","True","Leave Salary","500305","expense","False","راتب الإجازة"
"kw_account_500306","kw_group_22","True","Sales Commission","500306","expense","False","عمولة المبيعات"
"kw_account_500307","kw_group_22","True","Visa Expenses","500307","expense","False","نفقات الفيزا"
"kw_account_500308","kw_group_22","True","Staff Other Allowances","500308","expense","False","نفقات الموظفين الأخرى"
"kw_account_500309","kw_group_22","True","Air tickets","500309","expense","False","تذاكر الطيران"
"kw_account_500401","kw_group_23","True","Office Rent","500401","expense","False","إيجار المكتب"
"kw_account_500402","kw_group_23","True","Warehouse Rent","500402","expense","False","إيجار المستودع"
"kw_account_500403","kw_group_23","True","Water & Electricity","500403","expense","False","الماء والكهرباء"
"kw_account_500404","kw_group_23","True","Other Utility Charges","500404","expense","False",""
"kw_account_500501","kw_group_24","True","Audit Fees","500501","expense","False","رسوم التدقيق"
"kw_account_500502","kw_group_24","True","Legal fees","500502","expense","False","الرسوم القانونية"
"kw_account_500503","kw_group_24","True","Trade License Fees","500503","expense","False","رسوم الرخصة التجارية"
"kw_account_500504","kw_group_24","True","Others - Professional Fees","500504","expense","False","غير ذلك - الرسوم المهنية"
"kw_account_500505","kw_group_24","True","Insurance","500505","expense","False","التأمين"
"kw_account_500506","kw_group_24","True","Previous Year Adjustments Account","500506","expense","False","حساب تعديلات العام الماضي"
"kw_account_500601","kw_group_25","True","Credit Card Charges","500601","expense","False","رسوم البطاقة الائتمانية"
"kw_account_500602","kw_group_25","True","Other Bank Charges","500602","expense","False","الرسوم البنكية الأخرى"
"kw_account_500603","kw_group_25","True","Bank Finance & Loan Charges","500603","expense","False","رسوم القروض والتمويل البنكي"
"kw_account_500651","kw_group_26","True","Income Tax Expense","500651","expense","False","نفقات ضريبة الدخل"
"kw_account_500701","kw_group_27","True","Other - Advertising Expenses","500701","expense","False","غير ذلك - نفقات الإعلان"
"kw_account_500702","kw_group_27","True","Training","500702","expense","False","التدريب"
"kw_account_500703","kw_group_27","True","Consultancy Fees","500703","expense","False","الرسوم الاستشارية"
"kw_account_500801","kw_group_28","True","Amortisation on Leasehold Improvement","500801","expense_depreciation","False","الاستهلاك عند تحسين العقارات المستأجرة"
"kw_account_500802","kw_group_28","True","Vehicle Expenses","500802","expense_depreciation","False","نفقات المركبات"
"kw_account_500803","kw_group_28","True","Depreciation of Motor Vehicles","500803","expense_depreciation","False","إهلاك المركبات"
"kw_account_500804","kw_group_28","True","Depreciation of Furniture & Office Equipment","500804","expense_depreciation","False","إهلاك الأثاث والمعدات المكتبية"
"kw_account_500805","kw_group_28","True","Depreciation of Computer Hard & Soft","500805","expense_depreciation","False","إهلاك أجهزة وبرامج الحاسوب"
"kw_account_500851","kw_group_29","True","Depreciation on Right of use Asset (IFRS 16)","500851","expense_depreciation","False","إهلاك حق استخدام الأصل (IFRS 16)"
"kw_account_500901","kw_group_30","True","Loss on Fixed Assets Disposal","500901","expense","False","خسائر التصرف في الأصول الثابتة"
"kw_account_500902","kw_group_30","True","Cash Shortage","500902","expense","False","القصور النقدي"
"kw_account_500903","kw_group_30","True","Loss on Difference on Exchange","500903","expense","False","حسائر فرق صرف العملة"
"kw_account_500904","kw_group_30","True","Write Off Receivables & Payables","500904","expense","False","شطب الحسابات المدينة والدائنة"
"kw_account_500905","kw_group_30","True","Write Off Inventory","500905","expense","False","شطب المخزون"
"kw_account_500906","kw_group_30","True","Others - Provision & Write Off","500906","expense","False","غير ذلك - المَحافظ والتعديلات"
"kw_account_500907","kw_group_30","True","Others","500907","expense","False","غير ذلك"
"kw_account_500908","kw_group_30","True","Other Non-Operating Expenses","500908","expense","False","النفقات الأخرى غير التشغيلية"
"kw_account_500909","kw_group_30","True","Cash Difference Loss","500909","expense","False","خسائر فريق النقد"
"kw_account_501101","kw_group_31","True","Telephone","501101","expense","False","الهاتف"
"kw_account_501102","kw_group_31","True","Others - Communication","501102","expense","False","غير ذلك - التواصل"
"kw_account_501103","kw_group_31","True","Maintenance","501103","expense","False","الصيانة"
"kw_account_501104","kw_group_31","True","Security & Guard","501104","expense","False","الأمن والحراسة"
"kw_account_501105","kw_group_31","True","Cleaning","501105","expense","False","التنظيف"
"kw_account_501106","kw_group_31","True","Others - Office Various Expenses","501106","expense","False","غير ذلك - نفقات المكتب المختلفة"
"kw_account_501107","kw_group_31","True","Cash Discount Loss","501107","expense","False","خسارة الخصم النقدي"
