"id","code","name","account_type","tag_ids","reconcile","non_trade","name@mn"
"account_template_1204_0901","12040901","Prepaid Excise Duty","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн Онцгой албан татвар"
"account_template_1204_1001","12041001","Prepaid Natural Resource Usage Charges","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн Байгалийн нөөц ашиглалтын төлбөр"
"account_template_1204_9901","12049901","Other taxes paid in advance","asset_prepayments","l10n_mn.account_cashflow_tag_127","0","","Урьдчилж төлсөн Бусад татвар"
"account_template_1204_9902","12049902","Prepaid Taxes - Current Account","asset_receivable","l10n_mn.account_cashflow_tag_127","1","1","Урьдчилж төлсөн татварууд - Харилцах данс"
"account_template_1205_0101","12050101","Prepaid ED, NDSH","asset_prepayments","l10n_mn.account_cashflow_tag_122","0","","Урьдчилж төлсөн ЭМ, НДШ"
"account_template_1205_0201","12050201","Prepaid Voluntary Insurance Premiums","asset_prepayments","l10n_mn.account_cashflow_tag_128","0","","Урьдчилж төлсөн Сайн дурын даатгалын хураамж"
"account_template_1206_0101","12060101","Payday Advances and Short Term Loans","asset_receivable","l10n_mn.account_cashflow_tag_215_225","1","","Цалингийн урьдчилгаа, богино хугацаат зээл"
"account_template_1206_0201","12060201","Payments and shortages","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Төлбөр, дутагдал"
"account_template_1206_0301","12060301","Non-trade receivables Enterprise","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Худалдааны бус авлага ААН"
"account_template_1206_0401","12060401","Non-trade receivables Individuals","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Худалдааны бус авлага Хувь хүн"
"account_template_1206_0501","12060501","Non-trade receivables Related party","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Худалдааны бус авлага Холбоотой тал"
"account_template_1206_0601","12060601","Short-term loan receivables Enterprise","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Богино хугацаат зээлийн авлага ААН"
"account_template_1206_0701","12060701","Short-term loan receivables Individuals","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Богино хугацаат зээлийн авлага Хувь хүн"
"account_template_1206_0801","12060801","Short Term Loans Receivable Related Party","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Богино хугацаат зээлийн авлага Холбоотой тал"
"account_template_1206_0901","12060901","Dividends Receivable","asset_receivable","l10n_mn.account_cashflow_tag_217","1","","Ногдол ашгийн авлага"
"account_template_1206_1001","12061001","Pledged receivables","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Барьцаалсан авлага"
"account_template_1206_1101","12061101","Interest receivable","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Хүүний авлага"
"account_template_1206_1201","12061201","Fixed Assets Trade Receivables","asset_receivable","l10n_mn.account_cashflow_tag_211_221","1","","Үндсэн хөрөнгө худалдааны авлага"
"account_template_1206_1301","12061301","Intangible assets trade receivables","asset_receivable","l10n_mn.account_cashflow_tag_212_222","1","","Биет бус хөрөнгө худалдааны авлага"
"account_template_1206_1401","12061401","Investment trade receivables","asset_receivable","l10n_mn.account_cashflow_tag_213_223","1","","Хөрөнгө оруулалт худалдааны авлага"
"account_template_1206_9901","12069901","Other non-trade receivables","asset_receivable","l10n_mn.account_cashflow_tag_116","1","","Бусад худалдааны бус авлага"
"account_template_1301_0101","13010101","Liquid securities","asset_current","","0","","Түргэн борлогдох үнэт цаас"
"account_template_1301_0201","13010201","Term deposits","asset_current","","0","","Хугацаат хадгаламж"
"account_template_1302_0101","13020101","Financial assets at fair value as other comprehensive income","asset_current","","0","","Бусад дэлгэрэнгүй орлого болох бодит үнэ цэнээр илэрхийлэх санхүүгийн хөрөнгө"
"account_template_1303_0101","13030101","Financial cost expressed as amortized cost","asset_current","","0","","Хорогдуулсан өртөгөөр илэрхийлэгдэх санхүүгийн өртөг"
"account_template_1401_0101","14010101","Inventory in warehouse","asset_current","","0","","Агуулахад байгаа бараа материал"
"account_template_1401_0401","14010401","Difference in download cost","asset_current","","0","","Татан авалтын өртөгийн зөрүү"
"account_template_1401_0701","14010701","Animal","asset_current","","0","","Амьтан"
"account_template_1401_0801","14010801","Livestock","asset_current","","0","","Мал"
"account_template_1401_0901","14010901","Plant","asset_current","","0","","Ургамал"
"account_template_1402_0101","14020101","Raw materials in storage","asset_current","","0","","Агуулахад байгаа түүхий эд материал"
"account_template_1403_0301","14030301","The part of fixed assets in the warehouse","asset_current","","0","","Агуулахад байгаа үндсэн хөрөнгийн хэсэг"
"account_template_1403_0401","14030401","Supplies in stock","asset_current","","0","","Агуулахад байгаа хангамжийн материал"
"account_template_1403_0501","14030501","Supplies in use","asset_current","","0","","Ашиглалтанд байгаа хангамжийн материал"
"account_template_1403_0502","14030502","Depreciation of supplies in use","asset_current","","0","","Ашиглалтанд байгаа хангамжийн материалын элэгдэл"
"account_template_1404_0101","14040101","Work-in-Process - Direct Materials","asset_current","","0","","Дуусаагүй үйлдвэрлэл - Шууд материал"
"account_template_1404_0201","14040201","Work in progress - Direct labor","asset_current","","0","","Дуусаагүй үйлдвэрлэл - Шууд хөдөлмөр"
"account_template_1404_0301","14040301","Work in progress - NZ","asset_current","","0","","Дуусаагүй үйлдвэрлэл - НЗ"
"account_template_1404_0401","14040401","Semi-finished products","asset_current","","0","","Хагас боловсруулсан бүтээгдэхүүн"
"account_template_1405_0101","14050101","Goods available to the agent","asset_current","","0","","Агентад байгаа бараа"
"account_template_1406_0101","14060101","Goods on the way","asset_current","","0","","Замд яваа бараа"
"account_template_1407_0101","14070101","A temporary account for the cost of incoming goods","asset_current","","0","","Ирж буй барааны өртөгийн түр данс"
"account_template_1408_0101","14080101","Provisional account for the cost of goods issued","asset_current","","0","","Гарч буй барааны өртөгийн түр данс"
"account_template_1501_0101","15010101","Prepaid rent","asset_prepayments","l10n_mn.account_cashflow_tag_124","0","","Урьдчилж төлсөн түрээс"
"account_template_1501_0201","15010201","Prepaid fees","asset_prepayments","","0","","Урьдчилж төлсөн хураамж"
"account_template_1501_0301","15010301","Prepaid salary","asset_prepayments","","0","","Урьдчилж төлсөн цалин"
"account_template_1501_0901","15010901","Other prepaid expenses","asset_prepayments","l10n_mn.account_cashflow_tag_129","0","","Урьдчилж төлсөн бусад зардал"
"account_template_1502_0101","15020101","Advances paid to preparation suppliers","asset_prepayments","l10n_mn.account_cashflow_tag_123","0","","Бэлтгэн нийлүүлэгчид төлсөн урьдчилгаа"
"account_template_1502_0201","15020201","Advances and assignments of subsequent reports","asset_prepayments","l10n_mn.account_cashflow_tag_124","0","","Дараа тайлангийн урьдчилгаа, томилолт"
"account_template_1502_0301","15020301","Advance paid for the purchase of fixed assets","asset_prepayments","l10n_mn.account_cashflow_tag_221","0","","Үндсэн хөрөнгө худалдан авахад төлсөн урьдчилгаа"
"account_template_1502_0401","15020401","Advances paid for the purchase of intangible assets","asset_prepayments","l10n_mn.account_cashflow_tag_222","0","","Биет бус хөрөнгө худалдан авахад төлсөн урьдчилгаа"
"account_template_1502_0501","15020501","Advance paid for investment purchase","asset_prepayments","l10n_mn.account_cashflow_tag_223","0","","Хөрөнгө оруулалт худалдан авахад төлсөн урьдчилгаа"
"account_template_1502_0601","15020601","Advances paid for the purchase of supplies","asset_prepayments","l10n_mn.account_cashflow_tag_123","0","","Хангамжийн зүйлс худалдан авахад төлсөн урьдчилгаа"
"account_template_1502_0901","15020901","Other non-trade advances","asset_prepayments","l10n_mn.account_cashflow_tag_129","0","","Бусад худалдааны бус урьдчилгаа"
"account_template_1601_0101","16010101","Other working capital","asset_current","","0","","Бусад эргэлтийн хөрөнгө"
"account_template_1701_0101","17010101","Non-current assets held for sale","asset_current","","0","","Борлуулах зорилгоор эзэмшиж буй эргэлтийн бус хөрөнгө"
"account_template_2001_0101","20010101","Tangible assets - Land ownership","asset_fixed","","0","","Биет хөрөнгө - Газрын сайржуулалт"
"account_template_2001_0201","20010201","Tangible assets - Depreciation of land improvements","asset_fixed","","0","","Биет хөрөнгө - Газрын сайжруулалтын элэгдэл"
"account_template_2002_0101","20020101","Tangible assets - Buildings and facilities","asset_fixed","","0","","Биет хөрөнгө - Барилга, байгууламж"
"account_template_2002_0201","20020201","Tangible assets - Depreciation of buildings and structures","asset_fixed","","0","","Биет хөрөнгө - Барилга, байгууламжын элэгдэл"
"account_template_2003_0101","20030101","Tangible assets - machinery and equipment","asset_fixed","","0","","Биет хөрөнгө - Машин тоног төхөөрөмж"
"account_template_2003_0201","20030201","Tangible assets - Depreciation of machinery and equipment","asset_fixed","","0","","Биет хөрөнгө - Машин тоног төхөөрөмжийн элэгдэл"
"account_template_2004_0101","20040101","Tangible assets - Vehicles","asset_fixed","","0","","Биет хөрөнгө - Тээврийн хэрэгсэл"
"account_template_2004_0201","20040201","Tangible assets - Depreciation of vehicles","asset_fixed","","0","","Биет хөрөнгө - Тээврийн хэрэгслийн элэгдэл"
"account_template_2005_0101","20050101","Tangible assets - Furniture and fixtures","asset_fixed","","0","","Биет хөрөнгө - Тавилга эд хогшил"
"account_template_2005_0201","20050201","Tangible assets - Depreciation of furniture","asset_fixed","","0","","Биет хөрөнгө - Тавилга эд хогшлын элэгдэл"
"account_template_2006_0101","20060101","Tangible assets - Computers and peripherals","asset_fixed","","0","","Биет хөрөнгө - Компьютер, дагалдах хэрэгсэл"
"account_template_2006_0201","20060201","Tangible assets - Depreciation of computers and peripherals","asset_fixed","","0","","Биет хөрөнгө - Компьютер, дагалдах хэрэгслийн элэгдэл"
"account_template_2008_0101","20080101","Tangible assets - Buildings in progress","asset_fixed","","0","","Биет хөрөнгө - Дуусаагүй барилга"
"account_template_2008_0201","20080201","Tangible assets - Depreciation of construction in progress","asset_fixed","","0","","Биет хөрөнгө - Дуусаагүй барилгын элэгдэл"
"account_template_2009_0101","20090101","Tangible assets - Other assets","asset_fixed","","0","","Биет хөрөнгө - Бусад хөрөнгө"
"account_template_2009_0201","20090201","Tangible assets - Depreciation of other assets","asset_fixed","","0","","Биет хөрөнгө - Бусад хөрөнгийн элэгдэл"
"account_template_2101_0101","21010101","Intangible Assets - Copyright","asset_fixed","","0","","Биет бус хөрөнгө - Зохиогчийн эрх"
"account_template_2101_0201","21010201","Intangible Assets - Amortization of Copyright","asset_fixed","","0","","Биет бус хөрөнгө - Зохиогчийн эрхийн хорогдол"
"account_template_2102_0101","21020101","Intangible assets - Software","asset_fixed","","0","","Биет бус хөрөнгө - Програм хангамж"
"account_template_2102_0201","21020201","Intangible assets - Amortization of software","asset_fixed","","0","","Биет бус хөрөнгө - Програм хангамжын хорогдол"
"account_template_2103_0101","21030101","Intangible assets - Patents","asset_fixed","","0","","Биет бус хөрөнгө - Патент"
"account_template_2103_0201","21030201","Intangible Assets - Patent Amortization","asset_fixed","","0","","Биет бус хөрөнгө - Патентын хорогдол"
"account_template_2104_0101","21040101","Intangible assets - Trademarks","asset_fixed","","0","","Биет бус хөрөнгө - Барааны тэмдэг"
"account_template_2104_0201","21040201","Intangible assets - Trademark amortization","asset_fixed","","0","","Биет бус хөрөнгө - Барааны тэмдэгийн хорогдол"
"account_template_2105_0101","21050101","Intangible Assets - Licenses","asset_fixed","","0","","Биет бус хөрөнгө - Тусгай зөвшөөрөл"
"account_template_2105_0201","21050201","Intangible assets - License amortization","asset_fixed","","0","","Биет бус хөрөнгө - Тусгай зөвшөөрлийн хорогдол"
"account_template_2109_0101","21090101","Intangible assets - Other assets","asset_fixed","","0","","Биет бус хөрөнгө - Бусад хөрөнгө"
"account_template_2109_0201","21090201","Intangible assets - Depreciation of other assets","asset_fixed","","0","","Биет бус хөрөнгө - Бусад хөрөнгийн элэгдэл"
"account_template_2401_0101","24010101","Biological assets - Livestock","asset_fixed","","0","","Биологийн хөрөнгө - Мал амьтад"
"account_template_2401_0201","24010201","Biological assets - Loss of livestock","asset_fixed","","0","","Биологийн хөрөнгө - Мал амьтадын хорогдол"
"account_template_2402_0101","24020101","Biological assets - Plants","asset_fixed","","0","","Биологийн хөрөнгө - Ургамал"
"account_template_2402_0201","24020201","Biological assets - Plant mortality","asset_fixed","","0","","Биологийн хөрөнгө - Ургамалын хорогдол"
"account_template_2201_0101","22010101","Financial assets at fair value through profit or loss","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Ашиг алдагдлаарх бодит үнэ цэнээр илэрхийлэх санхүүгийн хөрөнгө"
"account_template_2204_0101","22040101","Investments in subsidiaries and joint ventures","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Хараат компани, хамтарсан үйлдвэрт оруулсан хөрөнгө оруулалт"
"account_template_2205_0101","22050101","Investment in Subsidiary","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Охин компанид оруулсан хөрөнгө оруулалт"
"account_template_2301_0101","23010101","Exploration and evaluation assets","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Хайгуул ба үнэлгээний хөрөнгө"
"account_template_2501_0101","25010101","Deferred tax assets","asset_non_current","","0","","Хойшлогдсон татварын хөрөнгө"
"account_template_2601_0101","26010101","Fixed assets for investment purposes","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Хөрөнгө оруулалтын зориулалттай үндсэн хөрөнгө"
"account_template_2601_0201","26010201","Impairment of fixed assets","asset_non_current","","0","","Үндсэн хөрөнгийн үнэ цэнийн бууралт"
"account_template_2701_0101","27010101","Long-term loan receivables Enterprise","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Урт хугацаат зээлийн авлага ААН"
"account_template_2701_0201","27010201","Long-term loan receivables Individuals","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Урт хугацаат зээлийн авлага Хувь хүн"
"account_template_2701_0301","27010301","Long-term loan receivables Related party","asset_non_current","l10n_mn.account_cashflow_tag_211_221","0","","Урт хугацаат зээлийн авлага Холбоотой тал"
"account_template_2709_0101","27090101","Other non-current assets","asset_non_current","","0","","Бусад эргэлтийн бус хөрөнгө"
"account_template_3101_0101","31010101","Accounts Payable to Trade with Enterprise","liability_payable","l10n_mn.account_cashflow_tag_123","1","","Худалдааны БН-д өгөх өглөг ААН"
"account_template_3101_0201","31010201","Accounts Payable to Trade with Individuals","liability_payable","l10n_mn.account_cashflow_tag_123","1","","Худалдааны БН-д өгөх өглөг Хувь хүн"
"account_template_3101_0301","31010301","Accounts Payable to Trade with Related party","liability_payable","l10n_mn.account_cashflow_tag_123","1","","Худалдааны БН-д өгөх өглөг Холбоотой тал"
"account_template_3201_0101","32010101","Prepaid trading income","liability_current","l10n_mn.account_cashflow_tag_123","1","","Урьдчилж орсон худалдааны орлого"
"account_template_3202_0101","32020101","Prepaid rental income","liability_current","l10n_mn.account_cashflow_tag_123","1","","Урьдчилж орсон түрээсийн орлого"
"account_template_3203_0101","32030101","Prepaid interest income","liability_current","l10n_mn.account_cashflow_tag_129","1","","Урьдчилж орсон зээлийн хүүгийн орлого"
"account_template_3301_0101","33010101","Payment of wages","liability_payable","l10n_mn.account_cashflow_tag_121","1","","Цалингийн өглөг"
"account_template_3401_0101","34010101","Tax payable - CIT tax","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - ААНОАТатвар"
"account_template_3401_0201","34010201","Tax payable - VAT","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - НӨАТатвар"
"account_template_3401_0301","34010301","Tax payable - VAT (PRC)","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - ХХОАТатвар"
"account_template_3401_0401","34010401","Tax payable - Customs duties","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - Гаалийн албан татвар"
"account_template_3401_0501","34010501","Tax payable - Real Estate Tax","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - Үл хөдлөх хөрөнгийн албан татвар"
"account_template_3401_0601","34010601","Tax payable - Land tax","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - Газрын албан татвар"
"account_template_3401_0701","34010701","Tax payable - VAT (АТӨЯХАТ)","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - АТӨЯХАТатвар"
"account_template_3401_0801","34010801","Tax payable - Air pollution tax","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - Агаарын бохирдлын татвар"
"account_template_3401_0901","34010901","Tax payable - Excise duty","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - Онцгой албан татвар"
"account_template_3401_1001","34011001","Tax payable - Natural resource use tax","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - Байгалийн нөөц ашиглалтын татвар"
"account_template_3401_1101","34011101","Tax payable - NHT","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг – НХАТатвар"
"account_template_3401_9901","34019901","Tax payable - Other taxes","liability_current","l10n_mn.account_cashflow_tag_127","0","","Татварын өглөг - Бусад татвар"
"account_template_3401_9902","34019902","Tax Payable - Current Account","liability_payable","l10n_mn.account_cashflow_tag_127","1","1","Татварын өглөг - Харилцах данс"
"account_template_3402_0101","34020101","Payment of medical and social insurance","liability_current","l10n_mn.account_cashflow_tag_122","0","","ЭМ, НДШ-ийн өглөг"
"account_template_3402_0201","34020201","Voluntary insurance payments","liability_current","l10n_mn.account_cashflow_tag_128","0","","Сайн дурын даатгалын өглөг"
"account_template_3501_0101","35010101","Short-term bank loan payable","liability_payable","l10n_mn.account_cashflow_tag_127","1","","Банкны богино хугацаат зээлийн өглөг"
"account_template_3501_0201","35010201","NBFC short-term loan payable","liability_payable","l10n_mn.account_cashflow_tag_127","1","","ББСБ-ын богино хугацаат зээлийн өглөг"
"account_template_3501_0301","35010301","Payables for personal short-term loans","liability_payable","l10n_mn.account_cashflow_tag_127","1","","Хувь хүний богино хугацаат зээлийн өглөг"
"account_template_3502_0101","35020101","Bank's short-term interest rate","liability_payable","l10n_mn.account_cashflow_tag_127","1","","Банкны богино хугацаат зээлийн хүү"
"account_template_3502_0201","35020201","NBFC's short-term loan interest rate","liability_payable","l10n_mn.account_cashflow_tag_127","1","","ББСБ-ын богино хугацаат зээлийн хүү"
"account_template_3502_0301","35020301","Personal short-term loan interest rates","liability_payable","l10n_mn.account_cashflow_tag_127","1","","Хувь хүний богино хугацаат зээлийн хүү"
"account_template_3601_0101","36010101","Dividend Payable","liability_current","","0","","Ногдол ашгийн өглөг"
"account_template_3701_0101","37010101","Contingent liabilities","liability_current","l10n_mn.account_cashflow_tag_222","0","","Нөөц өр төлбөр"
"account_template_3801_0101","38010101","Insurance payable","liability_payable","l10n_mn.account_cashflow_tag_128","1","","Даатгалын өглөг"
"account_template_3802_0101","38020101","Membership dues","liability_payable","l10n_mn.account_cashflow_tag_129","1","","Гишүүнчлэлийн өглөг"
"account_template_3803_0101","38030101","Payments to employees","liability_payable","l10n_mn.account_cashflow_tag_121","1","","Ажилчдад өгөх өглөг"
"account_template_3804_0101","38040101","Payables to individuals","liability_payable","l10n_mn.account_cashflow_tag_129","1","","Хувь хүмүүст өгөх өглөг"
"account_template_3805_0101","38050101","Guarantees and pledges payable","liability_payable","l10n_mn.account_cashflow_tag_129","1","","Баталгаа, барьцааны өглөг"
"account_template_3806_0101","38060101","Payables to non-commercial suppliers - Enterprises","liability_payable","l10n_mn.account_cashflow_tag_129","1","","Худалдааны бус бэлтгэн нийлүүлэгчид өгөх өглөг - ААН"
"account_template_3806_0201","38060201","Payables to non-commercial suppliers - Individuals","liability_payable","l10n_mn.account_cashflow_tag_129","1","","Худалдааны бус бэлтгэн нийлүүлэгчид өгөх өглөг - Хувь хүн"
"account_template_3806_0301","38060301","Payables to non-commercial suppliers - Related parties","liability_payable","l10n_mn.account_cashflow_tag_129","1","","Худалдааны бус бэлтгэн нийлүүлэгчид өгөх өглөг - Холбоотой тал"
"account_template_3806_0401","38060401","Payables for purchased fixed assets","liability_payable","l10n_mn.account_cashflow_tag_128","1","","Худалдан авсан үндсэн хөрөнгийн өглөг"
"account_template_3806_0501","38060501","Accounts Payable for Purchased Investments","liability_payable","l10n_mn.account_cashflow_tag_128","1","","Худалдан авсан хөрөнгө оруулалтын өглөг"
"account_template_3809_0101","38090101","Other short-term liabilities","liability_current","l10n_mn.account_cashflow_tag_222","0","","Бусад богино хугацаат өр төлбөр"
"account_template_3901_0101","39010101","Liabilities related to non-current assets held for sale","liability_current","l10n_mn.account_cashflow_tag_222","0","","Борлуулах зорилгоор эзэмшиж буй эргэлтийн бус хөрөнгөнд хамаарах өр"
"account_template_4001_0101","40010101","Long-term bank loans","liability_non_current","l10n_mn.account_cashflow_tag_212_222","0","","Банкны урт хугацаат зээл"
"account_template_4001_0201","40010201","NBFC Long Term Loan","liability_non_current","l10n_mn.account_cashflow_tag_212_222","0","","ББСБ-ын урт хугацаат зээл"
"account_template_4001_0301","40010301","Long-term loans from individuals","liability_non_current","l10n_mn.account_cashflow_tag_212_222","0","","Хувь хүнээс авсан урт хугацаат зээл"
"account_template_4001_0401","40010401","Long-term related party loans","liability_non_current","l10n_mn.account_cashflow_tag_212_222","0","","Холбоотой талын урт хугацаат зээл"
"account_template_4002_0101","40020101","Long-term reserve liabilities","liability_non_current","l10n_mn.account_cashflow_tag_212_222","0","","Урт хугацаат нөөц өр төлбөр"
"account_template_4003_0101","40030101","Deferred tax debt","liability_non_current","l10n_mn.account_cashflow_tag_212_222","0","","Хойшлогдсон татварын өр"
"account_template_4009_0101","40090101","Other long-term liabilities","liability_non_current","l10n_mn.account_cashflow_tag_212_222","0","","Бусад урт хугацаат өр төлбөр"
"account_template_4101_0101","41010101","Ownership - state","equity","","0","","Эздийн өмч - төрийн"
"account_template_4102_0101","41020101","Ownership - private","equity","","0","","Эздийн өмч - хувийн"
"account_template_4103_0101","41030101","Ownership - share","equity","","0","","Эздийн өмч - хувьцаат"
"account_template_4201_0101","42010101","Pocket stock","equity","","0","","Халаасны хувьцаа"
"account_template_4301_0101","43010101","Additional paid-in capital","equity","","0","","Нэмж төлөгдсөн капитал"
"account_template_4401_0101","44010101","Capital revaluation surplus","equity","","0","","Хөрөнгийн дахин үнэлгээний нэмэгдэл"
"account_template_4501_0101","45010101","Foreign currency translation reserve","equity","","0","","Гадаад валютын хөрвүүлэлтийн нөөц"
"account_template_4509_0101","45090101","Other parts of the owner's property","equity","","0","","Эздийн өмчийн бусад хэсэг"
"account_template_4601_0101","46010101","Retained earnings for the reporting period","equity_unaffected","","0","","Тайлант үеийн хуримтлагдсан ашиг"
"account_template_4601_0201","46010201","Retained earnings from previous periods","equity","","0","","Өмнөх үеийн хуримтлагдсан ашиг"
"account_template_5101_0101","51010101","Sales revenue","income","l10n_mn.account_cashflow_tag_111","0","","Борлуулалтын орлого"
"account_template_5101_0201","51010201","Sales revenue (VAT exempt)","income","l10n_mn.account_cashflow_tag_111","0","","Борлуулалтын орлого (НӨАТ-с чөлөөлөгдөх)"
"account_template_5102_0101","51020101","Rental income","income_other","l10n_mn.account_cashflow_tag_111","0","","Түрээсийн орлого"
"account_template_5103_0101","51030101","Interest income","income_other","l10n_mn.account_cashflow_tag_127","0","","Хүүний орлого"
"account_template_5104_0101","51040101","Dividend income","income_other","l10n_mn.account_cashflow_tag_214_224","0","","Ногдол ашгийн орлого"
"account_template_5105_0101","51050101","Royalty revenue","income_other","l10n_mn.account_cashflow_tag_112","0","","Эрхийн шимтгэлийн орлого"
"account_template_5201_0101","52010101","Count difference gain","income_other","","0","","Тооллогын зөрүүний олз"
"account_template_5201_0201","52010201","Loss of counting difference","income_other","","0","","Тооллогын зөрүүний алдагдал"
"account_template_5201_0901","52010901","Other comprehensive income","income_other","l10n_mn.account_cashflow_tag_116","0","","Бусад дэлгэрэнгүй орлого"
"account_template_5202_0101","52020101","Price differences resulting from secondary adjustment of price movements","income_other","","0","","Үнэ шилжилтийн хоёрдогч тохируулгын үр дүнд бий болсон үнийн зөрүү"
"account_template_5203_0101","52030101","Interest income provided to taxpayers who purchased debt instruments and unit rights for open trading in the primary and secondary markets of foreign and domestic securities","income_other","l10n_mn.account_cashflow_tag_129","0","","Гадаад, дотоодын үнэт цаасны анхдагч болон хоёрдогч зах зээлд нээлттэй арилжаалах өрийн хэрэгсэл, нэгж эрх худалдан авсан албан татвар төлөгчид олгосон хүүгийн орлого"
