"id","name","amount","price_include","sequence","amount_type","type_tax_use","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/tag_ids","repartition_line_ids/document_type","repartition_line_ids/account_id","description@mn"
"account_tax_sale_vat12","10% P R","10.0","True","20","percent","sale","Renting and owning VAT premises","10%","account_tax_group2","base","+TT3a[14]","invoice","","НӨАТ байр түрээслүүлэх, эзэмшүүлэх"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[14]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat13","10% L O","10.0","True","20","percent","sale","Leasing and ownership of VAT assets","10%","account_tax_group2","base","+TT3a[15]","invoice","","НӨАТ хөрөнгө түрээслүүлэх, эзэмшүүлэх"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[15]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat14","10% W","10.0","True","20","percent","sale","VAT works, designs and copyrights","10%","account_tax_group2","base","+TT3a[16]","invoice","","НӨАТ бүтээл, загвар, зохиогчийн эрх"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[16]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat15","10% Lot","10.0","True","20","percent","sale","VAT Lotteries, Riddles and Bets","10%","account_tax_group2","base","+TT3a[17]","invoice","","НӨАТ хонжворт сугалаа, таавар, бооцоо"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[17]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat16","10% Med","10.0","True","20","percent","sale","VAT mediation services","10%","account_tax_group2","base","+TT3a[18]","invoice","","НӨАТ зуучлалын үйлчилгээ"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[18]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat17","10% I","10.0","True","20","percent","sale","Interest, penalties and interest on VAT","10%","account_tax_group2","base","+TT3a[19]","invoice","","НӨАТ авсан хүү торгууль, алданги"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[19]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat18","10% V S","10.0","True","20","percent","sale","VAT Asset Valuation Services","10%","account_tax_group2","base","+TT3a[20]","invoice","","НӨАТ хөрөнгийн үнэлгээний үйлчилгээ"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[20]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat19","10% B","10.0","True","20","percent","sale","VAT budget financing and subsidies","10%","account_tax_group2","base","+TT3a[21]","invoice","","НӨАТ төсвийн санхүүжилт, татаас"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[21]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat20","10% L S","10.0","True","20","percent","sale","VAT legal services","10%","account_tax_group2","base","+TT3a[22]","invoice","","НӨАТ хууль зүйн үйлчилгээ"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[22]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat21","10% Hair","10.0","True","20","percent","sale","VAT hairdressing","10%","account_tax_group2","base","+TT3a[23]","invoice","","НӨАТ үсчин, гоо сайхан, угаалга, цэвэрлэгээ"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[23]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat22","10% O S","10.0","True","20","percent","sale","VAT other services","10%","account_tax_group2","base","+TT3a[24]","invoice","","НӨАТ бусад үйлчилгээ"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[24]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat23","0% EX G","0.0","True","30","percent","sale","VAT 0% export goods","0%","account_tax_group3","base","+TT3a[27]","invoice","","НӨАТ 0% экспорт бараа"
"","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","base","-TT3a[27]","refund","",""
"","","","","","","","","","","tax","","refund","",""
"account_tax_sale_vat24","0% EX S","0.0","True","30","percent","sale","VAT 0% export service","0%","account_tax_group3","base","+TT3a[28]","invoice","","НӨАТ 0% экспорт үйлчилгээ"
"","","","","","","","","","","tax","","invoice","",""
"","","","","","","","","","","base","-TT3a[28]","refund","",""
"","","","","","","","","","","tax","","refund","",""
"account_tax_purchase_vat3","10% EX","10.0","True","40","percent","purchase","VAT on imported goods and services","10%","account_tax_group4","base","+TT3a[32]||+TT3a[34]","invoice","","НӨАТ импортоор авсан бараа, үйлчилгээ"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[34]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat4","10% T R","10.0","True","40","percent","purchase","Purchased at the time of VAT registration","10%","account_tax_group4","base","+TT3a[32]||+TT3a[36]","invoice","","НӨАТ төлөгчөөр бүртгүүлэх үед худалдан авсан"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[36]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat5","10% L F","10.0","True","40","percent","purchase","VAT was purchased from a livestock farmer","10%","account_tax_group4","base","+TT3a[32]||+TT3a[41]","invoice","","НӨАТ мал аж ахуй эрхлэгчээс худалдан авсан"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[41]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat6","10% Car","10.0","True","40","percent","purchase","VAT purchase of cars and parts (domestic)","10%","account_tax_group4","base","+TT3a[32]||+TT3a[35]","invoice","","НӨАТ автомашин, эд анги худалдан авалт (дотоодын)"
"","","","","","","","","","","tax","+TT3a[44]","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[35]","refund","",""
"","","","","","","","","","","tax","-TT3a[44]","refund","account_template_1204_0301",""
"account_tax_purchase_vat7","10% G","10.0","True","40","percent","purchase","Goods purchased for VAT purposes (domestic)","10%","account_tax_group4","base","+TT3a[32]||+TT3a[35]","invoice","","НӨАТ ажлын хэрэгцээнд авсан бараа (дотоодын)"
"","","","","","","","","","","tax","+TT3a[45]","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[35]","refund","",""
"","","","","","","","","","","tax","-TT3a[45]","refund","account_template_1204_0301",""
"account_tax_purchase_vat8","10% EX MACH","10.0","True","40","percent","purchase","VAT on imported machinery","10%","account_tax_group4","base","+TT3a[32]||+TT3a[38]","invoice","","НӨАТ Машин, тоног төхөөрөмж бэлтгэхэд зориулж импортоор худалдан авсан"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[38]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat9","10% EXEMPT","10.0","True","40","percent","purchase","Goods and services for VAT-exempt production (domestic)","10%","account_tax_group4","base","+TT3a[32]||+TT3a[35]","invoice","","НӨАТ чөлөөлөгдөх үйлдвэрлэлд зориулсан бараа, үйлчилгээ (дотоодын)"
"","","","","","","","","","","tax","+TT3a[46]","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[35]","refund","",""
"","","","","","","","","","","tax","-TT3a[46]","refund","account_template_1204_0301",""
"account_tax_purchase_vat10","10% EX E","10.0","True","40","percent","purchase","VAT Imported goods and services for exploration and preparation assets","10%","account_tax_group4","base","+TT3a[32]","invoice","","НӨАТ хайгуулын үнэлгээний хөрөнгө бэлтгэхэд зориулсан импортын бараа, үйлчилгээ"
"","","","","","","","","","","tax","+TT3a[47]","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]","refund","",""
"","","","","","","","","","","tax","-TT3a[47]","refund","account_template_1204_0301",""
"account_tax_purchase_vat11","10% EX NV","10.0","True","40","percent","purchase","Other non-VAT imported goods and services (domestic)","10%","account_tax_group4","base","+TT3a[32]||+TT3a[35]","invoice","","НӨАТ импортын бусад хамааралгүй бараа, үйлчилгээ (дотоодын)"
"","","","","","","","","","","tax","+TT3a[48]","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[35]","refund","",""
"","","","","","","","","","","tax","-TT3a[48]","refund","account_template_1204_0301",""
"account_tax_sale_vat25","10% D F L","10.0","True","50","percent","sale","VAT domestically sold finance lease","10%","account_tax_group5","base","+TT3a[50]","invoice","","НӨАТ дотоодод зарсан санхүүгийн түрээс"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[50]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_sale_vat26","10% Fact S","10.0","True","50","percent","sale","VAT factoring and forfeiting services","10%","account_tax_group5","base","+TT3a[51]","invoice","","НӨАТ Факторинг, форфайтинг хэлцлийн үйлчилгээ"
"","","","","","","","","","","tax","","invoice","account_template_3401_0201",""
"","","","","","","","","","","base","-TT3a[51]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_3401_0201",""
"account_tax_purchase_vat12","10% F L","10.0","True","50","percent","purchase","VAT Finance Lease Purchase","10%","account_tax_group5","base","+TT3a[32]||+TT3a[53]","invoice","","НӨАТ Санхүүгийн түрээсийн худалдан авалт"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[53]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat13","10% Fact","10.0","True","50","percent","purchase","VAT factoring and forfeiting purchases","10%","account_tax_group5","base","+TT3a[32]||+TT3a[54]","invoice","","НӨАТ Факторинг, форфайтинг худалдан авалт"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[54]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat14","VAT Import for preparation of construction assets","10.0","True","50","percent","purchase","","10,00%","account_tax_group4","base","+TT3a[32]||+TT3a[37]","invoice","","НӨАТ Барилга байгууламж бэлтгэхэд зориулж импортоор худалдан авсан"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[37]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat15","VAT Import for preparation of other fixed assets","10.0","True","50","percent","purchase","","10,00%","account_tax_group4","base","+TT3a[32]||+TT3a[39]","invoice","","НӨАТ Бусад үндсэн хөрөнгө бэлтгэхэд зориулж импортоор худалдан авсан"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[39]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
"account_tax_purchase_vat16","VAT Import for operational purposes","10.0","True","50","percent","purchase","","10,00%","account_tax_group4","base","+TT3a[32]||+TT3a[40]","invoice","","НӨАТ Ашиглалтын ажиллагаанд зориулж импортоор худалдан авсан"
"","","","","","","","","","","tax","","invoice","account_template_1204_0301",""
"","","","","","","","","","","base","-TT3a[32]||-TT3a[40]","refund","",""
"","","","","","","","","","","tax","","refund","account_template_1204_0301",""
