"id","name","code","account_type","reconcile","name@es"
"account_account_301040301","Other equity at original value","301040301","equity","False","Valor original de otras partidas de patrimonio"
"account_account_301040401","Other equity restatement","301040401","equity","False","Actualización de otras partidas de patrimonio"
"account_account_301040501","Operating reserves","301040501","equity","False","Reservas operativas"
"account_account_301040601","Financial reserves","301040601","equity","False","Reservas financieras"
"account_account_301040701","Tax reserves","301040701","equity","False","Reservas fiscales"
"account_account_401010101","Sales","401010101","income","True","Ventas"
"account_account_401010201","Other operating income","401010201","income","True","Otros ingresos operativos"
"account_account_401010301","Sales surcharges","401010301","income","True","Recargos en ventas"
"account_account_402010101","Commissions earned","402010101","income_other","True","Comisiones ganadas"
"account_account_402010201","Interest income","402010201","income_other","True","Ganancias por intereses"
"account_account_402010301","Cash adjustments","402010301","income_other","True","Ajustes en caja"
"account_account_402010401","Foreign exchange gain","402010401","income_other","True","Ganancia por ajuste cambiario"
"account_account_402010501","Consignment goods","402010501","income_other","True","Mercancías en consignación"
"account_account_501010101","Purchases","501010101","expense_direct_cost","True","Compras"
"account_account_501010201","Merchandise purchases in bolivars","501010201","expense_direct_cost","True","Compra de mercancía en Bs"
"account_account_501010301","Freight on purchases in bolivars","501010301","expense_direct_cost","True","Flete en compras en Bs"
"account_account_501010401","Merchandise purchases in foreign currency","501010401","expense_direct_cost","True","Compra de mercancía en divisas"
"account_account_501010501","Freight on purchases in foreign currency","501010501","expense_direct_cost","True","Flete en compras en divisas"
"account_account_601010101","Sales salaries and wages","601010101","expense","False","Sueldos y salarios ventas"
"account_account_601010201","Sales commissions","601010201","expense","False","Comisiones en ventas"
"account_account_601010301","Sales representation expenses","601010301","expense","False","Gastos de representación de ventas"
"account_account_601010401","Advertising expenses","601010401","expense","False","Gastos de publicidad"
"account_account_601010501","Travel expenses","601010501","expense","False","Gastos de viaje"
"account_account_602010101","Employee salaries and wages","602010101","expense","True","Sueldos y salarios empleados"
"account_account_602010201","Partner salaries and wages","602010201","expense","True","Sueldos y salarios socios"
"account_account_602010301","Employee food benefit","602010301","expense","True","Bono de alimentación empleados"
"account_account_602010401","Partner food benefit","602010401","expense","True","Bono de alimentación socios"
"account_account_602010501","Employee transportation benefit","602010501","expense","True","Bono de transporte empleados"
"account_account_602010601","Special bonuses","602010601","expense","True","Bonificaciones especiales"
"account_account_602010701","Employer contributions","602010701","expense","True","Aportes patronales"
"account_account_602010801","Building maintenance","602010801","expense","True","Mantenimiento de edificio"
"account_account_602010901","Vehicle maintenance","602010901","expense","True","Mantenimiento de vehículo"
"account_account_602011001","Office supplies","602011001","expense","True","Material de oficina"
"account_account_602011101","Cleaning","602011101","expense","True","Limpieza"
"account_account_602011201","Administrative representation expenses","602011201","expense","True","Gastos de representación administrativos"
"account_account_602011301","Refreshments","602011301","expense","True","Refrigerios"
"account_account_602011401","Incorporation expenses","602011401","expense","True","Gastos de constitución"
"account_account_602019101","Depreciation expense","602019101","expense_depreciation","True","Gasto de depreciación"
"account_account_603010101","Foreign exchange loss","603010101","expense","True","Pérdida por ajuste cambiario"
