"id","code_prefix_start","name","name@sk"
"chart_sk_086","086","Entitlements to base stock and draught animals","Oprávky k základnému stádu a ťažným zvieratám"
"chart_sk_089","089","Allowances for other tangible fixed assets","Oprávky k ostatnému dlhodobému hmotnému majetku"
"chart_sk_09","09","Allowances for fixed assets","Opravné položky k dlhodobému majetku"
"chart_sk_091","091","Allowance for intangible fixed assets","Opravné položky k dlhodobému nehmotnému majetku"
"chart_sk_092","092","Allowances for property, plant and equipment","Opravné položky k dlhodobému hmotnému majetku"
"chart_sk_093","093","Allowance for intangible fixed assets in progress","Opravné položky k nedokončenému dlhodobému nehmotnému majetku"
"chart_sk_094","094","Allowances for tangible fixed assets in progress","Opravné položky k nedokončenému dlhodobému hmotnému majetku"
"chart_sk_095","095","Allowances for advances on fixed assets","Opravné položky k poskytnutým preddavkom na dlhodobý majetok"
"chart_sk_096","096","Valuation allowances on non-current financial assets","Opravné položky k dlhodobému finančnému majetku"
"chart_sk_097","097","Allowances for acquired assets","Opravné položky k nadobudnutému majetku"
"chart_sk_098","098","Adjustments to the valuation allowance for acquired assets","Oprávky k opravnej položke k nadobudnutému majetku"
"chart_sk_1","1","Stocks","Zásoby"
"chart_sk_11","11","Material","Materiál"
"chart_sk_111","111","Procurement of material","Obstaranie materiálu"
"chart_sk_112","112","Material in stock","Materiál na sklade"
"chart_sk_119","119","Material on the way","Materiál na ceste"
"chart_sk_12","12","Own production stocks","Zásoby vlastnej výroby"
"chart_sk_121","121","Unfinished production","Nedokončená výroba"
"chart_sk_122","122","Semi-finished products of own production","Polotovary vlastnej výroby"
"chart_sk_123","123","Products","Výrobky"
"chart_sk_124","124","Animals","Zvieratá"
"chart_sk_13","13","Goods","Tovar"
"chart_sk_131","131","Purchase of goods","Obstaranie tovaru"
"chart_sk_132","132","Goods in stock and in stores","Tovar na sklade a v predajniach"
"chart_sk_133","133","Property for sale","Nehnuteľnosť na predaj"
"chart_sk_139","139","Goods on the way","Tovar na ceste"
"chart_sk_19","19","Provisions for inventories","Opravné položky k zásobám"
"chart_sk_191","191","Allowances for material","Opravné položky k materiálu"
"chart_sk_192","192","Provisions for work in progress","Opravné položky k nedokončenej výrobe"
"chart_sk_193","193","Provisions for own-produced semi-finished goods","Opravné položky k polotovarom vlastnej výroby"
"chart_sk_194","194","Allowances for products","Opravné položky k výrobkom"
"chart_sk_195","195","Allowances for animals","Opravné položky k zvieratám"
"chart_sk_196","196","Allowances for goods","Opravné položky k tovaru"
"chart_sk_2","2","Financial accounts","Finančné účty"
"chart_sk_21","21","Money","Peniaze"
"chart_sk_211","211","Treasury","Pokladnica"
"chart_sk_213","213","Price lists","Ceniny"
"chart_sk_22","22","Bank accounts","Bankové účty"
"chart_sk_221","221","Bank accounts","Bankové účty"
"chart_sk_23","23","Ordinary bank loans","Bežné bankové úvery"
"chart_sk_231","231","Short-term bank loans","Krátkodobé bankové úvery"
"chart_sk_232","232","Discount loans","Eskontné úvery"
"chart_sk_24","24","Other short-term financial assistance","Ostatné krátkodobé finančné výpomoci"
"chart_sk_241","241","Short-term bonds issued","Vydané krátkodobé dlhopisy"
"chart_sk_249","249","Other short-term financial assistance","Ostatné krátkodobé finančné výpomoci"
"chart_sk_25","25","Short-term financial assets","Krátkodobý finančný majetok"
"chart_sk_251","251","Equity securities for trading","Majetkové cenné papiere na obchodovanie"
"chart_sk_252","252","Own shares and treasury shares","Vlastné akcie a vlastné obchodné podiely"
"chart_sk_253","253","Debt securities for trading","Dlhové cenné papiere na obchodovanie"
"chart_sk_255","255","Own bonds","Vlastné dlhopisy"
"chart_sk_256","256","Debt securities with a maturity of one year or less held to maturity","Dlhové cenné papiere so splatnosťou do jedného roka držané do splatnosti"
"chart_sk_257","257","Other available-for-sale securities","Ostatné realizovateľné cenné papiere"
"chart_sk_259","259","Acquisition of short-term financial assets","Obstaranie krátkodobého finančného majetku"
"chart_sk_26","26","Transfers between financial accounts","Prevody medzi finančnými účtami"
"chart_sk_261","261","Money on the way","Peniaze na ceste"
"chart_sk_29","29","Allowance for current financial assets","Opravné položky ku krátkodobému finančnému majetku"
"chart_sk_291","291","Allowance for current financial assets","Opravné položky ku krátkodobému finančnému majetku"
"chart_sk_3","3","Settlement relationships","Zúčtovacie vzťahy"
"chart_sk_31","31","Claims","Pohľadávky"
"chart_sk_311","311","Subscribers","Odberatelia"
"chart_sk_312","312","Collection drafts","Zmenky na inkaso"
"chart_sk_313","313","Receivables for discounted securities","Pohľadávky za eskontované cenné papiere"
"chart_sk_314","314","Advances granted","Poskytnuté preddavky"
"chart_sk_315","315","Other receivables","Iné pohľadávky"
"chart_sk_316","316","Net contract value","Čistá hodnota zákazky"
"chart_sk_32","32","Commitments","Záväzky"
"chart_sk_321","321","Suppliers","Dodávatelia"
"chart_sk_322","322","Promissory notes for payment","Zmenky na úhradu"
"chart_sk_323","323","Short-term reserves","Krátkodobé rezervy"
"chart_sk_324","324","Advances received","Prijaté preddavky"
"chart_sk_325","325","Other liabilities","Iné záväzky"
"chart_sk_326","326","Uninvoiced deliveries","Nevyfakturované dodávky"
"chart_sk_33","33","Settlement with employees and social security and health insurance bodies","Zúčtovanie so zamestnancami a orgánmi sociálneho poistenia a zdravotného poistenia"
"chart_sk_331","331","Staff","Zamestnanci"
"chart_sk_333","333","Other payables to employees","Ostatné záväzky voči zamestnancom"
"chart_sk_335","335","Claims on employees","Pohľadávky voči zamestnancom"
"chart_sk_336","336","Settlement with social security and health insurance bodies","Zúčtovanie s orgánmi sociálneho zabezpečenia a zdravotného poistenia"
"chart_sk_34","34","Settlement of taxes and subsidies","Zúčtovanie daní a dotácií"
"chart_sk_341","341","Income tax","Daň z príjmov"
"chart_sk_342","342","Other direct taxes","Ostatné priame dane"
"chart_sk_343","343","Value added tax","Daň z pridanej hodnoty"
"chart_sk_345","345","Other taxes and charges","Ostatné dane a poplatky"
"chart_sk_346","346","Subsidies from the state budget","Dotácie zo štatneho rozpočtu"
"chart_sk_347","347","Other deliveries","Ostatné dodácie"
"chart_sk_35","35","Receivables due from shareholders and the association","Pohľadávky voči spoločníkom a združeniu"
"chart_sk_351","351","Amounts due from related entities and participating entities","Pohľadávky voči prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti"
"chart_sk_353","353","Receivables for subscribed equity","Pohľadávky za upísané vlastné imanie"
"chart_sk_354","354","Claims on shareholders and members in settlement of losses","Pohľadávky voči spoločníkom a členom pri úhrade straty"
"chart_sk_355","355","Other receivables from shareholders and members","Ostatné pohľadávky voči spoločníkom a členom"
"chart_sk_358","358","Claims on participants in the association","Pohľadávky voči účastníkom združenia"
"chart_sk_36","36","Liabilities to shareholders and the association","Záväzky voči spoločníkom a združeniu"
"chart_sk_361","361","Liabilities within the consolidated entity","Záväzky v rámci konsolidovaného celku"
"chart_sk_364","364","Liabilities to shareholders and members on distribution of profits","Záväzky voči spoločníkom a členom pri rozdeľovaní zisku"
"chart_sk_365","365","Other liabilities to shareholders and members","Ostatné záväzky voči spoločníkom a členom"
"chart_sk_366","366","Liabilities to partners and members from dependent activities","Záväzky voči spoločníkom a členom zo závislej činnosti"
"chart_sk_367","367","Liabilities arising from subscriptions for outstanding securities and deposits","Záväzky z upísaných nesplatených cenných papierov a vkladov"
"chart_sk_368","368","Liabilities to participants in the association","Záväzky voči účastníkom združenia"
"chart_sk_37","37","Other receivables and other payables","Iné pohľadávky a iné záväzky"
"chart_sk_371","371","Receivables from the sale of a business","Pohľadávky z predaja podniku"
"chart_sk_372","372","Liabilities from the purchase of a business","Záväzky z kúpy podniku"
"chart_sk_373","373","Fixed-term receivables and payables","Pohľadávky a záväzky z pevných termínových operácií"
"chart_sk_374","374","Lease receivables","Pohľadávky z nájmu"
"chart_sk_375","375","Receivables from bonds issued","Pohľadávky z vydaných dlhopisov"
"chart_sk_376","376","Purchased options","Nakúpené opcie"
"chart_sk_377","377","Options sold","Predané opcie"
"chart_sk_378","378","Other receivables","Iné pohľadávky"
"chart_sk_379","379","Other liabilities","Iné záväzky"
"chart_sk_38","38","Accrual of expenses and income","Časové rozlíšenie nákladov a výnosov"
"chart_sk_381","381","Deferred charges","Náklady budúcich období"
"chart_sk_382","382","Comprehensive deferred charges","Komplexné náklady budúcich období"
"chart_sk_383","383","Deferred expenditure","Výdaje budúcich období"
"chart_sk_384","384","Revenues of future periods","Výnosy budúcich období"
"chart_sk_385","385","Income of future periods","Príjmy budúcich období"
"chart_sk_39","39","Allowance for clearing relationships and internal clearing","Opravná položka k zúčtovacím vzťahom a vnútorné zúčtovanie"
"chart_sk_391","391","Allowance for receivables","Opravná položka k pohľadávkam"
"chart_sk_395","395","Internal clearing","Vnútorné zúčtovanie"
"chart_sk_398","398","Liaison account with the association","Spojovací účet pri združení"
"chart_sk_4","4","Capital accounts and non-current liabilities","Kapitálové účty a dlhodobé záväzky"
"chart_sk_41","41","Share capital and capital funds","Základné imanie a kapitálové fondy"
"chart_sk_411","411","Share capital","Základné imanie"
"chart_sk_412","412","Issue premium","Emisné ážio"
"chart_sk_413","413","Other capital funds","Ostatné kapitalové fondy"
"chart_sk_414","414","Valuation differences on revaluation of assets and liabilities","Oceňovacie rozdiely z precenenia majetku a záväzkov"
"chart_sk_415","415","Valuation differences on equity participations","Oceňovacie rozdiely z kapitálových účastín"
"chart_sk_416","416","Revaluation differences on mergers and divisions","Oceňovacie rozdiely z precenenia pri zlúčení, splynutí a rozdelení"
"chart_sk_417","417","Statutory reserve fund from capital contributions","Zákonný rezervný fond z kapitálových vkladov"
"chart_sk_418","418","Non-divisible fund from capital deposits","Nedeliteľný fond z kapitálových vkladov"
"chart_sk_419","419","Changes in share capital","Zmeny základného imania"
"chart_sk_42","42","Funds generated from profit and transferred results of operations","Fondy tvorené zo zisku a prevedené výsledky hospodárenia"
"chart_sk_421","421","Legal reserve fund","Zakonný rezervný fond"
"chart_sk_422","422","The indivisible fund","Nedeliteľný fond"
"chart_sk_423","423","Statutory funds","Štatutárne fondy"
"chart_sk_427","427","Other funds","Ostatné fondy"
"chart_sk_428","428","Retained earnings of previous years","Nerozdelený zisk minulých rokov"
"chart_sk_429","429","Outstanding loss of previous years","Neuhradená strata minulých rokov"
"chart_sk_43","43","Operating result","Výsledok hospodárania"
"chart_sk_431","431","Economic result under approval","Výsledok hospodárenia v schvaľovaní"
"chart_sk_45","45","Reserves","Rezervy"
"chart_sk_451","451","Legal reserves","Rezervy zákonné"
"chart_sk_459","459","Other reserves","Ostatné rezervy"
"chart_sk_46","46","Bank loans","Bankové úvery"
"chart_sk_461","461","Bank credits","Bankové účty"
"chart_sk_47","47","Long-term liabilities","Dlhodobé záväzky"
"chart_sk_471","471","Non-current liabilities to related entities and participating entities","Dlhodobé záväzky voči prepojeným účtovným jednotkám a účtovným jednotkám v rámci podielovej účasti"
"chart_sk_472","472","Liabilities from the Social Fund","Záväzky zo sociálneho fondu"
"chart_sk_473","473","Bonds issued","Vydané dlhopisy"
"chart_sk_474","474","Lease commitments","Záväzky z nájmu"
"chart_sk_475","475","Long-term advances received","Dlhodobé prijaté preddavky"
"chart_sk_476","476","Long-term uninvoiced deliveries","Dlhodobé nevyfakturované dodávky"
"chart_sk_478","478","Long-term notes for payment","Dlhodobé zmenky na úhradu"
"chart_sk_479","479","Other non-current liabilities","Ostatné dlhodobé záväzky"
"chart_sk_48","48","Deferred tax liability and deferred tax asset","Odložený daňový záväzok a odložená daňová pohľadávka"
"chart_sk_481","481","Deferred tax liability and deferred tax asset","Odložený daňový záväzok a odložená daňová pohľadávka"
"chart_sk_49","49","Physical person - entrepreneur","Fyzická osoba - podnikateľ"
"chart_sk_491","491","Equity of a physical person - entrepreneur","Vlastné imanie fyzickej osoby - podnikateľa"
"chart_sk_5","5","Cost","Náklady"
"chart_sk_50","50","Consumed purchases","Spotrebované nákupy"
"chart_sk_501","501","Material consumption","Spotreba materiálu"
"chart_sk_502","502","Energy consumption","Spotreba energie"
"chart_sk_503","503","Consumption of other non-stackable supplies","Spotreba ostatných neskladovateľných dodávok"
"chart_sk_504","504","Goods sold","Predaný tovar"
"chart_sk_505","505","Establishment and settlement of inventory valuation allowances","Tvorba a zúčtovanie opravných položiek k zásobám"
"chart_sk_507","507","Sold property","Predaná nehnuteľnosť"
"chart_sk_51","51","Services","Služby"
"chart_sk_511","511","Repair and maintenance","Opravy a udržiavanie"
"chart_sk_512","512","Travel","Cestovné"
"chart_sk_513","513","Representation costs","Náklady na reprezentáciu"
"chart_sk_518","518","Other services","Ostatné služby"
"chart_sk_52","52","Personal costs","Osobné náklady"
"chart_sk_521","521","Labour costs","Mzdové náklady"
"chart_sk_522","522","Income of associates and members from dependent activities","Príjmy spoločníkov a členov zo závislej činnosti"
"chart_sk_523","523","Remuneration to members of company and cooperative bodies","Odmeny členom orgánov spoločnosti a družstva"
"chart_sk_524","524","Statutory social insurance","Zákonné sociálne poistenie"
"chart_sk_525","525","Other social security","Ostatné sociálne zabezpečenie"
"chart_sk_526","526","Social costs of a physical person - entrepreneur","Sociálne náklady fyzickej osoby - podnikateľa"
"chart_sk_527","527","Statutory social costs","Zákonné sociálne náklady"
"chart_sk_528","528","Other social costs","Ostatné sociálne náklady"
"chart_sk_53","53","Taxes and fees","Dane a poplatky"
"chart_sk_531","531","Motor vehicle tax","Daň z motorových vozidiel"
"chart_sk_532","532","Real estate tax","Daň z nehnuteľností"
"chart_sk_538","538","Other taxes and charges","Ostatné dane a poplatky"
"chart_sk_54","54","Other costs of economic activity","Ostatné náklady na hospodársku činnosť"
"chart_sk_541","541","Residual value of intangible fixed assets and tangible fixed assets sold","Zostatková cena predaného dlhodobého nehmotného majetku a dlhodobého hmotného majetku"
"chart_sk_542","542","Material sold","Predaný materiál"
"chart_sk_543","543","Donations","Dary"
"chart_sk_544","544","Contractual fines, penalties and interest for late payment","Zmluvné pokuty, penále a úroky z omeškania"
"chart_sk_545","545","Other fines, penalties and default interest","Ostatné pokuty, penále a úroky z omeškania"
"chart_sk_546","546","Write-off of receivables","Odpis pohľadávky"
"chart_sk_547","547","Establishment and settlement of allowances for receivables","Tvorba a zúčtovanie opravných položiek k pohľadávkam"
"chart_sk_548","548","Other costs of economic activity","Ostatné náklady na hospodársku činnosť"
"chart_sk_549","549","Deficits and damages","Manká a škody"
"chart_sk_55","55","Depreciation and write-downs of fixed assets","Odpisy a opravné položky k dlhodobému majetku"
"chart_sk_551","551","Depreciation of intangible fixed assets and tangible fixed assets","Odpisy dlhodobého mehmotného majetku a dlhodobého hmotného majetku"
"chart_sk_553","553","Formation and settlement of valuation allowances on fixed assets","Tvorba a zúčtovanie opravných položiek k dlhodobému majetku"
"chart_sk_555","555","Accounting for complex deferred charges","Zúčtovanie komplexných nákladov budúcich období"
"chart_sk_557","557","Recognition of an adjustment to the valuation allowance on acquired assets","Zúčtovanie oprávky k opravnej položke k nadobudnutému majetku"
"chart_sk_56","56","Financial costs","Finančné náklady"
"chart_sk_561","561","Securities and shares sold","Predané cenné papiere a podiely"
"chart_sk_562","562","Interest","Úroky"
"chart_sk_563","563","Exchange rate losses","Kurzové straty"
"chart_sk_564","564","Securities revaluation costs","Náklady na precenenie cenných papierov"
"chart_sk_565","565","Establishment and settlement of valuation allowances on financial assets","Tvorba a zúčtovanie opravných položiek k finančnému majetku"
"chart_sk_566","566","Cost of short-term financial assets","Náklady na krátkodobý finančný majetok"
"chart_sk_567","567","Cost of derivative operations","Náklady na derivátové operácie"
"chart_sk_568","568","Other financial costs","Ostatné finančné náklady"
"chart_sk_569","569","Losses and damage to financial assets","Manká a škody na finančnom majetku"
"chart_sk_59","59","Income taxes and transfer accounts","Dane z príjmov a prevodové účty"
"chart_sk_591","591","Income tax payable","Splatná daň z príjmov"
"chart_sk_592","592","Deferred income tax","Odložená daň z príjmov"
"chart_sk_595","595","Additional income tax levies","Dodatočné odvody dane z príjmov"
"chart_sk_596","596","Transfer of shares in profit or loss to shareholders","Prevod podielov na výsledku hospodárenia spoločníkom"
"chart_sk_6","6","Revenue","Výnosy"
"chart_sk_60","60","Revenue from own performance and goods","Tržby za vlastné výkony a tovar"
"chart_sk_601","601","Sales of own products","Tržby za vlastné výrobky"
"chart_sk_602","602","Revenue from the sale of services","Tržby z predaja služieb"
"chart_sk_604","604","Sales of goods","Tržby za tovar"
"chart_sk_606","606","Revenue for contracts","Výnosy za zákazky"
"chart_sk_607","607","Proceeds from non-real estate for sale","Výnosy z nehnuťelnosti na predaj"
"chart_sk_61","61","Changes in intra-organisational inventories","Zmeny stavu vnútroorganizačných zásob"
"chart_sk_611","611","Change in work in progress","Zmena stavu nedokončenej výroby"
"chart_sk_612","612","Change in condition of semi-finished products","Zmena stavu polotovarov"
"chart_sk_613","613","Change in product status","Zmena stavu výrobkov"
"chart_sk_614","614","Change in animal status","Zmena stavu zvierat"
"chart_sk_62","62","Activation","Aktivácia"
"chart_sk_621","621","Activation of materials and goods","Aktivácia materiálu a tovaru"
"chart_sk_622","622","Activation of intra-organisational services","Aktivácia vnútroorganizačných služieb"
"chart_sk_623","623","Activation of intangible fixed assets","Aktivácia dlhodobého nehmotného majetku"
"chart_sk_624","624","Activation of tangible fixed assets","Aktivácia dlhodobého hmotného majetku"
"chart_sk_64","64","Other income from economic activities","Ostatné výnosy z hospodárskej činnosti"
"chart_sk_641","641","Proceeds from the sale of intangible fixed assets and tangible fixed assets","Tržby z predaja dlhodobého nehmotného majetku a dlhodobého hmotného majetku"
"chart_sk_642","642","Revenue from the sale of materials","Tržby z predaja materiálu"
"chart_sk_644","644","Contractual fines, penalties and interest for late payment","Zmluvné pokuty, penále a úroky z omeškania"
"chart_sk_645","645","Other fines, penalties and default interest","Ostatné pokuty, penále a úroky z omeškania"
"chart_sk_646","646","Proceeds from written-off receivables","Výnosy z odpísaných pohľadávok"
"chart_sk_648","648","Other income from economic activities","Ostatné výnosy z hospodárskej činnosti"
"chart_sk_65","65","Accounting for certain items of economic activity","Zúčtovanie niektorých položiek z hospodárskej činnosti"
"chart_sk_655","655","Accounting for complex deferred charges","Zúčtovanie komplexných nákladov budúcich období"
"chart_sk_657","657","Recognition of a valuation allowance against an acquired asset","Zúčtovanie oprávky opravnej položke k nadobudnutému majetku"
"chart_sk_66","66","Financial income","Finančné výnosy"
"chart_sk_661","661","Proceeds from the sale of securities and shares","Tržby z predaja cenných papierov a podielov"
"chart_sk_662","662","Interest","Úroky"
"chart_sk_663","663","Exchange rate gains","Kurzové zisky"
"chart_sk_664","664","Gains on revaluation of securities","Výnosy z precenenia cenných papierov"
"chart_sk_665","665","Income from non-current financial assets","Výnosy z dlhodobého finančného majetku"
"chart_sk_666","666","Proceeds from short-term financial assets","Výnosy z krátkodobého finančného majetku"
"chart_sk_667","667","Proceeds from derivative transactions","Výnosy z derivátových operácií"
"chart_sk_668","668","Other financial income","Ostatné finančné výnosy"
"chart_sk_7","7","Closing accounts and off-balance sheet accounts","Uzávierkové účty a podsúvahové účty"
"chart_sk_70","70","Balance sheet accounts","Súvahové závierkové účty"
"chart_sk_701","701","Opening balance sheet account","Začiatočný účet súvahový"
"chart_sk_702","702","Final balance sheet account","Konečný účet súvahový"
"chart_sk_71","71","Profit and loss account","Účet ziskov a strát"
"chart_sk_710","710","Profit and loss account","Účet ziskov a strát"
"chart_sk_711","711","Opening cost and revenue account","Začiatočný účet nákladov a výnosov"
