"id","code_prefix_start","code_prefix_end","name","name@fr","name@nl","name@de"
"be_group_643","643","648","Miscellaneous Operating Charges","Charges d'exploitation diverses","Diverse bedrijfskosten","Übrige betriebliche Aufwendungen"
"be_group_691","691","","Appropriations to Contribution","Affectations à l'apport","Toevoeging aan de inbreng","Zuweisungen an der Einlage"
"be_group_692","692","","Appropriations to Reserves","Dotation aux réserves","Toevoeging aan de reserves","Zuweisungen an die Rücklagen"
"be_group_693","693","","Profits to Be Carried Forward","Bénéfice à reporter","Over te dragen winst","Gewinnvortrag auf neue Rechnung"
"be_group_694","694","","Compensation for Contributions","Rémunération de l'apport","Vergoeding van de inbreng","Vergütung der Einlage"
"be_group_695","695","","Directors' or Managers' Entitlements","Distribution aux administrateurs ou gérants","Uitkering aan bestuurders of zaakvoerders","Verteilung zugunsten der Verwalter oder Geschäftsführer"
"be_group_696","696","","Employees' Entitlements","Distribution aux employés","Uitkering aan werknemers","Verteilung zugunsten der Arbeitnehmer"
"be_group_697","697","","Other Beneficiaries' Entitlements","Distribution aux autres allocataires","Uitkering aan andere rechthebbenden","Verteilung zugunsten andere Berechtigte"
"be_group_740","740","","Operating Subsidies and Compensatory Amounts","Subsides d'exploitation et montants compensatoires","Exploitatiesubsidies en vanwege de overheid ontvangen compenserende bedragen","Betriebssubventionen und von der öffentlichen Hand erhaltene Ausgleichszahlungen"
"be_group_741","741","","Capital Profits on Ordinary Disposal of Tangible Fixed Assets","Plus-values sur réalisations courantes d'immobilisations corporelles","Meerwaarden bij de courante realisatie van materiële vaste activa","Erträge aus dem normalen Abgang von Sachanlagen"
"be_group_742","742","","Capital Profits on Disposal of Trade Debtors","Plus-values sur réalisation de créances commerciales","Meerwaarden bij de courante realisatie van handelsvorderingen","Mehrwerte bei Realisierung von Forderungen aus Lieferungen und Leistungen"
"be_group_743","743","749","Miscellaneous Operating Income","Produits d'exploitation divers","Diverse bedrijfsopbrengsten","Übrige betriebliche Erträge"
"be_group_753","753","","Capital and Interest Subsidies","Subsides en capital et en intérêts","Kapitaal- en interestsubsidies","Kapital- und Zinssubventionen"
"be_group_77","77","","Adjustment of Income Taxes and Write-Back of Tax Provisions","Régularisation d'impôts et reprise de provisions fiscales","Regularisering van belastingen en terugneming van voorzieningen voor belastingen","Steuererstattung und Auflösung von Steuerrückstellungen"
"be_group_771","771","","Adjustment of Belgian Income Taxes","Régularisations d'impôts belges sur le résultat","Regularisering van Belgische belastingen op het resultaat","Erstattung Belgischer Ertragsteuern"
"be_group_773","773","","Adjustment of Foreign Income Taxes","Régularisations d'impôts étrangers sur le résultat","Regularisering van buitenlandse belastingen op het resultaat","Erstattung Ausländischer Ertragsteuern"
"be_group_780","780","","Transfer From Deferred Taxes","Prélèvement sur les impôts différés","Onttrekking aan de uitgestelde belastingen","Auflösung von aufgeschobenen Steuern"
"be_group_789","789","","Transfer From Untaxed Reserves","Prélèvement sur les réserves immunisées","Onttrekking aan de belastingvrije reserves","Entnahmen aus den steuerfreien Rücklagen"
"be_group_790","790","","Profit From the Preceding Period Brought Forward","Bénéfice reporté de l'exercice précédent","Overgedragen winst van het vorige boekjaar","Gewinnvortrag aus dem Vorjahr"
"be_group_791","791","","Withdrawals From Contributions","Prélèvements sur l'apport","Onttrekking aan de inbreng","Entnahmen aus der Einlage"
"be_group_793","793","","Losses to Be Carried Forward","Perte à reporter","Over te dragen verlies","Verlustvortrag auf neue Rechnung"
"be_group_794","794","","Shareholders' (or Owners') Contribution in Respect of Losses","Intervention des associés (ou du propriétaire) dans la perte","Tussenkomst van de vennoten (of van de eigenaar) in het verlies","Teilnahme der Gesellschafter (oder des Eigentümers) am Verlust"
