"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax","children_tax_ids","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","active","l10n_ph_atc","fiscal_position_ids","original_tax_ids"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","","True","","","",""
"","","","","","","","","","","","","100","base","refund","","49A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","","True","","","",""
"l10n_ph_tax_purchase_0_zr","0% ZR","16","Zero Rated","0%","purchase","","percent","0","l10n_ph_tax_group_zero_rated","False","","100","base","invoice","","48ZR","","True","","l10n_ph_fiscal_position_foreign,l10n_ph_fiscal_position_peza","l10n_ph_tax_purchase_12,l10n_ph_tax_purchase_0_zr,l10n_ph_tax_purchase_0_exempt,l10n_ph_tax_purchase_0_exempt_i,l10n_ph_tax_purchase_12_s"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","","True","","","",""
"","","","","","","","","","","","","100","base","refund","","48ZR","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","","True","","","",""
"l10n_ph_tax_purchase_12_s_nr","12% S NR","17","VAT Non Resident Services","12%","purchase","service","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_c","12% C","18","VAT Capital","12%","purchase","consu","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","CAPA","","True","","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","CAPB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","CAPA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","CAPB","True","","","",""
"l10n_ph_tax_purchase_12_i","12% I","19","VAT Imports","12%","purchase","consu","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","46A","","True","","l10n_ph_fiscal_position_foreign","l10n_ph_tax_purchase_12,l10n_ph_tax_purchase_0_zr,l10n_ph_tax_purchase_0_exempt,l10n_ph_tax_purchase_0_exempt_i"
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","46B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","46A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","46B","True","","","",""
"l10n_ph_tax_purchase_12_ncr","12% NCR","20","VAT not directly attributable","12%","purchase","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","53A","","True","","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","53B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","53A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","53B","True","","","",""
"l10n_ph_tax_purchase_4_pit","4% PIT","21","Presumptive Input Tax","4%","purchase","","percent","4","l10n_ph_tax_group_vatable","False","","100","base","invoice","","41A","","False","","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","41B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","41A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","41B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ds_vat","12% FWVAT DS","79","Final Withholding VAT on Purchase of Digital Service consumed in the Philippines from the non-resident digital service providers (Private Withholding Agent)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV080","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_em_vat","12% FWVAT EM","81","Final Withholding VAT on the gross amount by resident e-marketplace to the non-resident sellers/merchants for the digital services sold/paid through their platform/facility","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV100","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_lg_vat","12% FWVAT LG","83","Final Withholding VAT on Payments for lease or use of properties or property rights owned by nonresidents (Government Withholding Agent)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV040","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_l_vat","12% FWVAT L","85","Final Withholding VAT on Payments for lease or use of properties or property rights owned by nonresidents (Private Withholding Agent)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV050","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_nrg_vat","12% FWVAT NRG","87","Final Withholding VAT on Other Services rendered in the Philippines by non-residents (Government Withholding Agent)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV060","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_nr_vat","12% FWVAT NR","89","Final Withholding VAT on Other Services rendered in the Philippines by non-residents (Private Withholding Agent)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV070","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ds_g_vat","12% FWVAT DS G","91","Final Withholding VAT on Purchase of Digital Service consumed in the Philippines from non-residents digital service providers (Government Withholding Agent)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV090","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_pc_vat","12% FWVAT PC","93","VAT Withholding on Purchases of Goods (with waiver of privilege to claim input tax credit) (creditable)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV012","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_pf_vat","12% FWVAT PF","95","VAT Withholding on Purchases of Goods (with waiver of privilege to claim input tax credit) (final)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV014","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ps_c_vat","12% FWVAT PS C","97","VAT Withholding on Purchases of Services (with waiver of privilege to claim input tax credit) (creditable)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV022","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ps_f_vat","12% FWVAT PS F","99","VAT Withholding on Purchases of Services (with waiver of privilege to claim input tax credit) (final)","12%","none","","percent","12","l10n_ph_tax_group_vatable","False","","100","base","invoice","","45A","","True","WV024","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106010","45B","True","","","",""
"","","","","","","","","","","","","100","base","refund","","45A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106010","45B","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ds_rc","12% FWVAT DS RC","80","Final WH VAT-Digital Services (Private Agent)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV080","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_em_rc","12% FWVAT EM RC","82","Final WH VAT-E-Marketplace Non-Res Sellers","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV100","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_lg_rc","12% FWVAT LG RC","84","Final WH VAT-Lease/Use of Property (Govt Agent)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV040","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_l_rc","12% FWVAT L RC","86","Final WH VAT-Lease/Use of Property (Priv Agent)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV050","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_nrg_rc","12% FWVAT NRG RC","88","Final WH VAT-Other Non-Res Services (Govt Agent)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV060","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_nr_rc","12% FWVAT NR RC","90","Final WH VAT-Other Non-Res Services (Priv Agent)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV070","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ds_g_rc","12% FWVAT DS G RC","92","Final WH VAT-Digital Services (Government)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV090","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_pc_rc","12% FWVAT PC RC","94","VAT Withholding on Purchases of Goods (creditable)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604A||1600VTA","","True","WV012","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604B||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604A||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604B||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_pf_rc","12% FWVAT PF RC","96","VAT Withholding on Purchases of Goods (final)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV014","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ps_c_rc","12% FWVAT PS C RC","98","VAT Withholding on Purchases of Services (credit)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604A||1600VTA","","True","WV022","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604B||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604A||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604B||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ps_f_rc","12% FWVAT PS F RC","100","VAT Withholding on Purchases of Services (final)","12%","purchase","","percent","-12","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604FA||1600VTA","","True","WV024","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604FA||1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206040","1601/1604FB||1600VTB","True","","","",""
"l10n_ph_tax_purchase_12_fwvat_ds","12% FWVAT DS","22","Final Withholding VAT on Purchase of Digital Service consumed in the Philippines from the non-resident digital service providers (Private Withholding Agent)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_ds_vat,l10n_ph_tax_purchase_12_fwvat_ds_rc","","","","","","","True","WV080","",""
"l10n_ph_tax_purchase_12_fwvat_em","12% FWVAT EM","23","Final Withholding VAT on the gross amount by resident e-marketplace to the non-resident sellers/merchants for the digital services sold/paid through their platform/facility","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_em_vat,l10n_ph_tax_purchase_12_fwvat_em_rc","","","","","","","True","WV100","",""
"l10n_ph_tax_purchase_12_fwvat_lg","12% FWVAT LG","24","Final Withholding VAT on Payments for lease or use of properties or property rights owned by nonresidents (Government Withholding Agent)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_lg_vat,l10n_ph_tax_purchase_12_fwvat_lg_rc","","","","","","","False","WV040","",""
"l10n_ph_tax_purchase_12_fwvat_l","12% FWVAT L","25","Final Withholding VAT on Payments for lease or use of properties or property rights owned by nonresidents (Private Withholding Agent)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_l_vat,l10n_ph_tax_purchase_12_fwvat_l_rc","","","","","","","False","WV050","",""
"l10n_ph_tax_purchase_12_fwvat_nrg","12% FWVAT NRG","26","Final Withholding VAT on Other Services rendered in the Philippines by non-residents (Government Withholding Agent)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_nrg_vat,l10n_ph_tax_purchase_12_fwvat_nrg_rc","","","","","","","False","WV060","",""
"l10n_ph_tax_purchase_12_fwvat_nr","12% FWVAT NR","27","Final Withholding VAT on Other Services rendered in the Philippines by non-residents (Private Withholding Agent)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_nr_vat,l10n_ph_tax_purchase_12_fwvat_nr_rc","","","","","","","False","WV070","",""
"l10n_ph_tax_purchase_12_fwvat_ds_g","12% FWVAT DS G","28","Final Withholding VAT on Purchase of Digital Service consumed in the Philippines from non-residents digital service providers (Government Withholding Agent)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_ds_g_vat,l10n_ph_tax_purchase_12_fwvat_ds_g_rc","","","","","","","False","WV090","",""
"l10n_ph_tax_purchase_12_fwvat_pc","12% FWVAT PC","29","VAT Withholding on Purchases of Goods (with waiver of privilege to claim input tax credit) (creditable)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_pc_vat,l10n_ph_tax_purchase_12_fwvat_pc_rc","","","","","","","False","WV012","",""
"l10n_ph_tax_purchase_12_fwvat_pf","12% FWVAT PF","30","VAT Withholding on Purchases of Goods (with waiver of privilege to claim input tax credit) (final)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_pf_vat,l10n_ph_tax_purchase_12_fwvat_pf_rc","","","","","","","False","WV014","",""
"l10n_ph_tax_purchase_12_fwvat_ps_c","12% FWVAT PS C","31","VAT Withholding on Purchases of Services (with waiver of privilege to claim input tax credit) (creditable)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_ps_c_vat,l10n_ph_tax_purchase_12_fwvat_ps_c_rc","","","","","","","False","WV022","",""
"l10n_ph_tax_purchase_12_fwvat_ps_f","12% FWVAT PS F","32","VAT Withholding on Purchases of Services (with waiver of privilege to claim input tax credit) (final)","12%","purchase","","group","100","l10n_ph_tax_group_vatable","False","l10n_ph_tax_purchase_12_fwvat_ps_f_vat,l10n_ph_tax_purchase_12_fwvat_ps_f_rc","","","","","","","False","WV024","",""
"l10n_ph_tax_sale_5_wvat10","5% WVAT","33","VAT Withheld by the government or any of its political subdivisions, instrumentalities, or agencies including GOCCs","5%","sale","consu","percent","-5","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1600VTA","","False","WV010","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206010","16B||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206010","16B||1600VTB","True","","","",""
"l10n_ph_tax_sale_5_wvat20","5% WVAT","34","VAT Withheld by the government or any of its political subdivisions, instrumentalities, or agencies including GOCCs","5%","sale","service","percent","-5","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1600VTA","","False","WV020","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206010","16B||1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206010","16B||1600VTB","True","","","",""
"l10n_ph_tax_purchase_5_wvat10","5% WVAT","35","VAT Withheld by the government or any of its political subdivisions, instrumentalities, or agencies including GOCCs","5%","purchase","consu","percent","-5","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1600VTA","","False","WV010","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_202020","1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_202020","1600VTB","True","","","",""
"l10n_ph_tax_purchase_5_wvat20","5% WVAT","36","VAT Withheld by the government or any of its political subdivisions, instrumentalities, or agencies including GOCCs","5%","purchase","service","percent","-5","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1600VTA","","False","WV020","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_202020","1600VTB","True","","","",""
"","","","","","","","","","","","","100","base","refund","","1600VTA","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_202020","1600VTB","True","","","",""
"l10n_ph_tax_purchase_10_wi011","10% WI011","37","Prof Fees","10%","purchase","","percent","-10","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604A","","True","WI011","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206020","1601/1604B","False","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206020","1601/1604B","False","","","",""
"l10n_ph_tax_purchase_10_wi011_exempt","10% WI011 EXEMPT","38","Prof Fees (Exempted)","Exempt","purchase","","percent","0","l10n_ph_tax_group_withholding_tax","False","","100","base","invoice","","1601/1604EX","","False","WI011","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206020","","False","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604EX","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206020","","False","","","",""
"l10n_ph_tax_sale_10_wi011","10% WI011","39","Prof Fees","10%","sale","","percent","-10","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1701/1702A","","True","WI011","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106030","1701/1702B","False","","","",""
"","","","","","","","","","","","","100","base","refund","","1701/1702A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_106030","1701/1702B","False","","","",""
"l10n_ph_tax_purchase_5_wi100","5% WI100","40","Gross rental of property","5%","purchase","","percent","-5","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1601/1604A","","True","WI100","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206020","1601/1604B","False","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604A","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206020","1601/1604B","False","","","",""
"l10n_ph_tax_purchase_5_wi100_exempt","5% WI100 EXEMPT","41","Gross rental of property (Exempted)","Exempt","purchase","","percent","0","l10n_ph_tax_group_withholding_tax","False","","100","base","invoice","","1601/1604EX","","False","WI100","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_206020","","False","","","",""
"","","","","","","","","","","","","100","base","refund","","1601/1604EX","","","","",""
"","","","","","","","","","","","","100","tax","refund","l10n_ph_account_206020","","False","","","",""
"l10n_ph_tax_sale_5_wi100","5% WI100","42","Gross rental of property","5%","sale","","percent","-5","l10n_ph_tax_group_withholding_tax","True","","100","base","invoice","","1701/1702A","","True","WI100","",""
"","","","","","","","","","","","","100","tax","invoice","l10n_ph_account_106030","1701/1702B","False","","","",""
"","","","","","","","","","","","","100","base","refund","","1701/1702A","","","","",""
