id,code,name,account_type,reconcile,tag_ids/id,chart_template_id:id
il_account_212000,212000,Customer discounts,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_212100,212100,Salary Expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_212200,212200,Purchase of Equipments,expense,FALSE,account.account_tag_investing,il_chart_template
il_account_212300,212300,Bank Fees,expense,FALSE,account.account_tag_financing,il_chart_template
il_account_213000,213000,Customer returns,expense_direct_cost,FALSE,account.account_tag_operating,il_chart_template
il_account_214000,214000,Vendor returns,expense_direct_cost,FALSE,account.account_tag_operating,il_chart_template
il_account_215000,215000,Vendor discounts,expense_direct_cost,FALSE,account.account_tag_operating,il_chart_template
il_account_216000,216000,Good's Shrinkage,expense_direct_cost,FALSE,account.account_tag_operating,il_chart_template
il_account_217000,217000,Lost goods,expense_direct_cost,FALSE,account.account_tag_operating,il_chart_template
il_account_220000,220000,G&A Expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220100,220100,Rent Expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220200,220200,Communication expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220300,220300,Transportation expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220400,220400,Depretiation expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220500,220500,Credit provision expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220600,220600,Sales and marketing expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220700,220700,Other non-operating expenses,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_220800,220800,Bad debts expense,expense,FALSE,account.account_tag_operating,il_chart_template
il_account_300100,300100,Capital,equity,FALSE,,il_chart_template
il_account_300110,300110,Ordinary Shares,equity,FALSE,,il_chart_template
il_account_300120,300120,Preferred Shares,equity,FALSE,,il_chart_template
il_account_300130,300130,Shares Premium,equity,FALSE,,il_chart_template
il_account_300270,300270,current year earnings,equity_unaffected,FALSE,,il_chart_template
