"id","name","code_prefix_start","code_prefix_end","chart_template_id/id","parent_id/id"
"account_group_509","Vărsăminte de efectuat pentru investițiile pe termen scurt","509","","ro_chart_template","account_group_50"
"account_group_51","Conturi la bănci","51","","ro_chart_template","account_group_5"
"account_group_511","Valori de încasat","511","","ro_chart_template","account_group_51"
"account_group_512","Valori de încasat","512","","ro_chart_template","account_group_51"
"account_group_518","Valori de încasat","518","","ro_chart_template","account_group_51"
"account_group_519","Valori de încasat","519","","ro_chart_template","account_group_51"
"account_group_53","Casa","53","","ro_chart_template","account_group_5"
"account_group_531","Casa","531","","ro_chart_template","account_group_53"
"account_group_532","Alte valori","532","","ro_chart_template","account_group_53"
"account_group_54","Acreditive","54","","ro_chart_template","account_group_5"
"account_group_541","Acreditive","541","","ro_chart_template","account_group_54"
"account_group_58","Viramente interne","58","","ro_chart_template","account_group_5"
"account_group_59","Ajustări pentru pierderea de valoare a conturilor de trezorerie","59","","ro_chart_template","account_group_5"
"account_group_6","CONTURI DE CHELTUIELI","6","","ro_chart_template","account_group_cls_67"
"account_group_60","Cheltuieli privind stocurile","60","","ro_chart_template","account_group_6"
"account_group_602","Cheltuieli cu materialele consumabile","602","","ro_chart_template","account_group_60"
"account_group_61","Cheltuieli cu serviciile executate de terți","61","","ro_chart_template","account_group_6"
"account_group_62","Cheltuieli cu alte servicii executate de terți","62","","ro_chart_template","account_group_6"
"account_group_623","Cheltuieli de protocol, reclama si publicitate","623","","ro_chart_template","account_group_62"
"account_group_63","Cheltuieli cu alte impozite, taxe și vărsăminte asimilate","63","","ro_chart_template","account_group_6"
"account_group_635","Cheltuieli cu alte impozite, taxe și vărsăminte asimilate","635","","ro_chart_template","account_group_63"
"account_group_64","Cheltuieli cu personalul","64","","ro_chart_template","account_group_6"
"account_group_642","Cheltuieli cu avantajele în natură și tichetele acordate salariaților","642","","ro_chart_template","account_group_64"
"account_group_645","Cheltuieli privind asigurările și protecția socială","645","","ro_chart_template","account_group_64"
"account_group_65","Alte cheltuieli de exploatare","65","","ro_chart_template","account_group_6"
"account_group_651","Cheltuieli din operațiuni de fiducie","651","","ro_chart_template","account_group_65"
"account_group_658","Alte cheltuieli de exploatare","658","","ro_chart_template","account_group_65"
"account_group_6588","Alte cheltuieli de exploatare","6588","","ro_chart_template","account_group_658"
"account_group_66","Cheltuieli financiare","66","","ro_chart_template","account_group_6"
"account_group_664","Cheltuieli privind investițiile financiare cedate","664","","ro_chart_template","account_group_66"
"account_group_665","Cheltuieli din diferențe de curs valutar","665","","ro_chart_template","account_group_66"
"account_group_68","Cheltuieli cu amortizările, provizioanele și ajustările pentru depreciere sau pierdere de valoare","68","","ro_chart_template","account_group_6"
"account_group_681","Cheltuieli de exploatare privind amortizările, provizioanele și ajustările pentru depreciere","681","","ro_chart_template","account_group_68"
"account_group_686","Cheltuieli financiare privind amortizările, provizioanele și ajustările pentru pierdere de valoare","686","","ro_chart_template","account_group_68"
"account_group_69","Cheltuieli cu impozitul pe profit și alte impozite","69","","ro_chart_template","account_group_6"
"account_group_7","CONTURI DE VENITURI","7","","ro_chart_template","account_group_cls_67"
"account_group_70","Cifra de afaceri netă","70","","ro_chart_template","account_group_7"
"account_group_701","Venituri din vânzarea produselor finite, produselor agricole și a activelor biologice de natura stocurilor","701","","ro_chart_template","account_group_70"
"account_group_71","Venituri aferente costului producției în curs de execuție","71","","ro_chart_template","account_group_7"
"account_group_72","Venituri din producția de imobilizări","72","","ro_chart_template","account_group_7"
"account_group_74","Venituri din subvenții de exploatare","74","","ro_chart_template","account_group_7"
"account_group_741","Venituri din subvenții de exploatare","741","","ro_chart_template","account_group_74"
"account_group_75","Alte venituri din exploatare","75","","ro_chart_template","account_group_7"
"account_group_751","Venituri din operațiuni de fiducie","751","","ro_chart_template","account_group_75"
"account_group_758","Alte venituri din exploatare","758","","ro_chart_template","account_group_75"
"account_group_76","Venituri financiare","76","","ro_chart_template","account_group_7"
"account_group_761","Venituri din imobilizări financiare","761","","ro_chart_template","account_group_76"
"account_group_764","Venituri din investiții financiare cedate","764","","ro_chart_template","account_group_76"
"account_group_765","Venituri din diferențe de curs valutar","765","","ro_chart_template","account_group_76"
"account_group_78","Venituri din provizioane, amortizări și ajustări pentru depreciere sau pierdere de valoare","78","","ro_chart_template","account_group_7"
"account_group_781","Venituri din provizioane și ajustări pentru depreciere privind activitatea de exploatare","781","","ro_chart_template","account_group_78"
"account_group_786","Venituri financiare din amortizări și ajustări pentru pierdere de valoare","786","","ro_chart_template","account_group_78"
