"id","name","code","account_type","reconcile","name@fr"
"pcg_1132","Reserves for free allocation of shares to employees and managers","1132","equity","False","Réserves pour l'attribution gratuite d'actions aux salariés et dirigeants"
"pcg_1133","Reserves resulting from the granting of investment grants","1133","equity","False","Réserves résultant de l'octroi de subventions d'investissement"
"pcg_1134","Reserves of securities giving access to capital","1134","equity","False","Réserves de titres donnant accès au capital"
"pcg_1138","Other regulated reserves","1138","equity","False","Autres réserves réglementées"
"pcg_1181","Optional reservations","1181","equity","False","Réservations facultatives"
"pcg_1188","Miscellaneous reserves","1188","equity","False","Réserves diverses"
"pcg_121","Carry forward creditor","121","equity","False","Créancier reporté"
"pcg_1291","Net loss to be carried forward","1291","equity","False","Perte nette à reporter"
"pcg_1292","Loss - Amortization deemed deferred","1292","equity","False","Perte - Amortissement réputé différé"
"pcg_1301","Result pending allocation: Profit","1301","equity","False","Résultat en attente d'affectation : Bénéfice"
"pcg_1309","Result pending assignment: Loss","1309","equity","False","Résultat en attente d'affectation : Perte"
"pcg_131","Net income: profit","131","equity","False","Revenu net : profit"
"pcg_132","Trade margin (tm)","132","equity","False","Marge commerciale (tm)"
"pcg_133","Added value (a.v.)","133","equity","False","Valeur ajoutee (v.a.)"
"pcg_134","Gross operating surplus (g.o.s.)","134","equity","False","Excédent brut d'exploitation (ebe)"
"pcg_135","Operating income (o.i.)","135","equity","False","Résultat opérationnel (r.o.)"
"pcg_136","Financial result (f.r.)","136","equity","False","Résultat financier (r.f.)"
"pcg_137","Income from ordinary activities (i.o.a.)","137","equity","False","Produits des activités ordinaires (r.i.a.)"
"pcg_1381","Merge result","1381","equity","False","Résultat de la fusion"
"pcg_1382","Result of partial asset contribution","1382","equity","False","Résultat de l'apport partiel d'actif"
"pcg_1383","Split Result","1383","equity","False","Résultat du fractionnement"
"pcg_1384","Liquidation result","1384","equity","False","Résultat de liquidation"
"pcg_139","Net income: loss","139","equity","False","Revenu net : perte"
"pcg_1411","Equipment Grant: State","1411","equity","False","Subvention d'équipement : État"
"pcg_1412","Equipment Grant: Regions","1412","equity","False","Subvention d'équipement : Régions"
"pcg_1413","Equipment Grant: Departments","1413","equity","False","Subvention d'équipement : Départements"
"pcg_1414","Equipment subsidy: Municipalities and decentralized public authorities","1414","equity","False","Subvention d'équipement : Municipalités et autorités publiques décentralisées"
"pcg_1415","Equipment Grant: Public or Mixed Entities","1415","equity","False","Subvention d'équipement : Entités publiques ou mixtes"
"pcg_1416","Equipment Grant: Private Entities and Organizations","1416","equity","False","Subvention d'équipement : Entités et organisations privées"
"pcg_1417","Equipment Grant: International Organizations","1417","equity","False","Subvention d'équipement : Organisations internationales"
"pcg_1418","Equipment Grant: Others","1418","equity","False","Subvention d'équipement : Autres"
"pcg_148","Other investment grants","148","equity","False","D'autres subventions d'investissement"
"pcg_151","Accelerated depreciation","151","liability_current","False","Amortissement accéléré"
"pcg_152","Capital gains to reinvest","152","liability_current","False","Les plus-values à réinvestir"
"pcg_1531","National Fund","1531","liability_current","False","Fonds national"
"pcg_1532","Levy for the Budget","1532","liability_current","False","Prélèvement pour le budget"
"pcg_154","Special revaluation provision","154","liability_current","False","Provision spéciale de réévaluation"
"pcg_1551","Reconstruction of mining and oil deposits","1551","liability_current","False","Reconstruction de gisements miniers et pétroliers"
"pcg_1561","Regulated provision relating to inventories: Price increase","1561","liability_current","False","Provision réglementée relative aux stocks : Augmentation des prix"
"pcg_1562","Regulated provision relating to stocks: Price fluctuation","1562","liability_current","False","Disposition réglementée relative aux stocks : Fluctuation des prix"
"pcg_157","Provisions for investment","157","liability_current","False","Provisions pour investissement"
"pcg_158","Other regulated provisions and funds","158","liability_current","False","Autres dispositions réglementées et fonds"
"pcg_1611","Ordinary bond issues","1611","liability_current","False","Emissions d'obligations ordinaires"
"pcg_1612","Bonds convertible into shares","1612","liability_current","False","Obligations convertibles en actions"
"pcg_1613","Bonds redeemable in shares","1613","liability_current","False","Obligations remboursables en actions"
"pcg_1618","Other bond issues","1618","liability_current","False","Autres émissions obligataires"
"pcg_162","Loans and debts from credit institutions","162","liability_current","False","Emprunts et dettes auprès des établissements de crédit"
"pcg_163","Advances received from the state","163","liability_current","False","Avances reçues de l'état"
"pcg_164","Advances received and blocked current accounts","164","liability_current","False","Avances reçues et comptes courants bloqués"
"pcg_1651","Deposit and guarantees received: Deposits","1651","liability_current","False","Dépôts et garanties reçus : Dépôts"
"pcg_1652","Deposit and guarantees received: Guarantees","1652","liability_current","False","Dépôts et garanties reçus : Garanties"
"pcg_1661","Accrued interest on bond issues","1661","liability_current","False","Intérêts courus sur les émissions obligataires"
"pcg_1662","Accrued interest on borrowings and debts with credit institutions","1662","liability_current","False","Intérêts courus sur emprunts et dettes auprès des établissements de crédit"
"pcg_1663","Accrued interest on advances received from the State","1663","liability_current","False","Intérêts courus sur avances reçues de l'Etat"
"pcg_1664","Accrued interest on advances received and blocked current accounts","1664","liability_current","False","Intérêts courus sur avances reçues et comptes courants bloqués"
"pcg_1665","Accrued interest on deposits and guarantees received","1665","liability_current","False","Intérêts courus sur cautions et cautionnements reçus"
"pcg_1667","Accrued interest on advances subject to special conditions","1667","liability_current","False","Intérêts courus sur avances soumises à des conditions particulières"
"pcg_1668","Accrued interest on other borrowings and debts","1668","liability_current","False","Intérêts courus sur autres emprunts et dettes"
"pcg_1671","Advances blocked for capital increase","1671","liability_current","False","Avances bloquées pour augmentation de capital"
"pcg_1672","State Conditional Advances","1672","liability_current","False","Avances conditionnelles de l'État"
"pcg_1673","Advances conditional on other African agencies","1673","liability_current","False","Avances conditionnées aux autres agences africaines"
"pcg_1674","Advances conditional on international organizations","1674","liability_current","False","Avances conditionnées aux organismes internationaux"
"pcg_1681","Capitalized life annuities for loans and debts","1681","liability_current","False","Rentes viagères capitalisées pour les prêts et les dettes"
"pcg_1682","Fund notes for borrowings and debts","1682","liability_current","False","Notes de fonds pour emprunts et dettes"
"pcg_1683","Debts resulting from borrowed securities","1683","liability_current","False","Dettes résultant de titres empruntés"
"pcg_1684","Equity loans","1684","liability_current","False","Prêts participatifs"
"pcg_1685","Employee profit-sharing for loans and debts","1685","liability_current","False","Participation des salariés aux prêts et dettes"
"pcg_1686","Loans and debts contracted with other third parties","1686","liability_current","False","Emprunts et dettes contractés avec d'autres tiers"
"pcg_172","Rental-purchase debts / real estate credit-lease","172","liability_current","False","Dettes de location-achat / crédit-bail immobilier"
"pcg_173","Rental-purchase debts / furniture credit-lease","173","liability_current","False","Dettes de location-achat / crédit-bail mobilier"
"pcg_174","Lease-purchase / lease-sale debts","174","liability_current","False","Dettes en location-achat / location-vente"
"pcg_1762","Accrued interest on capital lease liabilities / real estate leasing","1762","liability_current","False","Intérêts courus sur dettes de crédit-bail / crédit-bail immobilier"
"pcg_1763","Accrued interest on capital lease/equipment leasing debts","1763","liability_current","False","Intérêts courus sur les dettes de crédit-bail/crédit-bail"
"pcg_1764","Interest accrued on lease-purchase / hire-purchase debts","1764","liability_current","False","Intérêts courus sur les dettes de crédit-bail / location-vente"
"pcg_1768","Accrued interest on other capital lease liabilities","1768","liability_current","False","Intérêts courus sur autres dettes de location-acquisition"
"pcg_178","Other lease-purchase debts","178","liability_current","False","Autres dettes de location-achat"
"pcg_1811","Debts related to equity interests (group)","1811","liability_current","False","Dettes liées aux participations (groupe)"
"pcg_1812","Debts related to equity interests (outside the group)","1812","liability_current","False","Dettes liées à des participations (hors groupe)"
"pcg_182","Debts related to participating companies","182","liability_current","False","Coûts d'obtention du contrat"
"pcg_183","Accrued interest on debts related to shareholdings","183","liability_current","False","Intérêts courus sur dettes rattachées à des participations"
"pcg_184","Blocked permanent accounts of establishments and branches","184","liability_current","False","Comptes permanents bloqués des établissements et succursales"
"pcg_185","Unblocked permanent accounts of establishments and branches","185","liability_current","False","Comptes permanents non bloqués des établissements et succursales"
"pcg_186","Charged liaison accounts","186","liability_current","False","Comptes de liaison chargés"
"pcg_187","Product link accounts","187","liability_current","False","Comptes de liaison de produits"
"pcg_188","Liaison accounts of participating companies","188","liability_current","False","Comptes de liaison des entreprises participantes"
"pcg_191","Provisions for litigation","191","liability_current","False","Les provisions pour litiges"
"pcg_192","Provisions for guarantees given to customers","192","liability_current","False","Provision provision pour garantie pour le client"
"pcg_193","provisions for losses on future completion markets","193","liability_current","False","Provisions pour pertes sur les marchés d'achèvement futurs"
"pcg_194","Provisions for exchange losses","194","liability_current","False","Provision pour perte de change"
"pcg_195","Provisions for taxes","195","liability_current","False","Provisions pour impôts"
"pcg_1961","Provisions for pensions and similar obligations – retirement commitment","1961","liability_current","False","Provisions pour pensions et obligations similaires - engagement de retraite"
"pcg_1962","Pension plan assets","1962","liability_current","False","Actifs du régime de retraite"
"pcg_197","Provisions for restructuring","197","liability_current","False","Provisions pour restructuration"
"pcg_1981","Provisions for fines and penalties","1981","liability_current","False","Provisions pour amendes et pénalités"
"pcg_1983","Self-insurer provisions","1983","liability_current","False","Dispositions relatives aux auto-assureurs"
"pcg_1984","Provisions for dismantling and restoration","1984","liability_current","False","Provisions pour le démantèlement et la remise en état"
"pcg_1985","Provisions for reduction rights or benefits in kind (gift vouchers, loyalty cards, etc.)","1985","liability_current","False","Dispositions relatives aux droits à réduction ou aux avantages en nature (chèques-cadeaux, cartes de fidélité, etc.)"
"pcg_1988","Provisions for miscellaneous risks and charges","1988","liability_current","False","Provisions pour risques et charges divers"
"pcg_211","Development costs","211","asset_fixed","False","Frais de développement"
"pcg_2121","Patents","2121","asset_fixed","False","Brevets"
"pcg_2122","Licences","2122","asset_fixed","False","Licences"
"pcg_2123","Public service concessions","2123","asset_fixed","False","Concessions de services publics"
"pcg_2128","Other concessions and similar rights","2128","asset_fixed","False","Autres concessions et droits similaires"
"pcg_2131","Software","2131","asset_fixed","False","Logiciel"
"pcg_2132","Websites","2132","asset_fixed","False","Sites web"
"pcg_214","Brands","214","asset_fixed","False","Marques"
"pcg_215","Commercial funds","215","asset_fixed","False","Fonds commerciaux"
"pcg_216","Right to lease","216","asset_fixed","False","Droit de louer"
"pcg_217","Creative investments","217","asset_fixed","False","Investissements créatifs"
"pcg_2181","Mineral resource exploration and evaluation costs","2181","asset_fixed","False","Coûts d'exploration et d'évaluation des ressources minérales"
"pcg_2182","Costs of obtaining the contract","2182","asset_fixed","False","Coûts d'obtention du contrat"
"pcg_2183","Customer files, notices, newspaper and magazine titles","2183","asset_fixed","False","Fichiers clients, avis, titres de journaux et de magazines"
"pcg_2184","Franchise costs","2184","asset_fixed","False","Coûts de franchise"
"pcg_2188","Various intangible rights and values","2188","asset_fixed","False","Divers droits et valeurs immatériels"
"pcg_2191","Development costs","2191","asset_fixed","False","Frais de développement"
"pcg_2193","Software and websites","2193","asset_fixed","False","Logiciels et sites web"
"pcg_2198","Other intangible rights and values","2198","asset_fixed","False","Autres droits et valeurs incorporels"
"pcg_2211","Agricultural land","2211","asset_fixed","False","Terre agricole"
"pcg_2212","Logging lands","2212","asset_fixed","False","Terres forestières"
"pcg_2218","Other land","2218","asset_fixed","False","Autres terres"
"pcg_2221","Building plots","2221","asset_fixed","False","Terrains à bâtir"
"pcg_2228","Other bare land","2228","asset_fixed","False","Autres frais bancaires"
"pcg_2231","Built land for industrial and agricultural buildings","2231","asset_fixed","False","Terrains bâtis pour les bâtiments industriels et agricoles"
"pcg_2232","Built land for administrative and commercial buildings","2232","asset_fixed","False","Terrains bâtis pour les bâtiments administratifs et commerciaux"
"pcg_2234","Built land for buildings assigned to other professional operations","2234","asset_fixed","False","Terrains bâtis pour les bâtiments affectés à d'autres opérations professionnelles"
"pcg_2235","Built land for buildings assigned to other non-professional operations","2235","asset_fixed","False","Terrains bâtis pour les bâtiments affectés à d'autres opérations non professionnelles"
"pcg_2238","Other built land","2238","asset_fixed","False","Autres terrains bâtis"
"pcg_2241","Planting trees and shrubs","2241","asset_fixed","False","Plantation d'arbres et d'arbustes"
"pcg_2245","Fund improvements","2245","asset_fixed","False","Améliorations du fonds"
"pcg_2248","Other works","2248","asset_fixed","False","Autres travaux"
"pcg_2251","Careers","2251","asset_fixed","False","Carrières"
"pcg_2261","Parkings","2261","asset_fixed","False","Parkings"
"pcg_227","Concession lands","227","asset_fixed","False","Terres concédées"
"pcg_2281","Land - investment properties","2281","asset_fixed","False","Terrain - immeubles de placement"
"pcg_2285","Staff housing land","2285","asset_fixed","False","Terrain pour le logement du personnel"
"pcg_2286","Rental land - acquisition","2286","asset_fixed","False","Terrain à louer - acquisition"
"pcg_2288","Divers terrains","2288","asset_fixed","False","Terrains divers"
"pcg_2291","Various terrains","2291","asset_fixed","False","Différents terrains"
"pcg_2292","Bare land for land development in progress","2292","asset_fixed","False","Terrain nu pour aménagement foncier en cours"
"pcg_2295","Quarry land - subsoil for ongoing land development","2295","asset_fixed","False","Terrains de carrières - sous-sol pour l'aménagement du territoire en cours"
"pcg_2298","Other land for ongoing land development","2298","asset_fixed","False","Autres terrains pour l'aménagement en cours"
"pcg_2311","Industrial buildings","2311","asset_fixed","False","Bâtiments industriels"
"pcg_2312","Agricultural buildings","2312","asset_fixed","False","Bâtiments agricoles"
"pcg_2313","Administrative and commercial buildings","2313","asset_fixed","False","Bâtiments administratifs et commerciaux"
"pcg_2314","Buildings used for staff accommodation","2314","asset_fixed","False","Bâtiments utilisés pour le logement du personnel"
"pcg_2315","Buildings - investment properties","2315","asset_fixed","False","Bâtiments - immeubles de placement"
"pcg_2316","Rental buildings - acquisition","2316","asset_fixed","False","Immeubles locatifs - acquisition"
"pcg_2321","Industrial buildings","2321","asset_fixed","False","Bâtiments industriels"
"pcg_2322","Agricultural buildings","2322","asset_fixed","False","Bâtiments agricoles"
"pcg_2323","Administrative and commercial buildings","2323","asset_fixed","False","Bâtiments administratifs et commerciaux"
"pcg_2324","Buildings assigned to staff accommodation","2324","asset_fixed","False","Bâtiments affectés au logement du personnel"
"pcg_2325","Buildings - investment properties","2325","asset_fixed","False","Bâtiments - immeubles de placement"
"pcg_2326","Rental buildings - acquisition","2326","asset_fixed","False","Immeubles locatifs - acquisition"
"pcg_2331","Overland","2331","asset_fixed","False","Sur le territoire"
"pcg_2332","Railway tracks","2332","asset_fixed","False","Voies ferrées"
"pcg_2333","Waterways","2333","asset_fixed","False","Voies navigables"
"pcg_2334","Dams, Dykes","2334","asset_fixed","False","Barrages, digues"
"pcg_2335","Airfield runways","2335","asset_fixed","False","Pistes d'aérodrome"
"pcg_2338","Other infrastructure works","2338","asset_fixed","False","Autres travaux d'infrastructure"
"pcg_2341","Specialized complex installations on clean ground","2341","asset_fixed","False","Installations complexes spécialisées sur terrain propre"
"pcg_2342","Specialized complex installations on third-party soil","2342","asset_fixed","False","Installations complexes spécialisées sur terrain propre"
"pcg_2343","Specific installations on clean ground","2343","asset_fixed","False","Installations spécifiques sur terrain propre"
"pcg_2344","Installations of a specific nature on third-party soil","2344","asset_fixed","False","Installations à caractère particulier sur sol tiers"
"pcg_2345","Fixtures and fittings of buildings","2345","asset_fixed","False","Installations et équipements des bâtiments"
"pcg_2351","General facilities","2351","asset_fixed","False","Installations générales"
"pcg_2358","Other office layouts","2358","asset_fixed","False","Autres aménagements de bureaux"
"pcg_237","Industrial, agricultural and commercial buildings under concession","237","asset_fixed","False","Bâtiments industriels, agricoles et commerciaux sous concession"
"pcg_238","Other facilities and arrangements","238","asset_fixed","False","D'autres installations et arrangements"
"pcg_2391","Buildings in progress","2391","asset_fixed","False","Bâtiments en cours de construction"
"pcg_2392","Installations in progress","2392","asset_fixed","False","Installations en cours"
"pcg_2393","Infrastructure works in progress","2393","asset_fixed","False","Travaux d'infrastructures en cours"
"pcg_2394","Fittings, fittings and technical installations in progress","2394","asset_fixed","False","Equipements, aménagements et installations techniques en cours"
"pcg_2395","Office developments in progress","2395","asset_fixed","False","Développements de bureaux en cours"
"pcg_2398","Other installations and fittings in progress","2398","asset_fixed","False","Autres installations et aménagements en cours"
"pcg_2411","Industrial material","2411","asset_fixed","False","Matériel industriel"
"pcg_2412","Industrial tools","2412","asset_fixed","False","Outils industriels"
"pcg_2413","Commercial material","2413","asset_fixed","False","Matériel commercial"
"pcg_2414","Commercial tools","2414","asset_fixed","False","Outils commerciaux"
"pcg_2416","Industrial and commercial equipment and tools for rental – acquisition","2416","asset_fixed","False","Équipements et outillages industriels et commerciaux en location – acquisition"
"pcg_2421","Agricultural material","2421","asset_fixed","False","Matériel agricole"
"pcg_2422","Agricultural tools","2422","asset_fixed","False","Outils agricoles"
"pcg_2426","Rental agricultural equipment and tools – acquisition","2426","asset_fixed","False","Location de matériel et d'outils agricoles - acquisition"
"pcg_243","Recoverable and identifiable packing material","243","asset_fixed","False","Matériel d'emballage récupérable et identifiable"
"pcg_2441","Office supplies","2441","asset_fixed","False","Fournitures de bureau"
"pcg_2442","Hardware","2442","asset_fixed","False","Matériel informatique"
"pcg_2443","Office equipment","2443","asset_fixed","False","Matériel de bureau"
"pcg_2444","Office furniture","2444","asset_fixed","False","Mobilier de bureau"
"pcg_2445","Equipment and furniture - investment properties","2445","asset_fixed","False","Équipement et mobilier - immeubles de placement"
"pcg_2446","Rental equipment and furniture - acquisition","2446","asset_fixed","False","Matériel et mobilier de location - acquisition"
"pcg_2447","Staff accommodation equipment and furniture","2447","asset_fixed","False","Équipement et mobilier pour le logement du personnel"
"pcg_2451","automotive equipment","2451","asset_fixed","False","équipement automobile"
"pcg_2452","Railway equipment","2452","asset_fixed","False","Matériel ferroviaire"
"pcg_2453","River and lagoon equipment","2453","asset_fixed","False","Équipement pour les rivières et les lagons"
"pcg_2454","Naval equipment","2454","asset_fixed","False","Équipement naval"
"pcg_2455","Aerial equipment","2455","asset_fixed","False","Matériel aérien"
"pcg_2456","Rental transport equipment - acquisition","2456","asset_fixed","False","Location de matériel de transport - acquisition"
"pcg_2457","Horse-drawn equipment","2457","asset_fixed","False","Matériel tiré par des chevaux"
"pcg_2458","Other transport equipment","2458","asset_fixed","False","Autres équipements de transport"
"pcg_2461","Livestock, draft animals","2461","asset_fixed","False","Bétail, animaux de trait"
"pcg_2462","Livestock, breeding animals","2462","asset_fixed","False","Bétail, animaux reproducteurs"
"pcg_2463","Guard animals","2463","asset_fixed","False","Animaux de garde"
"pcg_2465","Agricultural plantations","2465","asset_fixed","False","Plantations agricoles"
"pcg_2468","Other biological assets","2468","asset_fixed","False","Autres actifs biologiques"
"pcg_2471","Equipment layouts and fittings","2471","asset_fixed","False","Disposition et équipement des équipements"
"pcg_2472","Arrangements and fittings of biological assets","2472","asset_fixed","False","Aménagements et aménagements des actifs biologiques"
"pcg_2478","Other fittings, fittings of biological materials and assets","2478","asset_fixed","False","Autres équipements, équipements de matériels et actifs biologiques"
"pcg_2481","Collections and works of art","2481","asset_fixed","False","Collections et œuvres d'art"
"pcg_2488","Various equipment and furniture","2488","asset_fixed","False","Équipements et mobilier divers"
"pcg_2491","Industrial and commercial equipment and tools","2491","asset_fixed","False","Équipements et outils industriels et commerciaux"
"pcg_2492","Agricultural equipment and tools","2492","asset_fixed","False","Matériels et outillages agricoles"
"pcg_2493","Recoverable and identifiable packaging material","2493","asset_fixed","False","Matériaux d'emballage récupérables et identifiables"
"pcg_2494","Office equipment and furniture","2494","asset_fixed","False","Matériel et mobilier de bureau"
"pcg_2495","Transportation equipment","2495","asset_fixed","False","Matériel de transport"
"pcg_2496","Biological assets","2496","asset_fixed","False","Actifs biologiques"
"pcg_2497","Fixtures and fittings for equipment and biological assets","2497","asset_fixed","False","Agencements et installations pour les équipements et les actifs biologiques"
"pcg_2498","Other biological materials and assets","2498","asset_fixed","False","Autres matériels et actifs biologiques"
"pcg_251","Advances and deposits paid on intangible assets","251","asset_fixed","False","Avances et acomptes versés sur immobilisations incorporelles"
"pcg_252","Advances and deposits paid on property, plant and equipment","252","asset_fixed","False","avances et acomptes versés sur immobilisations corporelles"
"pcg_261","Investments in entities under exclusive control","261","asset_fixed","False","Participations dans les entités sous contrôle exclusif"
"pcg_262","Investments in jointly controlled entities","262","asset_fixed","False","Participations dans des entités contrôlées conjointement"
"pcg_263","Investments in entities with significant influence","263","asset_fixed","False","Investissements dans des entités ayant une influence significative"
"pcg_265","Shareholdings in professional bodies","265","asset_fixed","False","Participations dans des organismes professionnels"
"pcg_266","Shares in economic interest groupings (eigs)","266","asset_fixed","False","Shares in economic interest groupings (eigs)"
"pcg_268","Other equity investments","268","asset_fixed","False","Autres investissements en actions"
"pcg_2711","Equity loans","2711","asset_fixed","False","Prêts participatifs"
"pcg_2712","Loans to partners","2712","asset_fixed","False","Prêts aux partenaires"
"pcg_2713","Fund Notes","2713","asset_fixed","False","Notes du Fonds"
"pcg_2714","Finance lease receivables","2714","asset_fixed","False","Créances de location-financement"
"pcg_2715","Securities on loan","2715","asset_fixed","False","Titres prêtés"
"pcg_2718","Other loans and receivables","2718","asset_fixed","False","Autres prêts et créances"
"pcg_2721","Real estate loans","2721","asset_fixed","False","Prêts immobiliers"
"pcg_2722","Movable and installation loans","2722","asset_fixed","False","Prêts mobiliers et prêts d'installation"
"pcg_2728","Other loans to staff","2728","asset_fixed","False","Autres prêts au personnel"
"pcg_2731","Holdbacks","2731","asset_fixed","False","Retenues"
"pcg_2733","Regulated Fund","2733","asset_fixed","False","Fonds réglementé"
"pcg_2734","Receivables from the grantor","2734","asset_fixed","False","Créances sur le concédant"
"pcg_2738","Other receivables from the State","2738","asset_fixed","False","Autres créances sur l'État"
"pcg_2741","Fixed assets of the portfolio activity (F.A.P.A.)","2741","asset_fixed","False","Immobilisations de l'activité du portefeuille (I.A.P)"
"pcg_2742","Equity securities","2742","asset_fixed","False","Titres de participation"
"pcg_2743","Investment certificates","2743","asset_fixed","False","Certificats d'investissement"
"pcg_2744","Mutual fund units (M.F.U.)","2744","asset_fixed","False","Unités de fonds communs de placement (U.F.M.)"
"pcg_2745","Obligations","2745","asset_fixed","False","Obligations"
"pcg_2746","Own shares or units","2746","asset_fixed","False","Actions ou parts propres"
"pcg_2748","Other fixed assets","2748","asset_fixed","False","Autres immobilisations"
"pcg_2751","Advance Rent Deposits","2751","asset_fixed","False","Cautions de loyer anticipées"
"pcg_2752","Deposits for electricity","2752","asset_fixed","False","Dépôts pour l'électricité"
"pcg_2753","Deposits for water","2753","asset_fixed","False","Dépôts pour l'eau"
"pcg_2754","Deposits for gas","2754","asset_fixed","False","Dépôts pour le gaz"
"pcg_2755","Deposits for telephone, telex, fax","2755","asset_fixed","False","Dépôts pour téléphone, télex, fax"
"pcg_2756","Bonds on public contracts","2756","asset_fixed","False","Obligations émises par l'entité et remboursées par elle"
"pcg_2757","Guarantees on other operations","2757","asset_fixed","False","Garanties sur d'autres opérations"
"pcg_2758","Other deposits and guarantees","2758","asset_fixed","False","Autres dépôts et garanties"
"pcg_2761","Loans and non-trade receivables","2761","asset_fixed","False","Prêts et créances non commerciales"
"pcg_2762","Loans to staff","2762","asset_fixed","False","Prêts au personnel"
"pcg_2763","Receivables from the State","2763","asset_fixed","False","Créances sur l'État"
"pcg_2764","Fixed assets","2764","asset_fixed","False","Actifs immobilisés"
"pcg_2765","Deposits and guarantees paid","2765","asset_fixed","False","Dépôts et garanties versés"
"pcg_2766","Finance lease receivables","2766","asset_fixed","False","Créances de location-financement"
"pcg_2767","Receivables related to equity investments","2767","asset_fixed","False","Créances liées aux participations"
"pcg_2768","Miscellaneous financial assets","2768","asset_fixed","False","Actifs financiers divers"
"pcg_2771","Receivables from investments (group)","2771","asset_fixed","False","Créances sur les participations (groupe)"
"pcg_2772","Receivables related to investments (non-group)","2772","asset_fixed","False","Créances liées à des investissements (hors groupe)"
"pcg_2773","Receivables related to joint ventures","2773","asset_fixed","False","Créances liées à des coentreprises"
"pcg_2774","Advances to Economic Interest Groups (E.I.G.)","2774","asset_fixed","False","Avances aux Groupes d'Intérêt Economique (G.I.E.)"
"pcg_2781","Miscellaneous group receivables","2781","asset_fixed","False","Créances diverses du groupe"
"pcg_2782","Miscellaneous non-group receivables","2782","asset_fixed","False","Créances diverses hors groupe"
"pcg_2784","Banks term deposits","2784","asset_fixed","False","Dépôts à terme des banques"
"pcg_2785","Gold and precious metals","2785","asset_fixed","False","Or et métaux précieux"
"pcg_2788","Other financial assets","2788","asset_fixed","False","Autres actifs financiers"
"pcg_2811","Amortization of development costs","2811","asset_fixed","False","Amortissement des frais de développement"
"pcg_2812","Amortization of patents, licenses, concessions and similar rights","2812","asset_fixed","False","Amortissement des brevets, licences, concessions et droits similaires"
"pcg_2813","Amortization of software and websites","2813","asset_fixed","False","Amortissement des logiciels et des sites Web"
"pcg_2814","Amortization of trademarks","2814","asset_fixed","False","Amortissement des marques"
"pcg_2815","Amortization of goodwill","2815","asset_fixed","False","Amortissement de l'écart d'acquisition"
"pcg_2816","Amortization of leasehold rights","2816","asset_fixed","False","Amortissement des droits au bail"
"pcg_2817","Amortization of start-up investments","2817","asset_fixed","False","Amortissement des investissements de démarrage"
"pcg_2818","Amortization of other intangible rights and assets","2818","asset_fixed","False","Amortissement des autres droits et actifs incorporels"
"pcg_2824","Depreciation of land reclamation work","2824","asset_fixed","False","Amortissement des travaux de remise en état des terres"
"pcg_2831","Depreciation of industrial, agricultural, administrative and commercial buildings on own land","2831","asset_fixed","False","Amortissement des bâtiments industriels, agricoles, administratifs et commerciaux sur un terrain propre"
"pcg_2832","Depreciation of industrial, agricultural, administrative and commercial buildings on undeveloped land","2832","asset_fixed","False","Amortissement des bâtiments industriels, agricoles, administratifs et commerciaux sur des terrains non bâtis"
"pcg_2833","Depreciation of infrastructure works","2833","asset_fixed","False","Amortissement des travaux d'infrastructure"
"pcg_2834","Amortization of fixtures, fittings and technical installations","2834","asset_fixed","False","Amortissement des agencements, agencements et installations techniques"
"pcg_2835","Depreciation of office fittings","2835","asset_fixed","False","Amortissement des équipements de bureau"
