"id","name","description","invoice_label","sequence","type_tax_use","tax_scope","amount","amount_type","active","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@de","fiscal_position_ids","original_tax_ids"
"account_tax_template_sales_add7_code007","7% Ust Add","UST_007 Additional tax rate 7% (LWB/FWB)","7%","100","sale","","7.0","percent","False","","base","invoice","+KZ 000||+KZ 007 Bemessungsgrundlage","","","UST_007 Zusatzsteuersatz 7% (LWB/FWB)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 007 Umsatzsteuer","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 000||-KZ 007 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 007 Umsatzsteuer","chart_at_template_3505","","","",""
"account_tax_template_sales_self_20_code022","20% Ust C","UST_022 Normal tax rate 20% (own consumption)","20%","100","sale","","20.0","percent","","tax_group_20","base","invoice","+KZ 001||+KZ 022 Bemessungsgrundlage","","","UST_022 Normalsteuersatz 20% (Eigenverbrauch)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 022 Umsatzsteuer","chart_at_template_3500","","","",""
"","","","","","","","","","","","base","refund","-KZ 001||-KZ 022 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 022 Umsatzsteuer","chart_at_template_3500","","","",""
"account_tax_template_sales_self_10_code029","10% Ust R O C","UST_029 reduced tax rate 10% (own consumption)","10%","100","sale","","10.0","percent","","tax_group_10","base","invoice","+KZ 001||+KZ 029 Bemessungsgrundlage","","","UST_029 ermäßigter Steuersatz 10% (Eigenverbrauch)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 029 Umsatzsteuer","chart_at_template_3501","","","",""
"","","","","","","","","","","","base","refund","-KZ 001||-KZ 029 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 029 Umsatzsteuer","chart_at_template_3501","","","",""
"account_tax_template_sales_self_19_code037","19% Ust O C","UST_037 Tax rate 19% (own consumption)","19%","100","sale","","19.0","percent","","tax_group_19","base","invoice","+KZ 001||+KZ 037 Bemessungsgrundlage","","","UST_037 Steuersatz 19% (Eigenverbrauch)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 037 Umsatzsteuer","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 001||-KZ 037 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 037 Umsatzsteuer","chart_at_template_3505","","","",""
"account_tax_template_sales_self_add10_code052","10% Ust Add C","UST_052 Additional tax rate 10% (LWB/FWB - own consumption)","10%","100","sale","","10.0","percent","","tax_group_10","base","invoice","+KZ 001||+KZ 052 Bemessungsgrundlage","","","UST_052 Zusatzsteuersatz 10% (LWB/FWB - Eigenverbrauch)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 052 Umsatzsteuer","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 001||-KZ 052 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 052 Umsatzsteuer","chart_at_template_3505","","","",""
"account_tax_template_sales_self_add7_code007","7% Ust Add O C","UST_007 Additional tax rate 7% (LWB/FWB - own consumption)","7%","100","sale","","7.0","percent","","","base","invoice","+KZ 001||+KZ 007 Bemessungsgrundlage","","","UST_007 Zusatzsteuersatz 7% (LWB/FWB - Eigenverbrauch)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","-KZ 007 Umsatzsteuer","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 001||-KZ 007 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","+KZ 007 Umsatzsteuer","chart_at_template_3505","","","",""
"account_tax_template_purchase_tax_invoiced_accepted_code056","20% Ust T I","UST_056 Tax invoiced accepted (§ 11 par. 12 and 14 § 16 par. 2 and according to Art. 7 par. 4)","20%","100","purchase","","20.0","percent","","tax_group_20","base","invoice","","","","UST_056 Tax invoiced accepted (§ 11 Abs. 12 und 14, § 16 Abs. 2 sowie gemäß Art. 7 Abs. 4)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 056","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 056","chart_at_template_3505","","","",""
"account_tax_template_sales_eu_0_services","0% Ust EU S","UST_EU Service (other services) 0%","0%","200","sale","service","0.0","percent","","tax_group_0","base","invoice","+AT_ZM_DL","","","UST_EU Dienstleistung (Sonstige Leistungen) 0%","fiscal_position_template_eu","account_tax_template_sales_20_katalog022"
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-AT_ZM_DL","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_sales_non_eu_0_services","0% Ust EX S","UST_NON_EU Service (third countries) 0%","0%","300","sale","service","0.0","percent","","tax_group_0","base","invoice","","","","UST_NON_EU Dienstleistung (Drittstaaten) 0%","fiscal_position_template_non_eu","account_tax_template_sales_10_code029"
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_purchase_eu_0_code071","0% Ust","UST_071 IGE 0% (Art. 6 para. 2)","0%","200","purchase","","0.0","percent","","tax_group_0","base","invoice","+KZ 070||+KZ 071","","","UST_071 IGE 0% (Art. 6 Abs. 2)","fiscal_position_template_eu",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 070||-KZ 071","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_3505","","","",""
"account_tax_template_purchase_eu_20","20%","IGE 20%","IGE 20%","500","purchase","","20.0","percent","","tax_group_0","base","invoice","+KZ 070||+KZ 072 Bemessungsgrundlage","","","IGE 20%","fiscal_position_template_eu","account_tax_template_purchase_20_code060"
"","","","","","","","","","","","tax","invoice","+KZ 072 Umsatzsteuer","chart_at_template_3511","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 065","chart_at_template_2511","","","",""
"","","","","","","","","","","","base","refund","-KZ 070||-KZ 072 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 072 Umsatzsteuer","chart_at_template_3511","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 065","chart_at_template_2511","","","",""
"account_tax_template_purchase_eu_10","10%","IGE 10%","IGE 10%","500","purchase","","10.0","percent","","tax_group_0","base","invoice","+KZ 070||+KZ 073 Bemessungsgrundlage","","","IGE 10%","fiscal_position_template_eu","account_tax_template_purchase_10_code060"
"","","","","","","","","","","","tax","invoice","+KZ 073 Umsatzsteuer","chart_at_template_3512","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 065","chart_at_template_2512","","","",""
"","","","","","","","","","","","base","refund","-KZ 070||-KZ 073 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 073 Umsatzsteuer","chart_at_template_3512","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 065","chart_at_template_2512","","","",""
"account_tax_template_purchase_eu_13","13%","IGE 13%","IGE 13%","500","purchase","","13.0","percent","","tax_group_0","base","invoice","+KZ 070||+KZ 008 Bemessungsgrundlage","","","IGE 13%","fiscal_position_template_eu",""
"","","","","","","","","","","","tax","invoice","+KZ 008 Umsatzsteuer","chart_at_template_3513","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 065","chart_at_template_2513","","","",""
"","","","","","","","","","","","base","refund","-KZ 070||-KZ 008 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 008 Umsatzsteuer","chart_at_template_3513","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 065","chart_at_template_2513","","","",""
"account_tax_template_purchase_eu_19","19%","IGE 19%","IGE 19%","500","purchase","","19.0","percent","False","tax_group_0","base","invoice","+KZ 070||+KZ 088 Bemessungsgrundlage","","","IGE 19%","fiscal_position_template_eu","account_tax_template_purchase_19_code060"
"","","","","","","","","","","","tax","invoice","+KZ 088 Umsatzsteuer","chart_at_template_3511","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 065","","","","",""
"","","","","","","","","","","","base","refund","-KZ 070||-KZ 088 Bemessungsgrundlage","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 088 Umsatzsteuer","chart_at_template_3511","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 065","","","","",""
"account_tax_template_purchase_rev_charge_1a","20% RC C S","Reverse charge 20% (§ 19 para 1a - construction services)","RC 20% § 19 Abs. 1a","550","purchase","","20.0","percent","","tax_group_0","base","invoice","","","","Reverse Charge 20% (§ 19 Abs. 1a - Bauleistungen)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 048","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 082","chart_at_template_2510","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 048","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 082","chart_at_template_2510","","","",""
"account_tax_template_purchase_rev_charge_1b","20% RC Secu","Reverse charge 20% (§ 19 para. 1b - security ownership, reserved property and properties in compulsory auction proceedings)","RC 20% § 19 Abs. 1b","550","purchase","","20.0","percent","","tax_group_0","base","invoice","","","","Reverse Charge 20% (§ 19 Abs. 1b - Sicherungseigentum, Vorbehaltseigentum und Grundstücke im Zwangsversteigerungsverfahren)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 044","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 087","chart_at_template_2510","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 044","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 087","chart_at_template_2510","","","",""
"account_tax_template_purchase_rev_charge_19_2_25_5","20% RC O S T T","Reverse Charge 20% (§ 19 Abs. 1 second sentence - other services, Art. 25 Abs. 5 - triangular trade","RC 20% §19 Sonstige Leistungen, Dreiecksgeschäft","550","purchase","","20.0","percent","","tax_group_0","base","invoice","","","","Reverse Charge 20% (§ 19 Abs. 1 zweiter Satz - Sonstige Leistungen, Art. 25 Abs. 5 - Dreiecksgeschäft","fiscal_position_template_eu","account_tax_template_purchase_20_misc_code060"
"","","","","","","","","","","","tax","invoice","+KZ 057","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 066","chart_at_template_2510","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 057","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 066","chart_at_template_2510","","","",""
"account_tax_template_purchase_rev_charge_1c","20% RC 19(1c)","Reverse charge 20% (§ 19 para. 1c - gas, electricity, heat, cold)","RC 20% § 19 Abs. 1c","550","purchase","","20.0","percent","","tax_group_0","base","invoice","","","","Reverse Charge 20% (§ 19 Abs. 1c - Gas, Strom, Wärme, Kälte)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 057","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 066","chart_at_template_2510","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 057","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 066","chart_at_template_2510","","","",""
"account_tax_template_purchase_rev_charge_1d","20% RC 19(1d)","Reverse charge 20% (§ 19 par. 1d - scrap and waste materials, game consoles, laptops, tablet computers >= EUR 5,000, gas and electricity, gas and electricity certificates, metals, investment gold)","RC 20% § 19 Abs. 1d","550","purchase","","20.0","percent","","tax_group_0","base","invoice","","","","Reverse Charge 20% (§ 19 Abs. 1d - Schrott und Abfallstoffe, Spielekonsolen, Laptops, Tablet-Computer >= EUR 5.000,-, Gas und Elektrizität, Gas- und Elektrizitätszertifikate, Metalle, Anlagegold)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 032","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 089","chart_at_template_2510","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 032","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 089","chart_at_template_2510","","","",""
"account_tax_template_purchase_rev_charge_1e","20% RC 19(1e)","Reverse Charge 20% (§ 19 Abs. 1e - Greenhouse gas emission certificates, mobile devices >= EUR 5.000,-)","RC 20% § 19 Abs. 1e","550","purchase","","20.0","percent","","tax_group_0","base","invoice","","","","Reverse Charge 20% (§ 19 Abs. 1e - Treibhausgasemissionszertifikaten, Mobilfunkgeräte >= EUR 5.000,-)","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 032","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","invoice","+KZ 089","chart_at_template_2510","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 032","chart_at_template_3510","-100","","",""
"","","","","","","","","","","","tax","refund","-KZ 089","chart_at_template_2510","","","",""
"account_tax_template_purchase_eu_xx_code076","0% EU A","Acquisitions pursuant to Art. 3(8), second sentence, which have been taxed in the Member State of destination (IGE-UST)","UST_076 IGE (im Bestimmungsland besteuert)","200","purchase","","0.0","percent","","tax_group_0","base","invoice","+KZ 076||+KZ 077","","","Erwerbe gemäß Art. 3 Abs. 8 zweiter Satz, die im Mitgliedstaat des Bestimmungslandes besteuert worden sind (IGE-UST)","fiscal_position_template_eu",""
"","","","","","","","","","","","tax","invoice","","chart_at_template_2505","","","",""
"","","","","","","","","","","","base","refund","-KZ 076||-KZ 077","","","","",""
"","","","","","","","","","","","tax","refund","","chart_at_template_2505","","","",""
"account_tax_template_purchase_eu_xx_code077","0% A","Acquisitions under the second sentence of Art. 3(8) that are deemed to be taxed domestically under Art. 25(2) (IGE-UST)","UST_077 IGE (im Inland besteuert)","200","purchase","","0.0","percent","False","","base","invoice","+KZ 077||+KZ 037 Bemessungsgrundlage","","","Erwerbe gemäß Art. 3 Abs. 8 zweiter Satz, die gemäß Art. 25 Abs. 2 im Inland als besteuert gelten (IGE-UST)","fiscal_position_template_eu",""
"","","","","","","","","","","","tax","invoice","-KZ 077","chart_at_template_3505","","","",""
"","","","","","","","","","","","base","refund","-KZ 077||-KZ 037 Bemessungsgrundlage","","100.0","","",""
"","","","","","","","","","","","tax","refund","+KZ 077","chart_at_template_3505","100.0","","",""
"account_tax_template_purchase_20_code060","20% Vst","VST_060 Normal tax rate 20%","20%","50","purchase","","20.0","percent","","tax_group_20","base","invoice","","","","VST_060 Normalsteuersatz 20%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 060","chart_at_template_2500","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-KZ 060","chart_at_template_2500","","","",""
"account_tax_template_purchase_20_misc_code060","20% Vst O S","VST_060 other services 20%","20%","400","purchase","","20.0","percent","","tax_group_20","base","invoice","","","","VST_060 sonstige Leistungen 20%","fiscal_position_template_national_w_uid,fiscal_position_template_national",""
"","","","","","","","","","","","tax","invoice","+KZ 060","chart_at_template_2500","","","",""
