"id","code","name","account_type","reconcile","name@id"
"l10n_id_25110090","25110090","Accrued Payable Insurance","liability_current","False","BYMHD Asuransi"
"l10n_id_25110100","25110100","Accrued Payable Education","liability_current","False","BYMHD Pendidikan dan Latihan"
"l10n_id_25110110","25110110","Accrued Payable Health Insurance/BPJS","liability_current","False","BYMHD Jaminan Kesehatan/BPJS"
"l10n_id_28110010","28110010","Advance Sales","liability_current","False","Uang Muka Penjualan"
"l10n_id_28110020","28110020","Customer Deposit","liability_current","False","Deposit Customer"
"l10n_id_29000000","29000000","Interim Stock","liability_current","False","Stok Interim"
"l10n_id_31100010","31100010","Authorized Capital","equity","False","Modal Dasar"
"l10n_id_31100020","31100020","Paid Capital","equity","False","Modal Yang Disetor"
"l10n_id_31100030","31100030","Unpaid Capital","equity","False","Modal Yang Belum Disetor"
"l10n_id_31100040","31100040","Prive (Personal Retrieval)","equity","False","Prive (Pengambilan Pribadi)"
"l10n_id_31210010","31210010","Capital Reserves","equity","False","Cadangan Modal"
"l10n_id_31510010","31510010","Past Profit & Loss","equity","False","Laba Rugi Tahun Lalu"
"l10n_id_31510020","31510020","Ongoing Profit & Loss","equity","False","Laba Rugi Tahun Berjalan"
"l10n_id_39000000","39000000","Historical Balance","equity","True","Historical Balance"
"l10n_id_41000010","41000010","Sales","income","False","Penjualan"
"l10n_id_42000060","42000060","Sales Refund","income","False","Retur Penjualan"
"l10n_id_42000070","42000070","Sales Discount","income","False","Discount Penjualan"
"l10n_id_51000010","51000010","Cost of Goods Sold","expense_direct_cost","False","Harga Pokok Penjualan"
"l10n_id_61100010","61100010","Employee Salary","expense","False","Gaji Karyawan"
"l10n_id_61100020","61100020","Employee Bonus / Benefits","expense","False","Tunjangan/ Bonus Karyawan"
"l10n_id_61100030","61100030","Employee Overtime Pay","expense","False","Lembur Karyawan"
"l10n_id_61100100","61100100","Pph 21 Benefit","expense","False","Tunjangan PPH Pasal 21"
"l10n_id_63110060","63110060","Phone","expense","False","Telepon"
"l10n_id_63110080","63110080","Electricity","expense","False","Listrik"
"l10n_id_63110100","63110100","Research & Development","expense","False","Research & Development"
"l10n_id_63110120","63110120","Office Equipment","expense","False","Perlengkapan Kantor"
"l10n_id_64110020","64110020","Post Necessities","expense","False","Keperluan Pos"
"l10n_id_63110140","63110140","Other Necessities","expense","False","Keperluan Lain-lain"
"l10n_id_65110010","65110010","Licensing Fees","expense","False","Biaya Perizinan"
"l10n_id_65110020","65110020","Bank Administration Fees","expense","False","Biaya Administrasi Bank"
"l10n_id_65110030","65110030","Consultant Fees","expense","False","Biaya Konsultan"
"l10n_id_65110040","65110040","Rental Costs","expense","False","Biaya Sewa"
"l10n_id_65110050","65110050","Insurance Costs","expense","False",""
"l10n_id_65110060","65110060","Building Maintenance Costs","expense","False","Biaya Pemeliharaan & Perawatan Gedung"
"l10n_id_65110070","65110070","Taxes","expense","False","Pajak"
"l10n_id_65110080","65110080","Asset Maintenance Costs","expense","False","Biaya Pemeliharaan & Perawatan Aset"
"l10n_id_65110090","65110090","Shipping Costs","expense","False","Biaya Pengiriman Dokumen/Barang"
"l10n_id_66110010","66110010","Vehicle Fuel","expense","False","BBM kendaraan"
"l10n_id_66110020","66110020","Vehicle Service","expense","False","Service kendaraan"
"l10n_id_66110030","66110030","Vehicle Parking & Toll Fee","expense","False","Parkir & tol kendaraan"
"l10n_id_66110040","66110040","Vehicle Taxes","expense","False","Pajak Kendaraan"
"l10n_id_66110050","66110050","Vehicle Insurance","expense","False","Asuransi Kendaraan"
"l10n_id_67100010","67100010","Office Building","expense_depreciation","False","Bangunan Kantor"
"l10n_id_67100020","67100020","Vehicle","expense_depreciation","False","Kendaraan"
"l10n_id_67100030","67100030","Office Supplies","expense_depreciation","False","Peralatan Kantor"
"l10n_id_69000000","69000000","Other Expenses","expense","False","Biaya Lain-lain"
"l10n_id_81100010","81100010","Interest Income","income_other","False","Pendapatan Bunga"
"l10n_id_81100020","81100020","Deposit Income","income_other","False","Pendapatan Deposit"
"l10n_id_81100030","81100030","Foreign Exchange Gain","income_other","False","Keuntungan Selisih Kurs"
"l10n_id_81100040","81100040","Other Income","income_other","False","Pendapatan lainnya"
"l10n_id_81100050","81100050","Gain on Sale of Fixed Assets","income_other","False","Keuntungan Atas Penjualan Aktiva Tetap"
"l10n_id_91100010","91100010","Interest Expense","expense","False","Beban Bunga"
"l10n_id_91100020","91100020","Foreign Exchange Loss","expense","False","Kerugian Selisih Kurs"
"l10n_id_91100030","91100030","Loss on Sale of Fixed Assets","expense","False","Kerugian Atas Penjualan Aktiva Tetap"
"l10n_id_99900001","99900001","Cash Difference Loss","expense","False",""
"l10n_id_99900002","99900002","Cash Difference Gain","income","False",""
"l10n_id_99900003","99900003","Cash Discount Loss","expense","False",""
"l10n_id_99900004","99900004","Cash Discount Gain","income_other","False",""
"l10n_id_999999","999999","Undistributed Profits/Losses","equity_unaffected","False",""
