"id","name","description","invoice_label","type_tax_use","amount_type","amount","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/account_id","repartition_line_ids/tag_ids"
"ie_tax_purchase_goods_23","23% G","23% Standard rate - Goods","23%","purchase","percent","23","ie_tax_group_vat_23","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_23","23% S","23% Standard rate - Services","23%","purchase","percent","23","ie_tax_group_vat_23","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_eu_23","23% EU G","23% Standard rate - EU - Goods","23%","purchase","percent","23","ie_tax_group_vat_23","True","base","invoice","","","+E2"
,"","","","","","","","","tax","invoice","-100","l10n_ie_account_3804","-T1"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","","-E2"
,"","","","","","","","","tax","refund","-100","l10n_ie_account_3804","+T1"
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_eu_23","23% EU S","23% Standard rate - EU - Services","23%","purchase","percent","23","ie_tax_group_vat_23","True","base","invoice","","","+ES2"
,"","","","","","","","","tax","invoice","-100","l10n_ie_account_3804","-T1"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","","-ES2"
,"","","","","","","","","tax","refund","-100","l10n_ie_account_3804","+T1"
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_ex_23","23% EX G","23% Standard rate - Import - Goods","23%","purchase","percent","23","ie_tax_group_vat_23","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_ex_23","23% EX S","23% Standard rate - Import - Services","23%","purchase","percent","23","ie_tax_group_vat_23","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_13_5","13.5% G","13.5% Reduced rate - Goods","13.5%","purchase","percent","13.5","ie_tax_group_vat_13_5","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_13_5","13.5% S","13.5% Reduced rate - Services","13.5%","purchase","percent","13.5","ie_tax_group_vat_13_5","True","base","invoice"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_eu_13_5","13.5% EU G","13.5% Reduced rate - EU - Goods","13.5%","purchase","percent","13.5","ie_tax_group_vat_13_5","True","base","invoice","","","+E2"
,"","","","","","","","","tax","invoice","-100","l10n_ie_account_3804","-T1"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","","-E2"
,"","","","","","","","","tax","refund","-100","l10n_ie_account_3804","+T1"
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_eu_13_5","13.5% EU S","13.5% Reduced rate - EU - Services","13.5%","purchase","percent","13.5","ie_tax_group_vat_13_5","True","base","invoice","","","+ES2"
,"","","","","","","","","tax","invoice","-100","l10n_ie_account_3804","-T1"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","","-ES2"
,"","","","","","","","","tax","refund","-100","l10n_ie_account_3804","+T1"
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_ex_13_5","13.5% EX G","13.5% Reduced rate - Import - Goods","13.5%","purchase","percent","13.5","ie_tax_group_vat_13_5","False","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_ex_13_5","13.5% EX S","13.5% Reduced rate - Import - Services","13.5%","purchase","percent","13.5","ie_tax_group_vat_13_5","False","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_9","9% G","9% Second reduced rate - Goods","9%","purchase","percent","9","ie_tax_group_vat_9","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_9","9% S","9% Second reduced rate - Services","9%","purchase","percent","9","ie_tax_group_vat_9","True","base","invoice"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_eu_9","9% EU G","9% Second reduced rate - EU - Goods","9%","purchase","percent","9","ie_tax_group_vat_9","True","base","invoice","","","+E2"
,"","","","","","","","","tax","invoice","-100","l10n_ie_account_3804","-T1"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","","-E2"
,"","","","","","","","","tax","refund","-100","l10n_ie_account_3804","+T1"
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_eu_9","9% EU S","9% Second reduced rate - EU - Services","9%","purchase","percent","9","ie_tax_group_vat_9","True","base","invoice","","","+E2"
,"","","","","","","","","tax","invoice","-100","l10n_ie_account_3804","-T1"
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","","-E2"
,"","","","","","","","","tax","refund","-100","l10n_ie_account_3804","+T1"
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_ex_9","9% EX G","9% Second reduced rate - Import - Goods","9%","purchase","percent","9","ie_tax_group_vat_9","False","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_services_ex_9","9% EX S","9% Second reduced rate - Import - Services","9%","purchase","percent","9","ie_tax_group_vat_9","False","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_ls_4_8","4.8% LS","4.8% Livestock rate","4.8%","purchase","percent","4.8","ie_tax_group_vat_4_8","False","base","invoice","","",""
,"","","","","","","","","tax","invoice","","l10n_ie_account_2131","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","l10n_ie_account_2131","-T2"
"ie_tax_purchase_goods_0","0% G","0% Goods","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_services_0","0% S","0% Services","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_goods_exempt","0% G EXEMPT","0% Goods Exempt","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_services_exempt","0% S EXEMPT","0% Services Exempt","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_eu_goods_0","0% EU G","0% EU Goods","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","","+E2"
,"","","","","","","","","tax","invoice","","","+T1"
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","","-E2"
,"","","","","","","","","tax","refund","","","-T1"
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_eu_services_0","0% EU S","0% EU Services","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","","+ES2"
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","","-ES2"
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_ex_goods_0","0% EX G","0% Import Goods","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_ex_services_0","0% EX S","0% Import Services","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","",""
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","",""
,"","","","","","","","","tax","refund","","","-T2"
"ie_tax_purchase_ex_goods_pa_0","0% EX G PA","0% Import Goods - Postponed Accounting","0%","purchase","percent","0","ie_tax_group_vat_0","True","base","invoice","","","+PA1"
,"","","","","","","","","tax","invoice","-100","","-T1"
,"","","","","","","","","tax","invoice","","","+T2"
,"","","","","","","","","base","refund","","","-PA1"
,"","","","","","","","","tax","refund","-100","","+T1"
,"","","","","","","","","tax","refund","","","-T2"
